"cell","n_ok","n_rep","n_fail","drift","n_studies","spread","tau_re","rate"
1,50,50,0,0,6,0.25,0,1
2,50,50,0,0.3,6,0.25,0,1
3,50,50,0,0.6,6,0.25,0,1
4,50,50,0,1.2,6,0.25,0,1
5,50,50,0,0,12,0.25,0,1
6,50,50,0,0.3,12,0.25,0,1
7,50,50,0,0.6,12,0.25,0,1
8,50,50,0,1.2,12,0.25,0,1
9,50,50,0,0,6,0.6,0,1
10,50,50,0,0.3,6,0.6,0,1
11,50,50,0,0.6,6,0.6,0,1
12,50,50,0,1.2,6,0.6,0,1
13,50,50,0,0,12,0.6,0,1
14,50,50,0,0.3,12,0.6,0,1
15,50,50,0,0.6,12,0.6,0,1
16,50,50,0,1.2,12,0.6,0,1
17,50,50,0,0,6,0.25,0.15,1
18,50,50,0,0.3,6,0.25,0.15,1
19,50,50,0,0.6,6,0.25,0.15,1
20,50,50,0,1.2,6,0.25,0.15,1
21,50,50,0,0,12,0.25,0.15,1
22,50,50,0,0.3,12,0.25,0.15,1
23,50,50,0,0.6,12,0.25,0.15,1
24,50,50,0,1.2,12,0.25,0.15,1
25,50,50,0,0,6,0.6,0.15,1
26,50,50,0,0.3,6,0.6,0.15,1
27,50,50,0,0.6,6,0.6,0.15,1
28,50,50,0,1.2,6,0.6,0.15,1
29,50,50,0,0,12,0.6,0.15,1
30,50,50,0,0.3,12,0.6,0.15,1
31,50,50,0,0.6,12,0.6,0.15,1
32,50,50,0,1.2,12,0.6,0.15,1
33,50,50,0,0.15,6,0.25,0,1
34,50,50,0,0.15,12,0.25,0,1
35,50,50,0,0.15,6,0.6,0,1
36,50,50,0,0.15,12,0.6,0,1
37,50,50,0,0.15,6,0.25,0.15,1
38,50,50,0,0.15,12,0.25,0.15,1
39,50,50,0,0.15,6,0.6,0.15,1
40,50,50,0,0.15,12,0.6,0.15,1
