"drift","n_studies","spread","tau_re","xvar","post_sd_A","post_sd_C","p_fires_margin","p_affirms_shared","n"
0,6,0.25,0,"x1",0.223505392665218,1.59456768885821,0.48,0,50
0,6,0.25,0,"x2",0.216988595054651,1.67680888596387,0.5,0,50
0,6,0.25,0.15,"x1",0.223187011610737,1.56691644244826,0.48,0,50
0,6,0.25,0.15,"x2",0.224592441289173,1.50818349156211,0.3,0,50
0,6,0.6,0,"x1",0.201239623328861,0.819596698431668,0.16,0,50
0,6,0.6,0,"x2",0.201364994305852,0.81426125907027,0.18,0,50
0,6,0.6,0.15,"x1",0.192959671326206,0.67801810354451,0.18,0,50
0,6,0.6,0.15,"x2",0.197940528811397,0.728677173304025,0.3,0,50
0,12,0.25,0,"x1",0.208951657577206,0.979324663612061,0.22,0,50
0,12,0.25,0,"x2",0.203144224091577,1.01291672597786,0.2,0,50
0,12,0.25,0.15,"x1",0.209309587682161,0.934200369592387,0.2,0,50
0,12,0.25,0.15,"x2",0.208846297849935,0.979482178315052,0.32,0,50
0,12,0.6,0,"x1",0.168779457696984,0.335310743262266,0.08,0,50
0,12,0.6,0,"x2",0.166401042210795,0.335631886640705,0.14,0,50
0,12,0.6,0.15,"x1",0.160150734035211,0.282746164524392,0.08,0,50
0,12,0.6,0.15,"x2",0.162340264088999,0.320299243898133,0.14,0,50
0.3,6,0.25,0,"x1",0.226321289059884,1.65982354282693,0.4,0,50
0.3,6,0.25,0,"x2",0.222381901475227,1.68888808405767,0.44,0,50
0.3,6,0.25,0.15,"x1",0.228295442367386,1.69313006976103,0.46,0,50
0.3,6,0.25,0.15,"x2",0.222486400697008,1.53120142156666,0.46,0,50
0.3,6,0.6,0,"x1",0.2080102478616,0.988433024304108,0.2,0,50
0.3,6,0.6,0,"x2",0.200175721584604,0.869715432163332,0.28,0,50
0.3,6,0.6,0.15,"x1",0.202266162328625,0.747674463865661,0.22,0,50
0.3,6,0.6,0.15,"x2",0.196053319092613,0.965723487092495,0.36,0,50
0.3,12,0.25,0,"x1",0.218122224264455,1.05257422710175,0.18,0,50
0.3,12,0.25,0,"x2",0.213476691681596,1.00618301557106,0.26,0,50
0.3,12,0.25,0.15,"x1",0.213655962509506,0.838850153071552,0.3,0,50
0.3,12,0.25,0.15,"x2",0.21283272998769,0.818879916162845,0.22,0,50
0.3,12,0.6,0,"x1",0.170188825397396,0.308664358630606,0.14,0,50
0.3,12,0.6,0,"x2",0.170620919871626,0.41682698636569,0.08,0,50
0.3,12,0.6,0.15,"x1",0.176119665494917,0.352842650164527,0.16,0,50
0.3,12,0.6,0.15,"x2",0.171608851606635,0.33365479870393,0.24,0,50
0.6,6,0.25,0,"x1",0.239949635477564,1.68263302341462,0.38,0,50
0.6,6,0.25,0,"x2",0.228771320303802,1.65592491004874,0.54,0,50
0.6,6,0.25,0.15,"x1",0.234858993685909,1.59083314234978,0.46,0,50
0.6,6,0.25,0.15,"x2",0.222452627257418,1.65977777185392,0.54,0,50
0.6,6,0.6,0,"x1",0.21787983976474,0.708109544655382,0.32,0,50
0.6,6,0.6,0,"x2",0.200122166405994,0.826945957094487,0.34,0,50
0.6,6,0.6,0.15,"x1",0.220054754647623,0.561080780705211,0.36,0,50
0.6,6,0.6,0.15,"x2",0.203102468390221,0.850378834375829,0.4,0,50
0.6,12,0.25,0,"x1",0.226568248073252,0.793077094629532,0.18,0,50
0.6,12,0.25,0,"x2",0.21338456609807,1.00805669399633,0.36,0,50
0.6,12,0.25,0.15,"x1",0.227752084689457,0.804893257528412,0.48,0,50
0.6,12,0.25,0.15,"x2",0.216527237450476,1.02105713798909,0.36,0,50
0.6,12,0.6,0,"x1",0.185572749486804,0.314688358945621,0.32,0,50
0.6,12,0.6,0,"x2",0.174252143781132,0.43333051833087,0.16,0,50
0.6,12,0.6,0.15,"x1",0.184407523837989,0.259718642126656,0.36,0,50
0.6,12,0.6,0.15,"x2",0.180802326592616,0.442977566258189,0.28,0,50
1.2,6,0.25,0,"x1",0.260792111856412,1.5948837938512,0.58,0,50
1.2,6,0.25,0,"x2",0.235577543347455,1.48580932109267,0.52,0,50
1.2,6,0.25,0.15,"x1",0.254584082791526,1.28669421575509,0.56,0,50
1.2,6,0.25,0.15,"x2",0.228144929172307,1.627010671332,0.78,0,50
1.2,6,0.6,0,"x1",0.231433545428804,0.687691312267373,0.74,0,50
1.2,6,0.6,0,"x2",0.203608101455658,1.2127692315523,0.64,0,50
1.2,6,0.6,0.15,"x1",0.239007798451988,0.692662584939039,0.68,0,50
1.2,6,0.6,0.15,"x2",0.209563246921921,1.01819980240162,0.52,0,50
1.2,12,0.25,0,"x1",0.246870948669382,0.714559308750537,0.66,0,50
1.2,12,0.25,0,"x2",0.222067241798538,1.25569076149686,0.54,0,50
1.2,12,0.25,0.15,"x1",0.247911367506111,0.768725375583393,0.62,0,50
1.2,12,0.25,0.15,"x2",0.224031184467124,1.12027390339357,0.44,0,50
1.2,12,0.6,0,"x1",0.212381883064993,0.355864060902276,0.9,0,50
1.2,12,0.6,0,"x2",0.172083750020664,0.537367715057577,0.42,0,50
1.2,12,0.6,0.15,"x1",0.204244822387261,0.301821840003059,0.92,0,50
1.2,12,0.6,0.15,"x2",0.172702951133695,0.548746785460873,0.6,0,50
