"rule","shift","drift","n_studies","spread","tau_re","n","risk"
"flag_dic10",0,0,6,0.25,0,50,0.46
"flag_dic10",0,0,6,0.25,0.15,50,0.58
"flag_dic10",0,0,6,0.6,0,50,0.52
"flag_dic10",0,0,6,0.6,0.15,50,0.58
"flag_dic10",0,0,12,0.25,0,50,0.3
"flag_dic10",0,0,12,0.25,0.15,50,0.24
"flag_dic10",0,0,12,0.6,0,50,0.34
"flag_dic10",0,0,12,0.6,0.15,50,0.34
"flag_dic10",0,0.3,6,0.25,0,50,0.46
"flag_dic10",0,0.3,6,0.25,0.15,50,0.44
"flag_dic10",0,0.3,6,0.6,0,50,0.46
"flag_dic10",0,0.3,6,0.6,0.15,50,0.44
"flag_dic10",0,0.3,12,0.25,0,50,0.2
"flag_dic10",0,0.3,12,0.25,0.15,49,0.408163265306122
"flag_dic10",0,0.3,12,0.6,0,50,0.28
"flag_dic10",0,0.3,12,0.6,0.15,49,0.285714285714286
"flag_dic10",0,0.6,6,0.25,0,50,0.44
"flag_dic10",0,0.6,6,0.25,0.15,50,0.46
"flag_dic10",0,0.6,6,0.6,0,49,0.551020408163265
"flag_dic10",0,0.6,6,0.6,0.15,48,0.625
"flag_dic10",0,0.6,12,0.25,0,49,0.26530612244898
"flag_dic10",0,0.6,12,0.25,0.15,47,0.425531914893617
"flag_dic10",0,0.6,12,0.6,0,46,0.41304347826087
"flag_dic10",0,0.6,12,0.6,0.15,41,0.365853658536585
"flag_dic10",0,1.2,6,0.25,0,49,0.63265306122449
"flag_dic10",0,1.2,6,0.25,0.15,42,0.571428571428571
"flag_dic10",0,1.2,6,0.6,0,37,0.72972972972973
"flag_dic10",0,1.2,6,0.6,0.15,35,0.657142857142857
"flag_dic10",0,1.2,12,0.25,0,45,0.333333333333333
"flag_dic10",0,1.2,12,0.25,0.15,43,0.418604651162791
"flag_dic10",0,1.2,12,0.6,0,19,0.68421052631579
"flag_dic10",0,1.2,12,0.6,0.15,15,0.266666666666667
"flag_dic10",0.5,0,6,0.25,0,50,0.46
"flag_dic10",0.5,0,6,0.25,0.15,50,0.58
"flag_dic10",0.5,0,6,0.6,0,50,0.52
"flag_dic10",0.5,0,6,0.6,0.15,50,0.58
"flag_dic10",0.5,0,12,0.25,0,50,0.3
"flag_dic10",0.5,0,12,0.25,0.15,50,0.24
"flag_dic10",0.5,0,12,0.6,0,50,0.36
"flag_dic10",0.5,0,12,0.6,0.15,50,0.34
"flag_dic10",0.5,0.3,6,0.25,0,50,0.5
"flag_dic10",0.5,0.3,6,0.25,0.15,50,0.58
"flag_dic10",0.5,0.3,6,0.6,0,50,0.7
"flag_dic10",0.5,0.3,6,0.6,0.15,50,0.58
"flag_dic10",0.5,0.3,12,0.25,0,50,0.46
"flag_dic10",0.5,0.3,12,0.25,0.15,49,0.489795918367347
"flag_dic10",0.5,0.3,12,0.6,0,50,0.46
"flag_dic10",0.5,0.3,12,0.6,0.15,49,0.530612244897959
"flag_dic10",0.5,0.6,6,0.25,0,50,0.72
"flag_dic10",0.5,0.6,6,0.25,0.15,50,0.66
"flag_dic10",0.5,0.6,6,0.6,0,49,0.73469387755102
"flag_dic10",0.5,0.6,6,0.6,0.15,48,0.729166666666667
"flag_dic10",0.5,0.6,12,0.25,0,49,0.816326530612245
"flag_dic10",0.5,0.6,12,0.25,0.15,47,0.723404255319149
"flag_dic10",0.5,0.6,12,0.6,0,46,0.782608695652174
"flag_dic10",0.5,0.6,12,0.6,0.15,41,0.878048780487805
"flag_dic10",0.5,1.2,6,0.25,0,49,0.979591836734694
"flag_dic10",0.5,1.2,6,0.25,0.15,42,0.880952380952381
"flag_dic10",0.5,1.2,6,0.6,0,37,0.891891891891892
"flag_dic10",0.5,1.2,6,0.6,0.15,35,0.885714285714286
"flag_dic10",0.5,1.2,12,0.25,0,45,1
"flag_dic10",0.5,1.2,12,0.25,0.15,43,1
"flag_dic10",0.5,1.2,12,0.6,0,19,0.894736842105263
"flag_dic10",0.5,1.2,12,0.6,0.15,15,0.933333333333333
"flag_dic10",1,0,6,0.25,0,50,0.46
"flag_dic10",1,0,6,0.25,0.15,50,0.58
"flag_dic10",1,0,6,0.6,0,50,0.52
"flag_dic10",1,0,6,0.6,0.15,50,0.58
"flag_dic10",1,0,12,0.25,0,50,0.3
"flag_dic10",1,0,12,0.25,0.15,50,0.24
"flag_dic10",1,0,12,0.6,0,50,0.36
"flag_dic10",1,0,12,0.6,0.15,50,0.34
"flag_dic10",1,0.3,6,0.25,0,50,0.72
"flag_dic10",1,0.3,6,0.25,0.15,50,0.76
"flag_dic10",1,0.3,6,0.6,0,50,0.78
"flag_dic10",1,0.3,6,0.6,0.15,50,0.72
"flag_dic10",1,0.3,12,0.25,0,50,0.82
"flag_dic10",1,0.3,12,0.25,0.15,49,0.693877551020408
"flag_dic10",1,0.3,12,0.6,0,50,0.84
"flag_dic10",1,0.3,12,0.6,0.15,49,0.795918367346939
"flag_dic10",1,0.6,6,0.25,0,50,0.98
"flag_dic10",1,0.6,6,0.25,0.15,50,0.98
"flag_dic10",1,0.6,6,0.6,0,49,0.938775510204082
"flag_dic10",1,0.6,6,0.6,0.15,48,0.979166666666667
"flag_dic10",1,0.6,12,0.25,0,49,1
"flag_dic10",1,0.6,12,0.25,0.15,47,1
"flag_dic10",1,0.6,12,0.6,0,46,0.978260869565217
"flag_dic10",1,0.6,12,0.6,0.15,41,1
"flag_dic10",1,1.2,6,0.25,0,49,1
"flag_dic10",1,1.2,6,0.25,0.15,42,1
"flag_dic10",1,1.2,6,0.6,0,37,1
"flag_dic10",1,1.2,6,0.6,0.15,35,1
"flag_dic10",1,1.2,12,0.25,0,45,1
"flag_dic10",1,1.2,12,0.25,0.15,43,1
"flag_dic10",1,1.2,12,0.6,0,19,1
"flag_dic10",1,1.2,12,0.6,0.15,15,1
"flag_dic10",1.5,0,6,0.25,0,50,0.46
"flag_dic10",1.5,0,6,0.25,0.15,50,0.58
"flag_dic10",1.5,0,6,0.6,0,50,0.5
"flag_dic10",1.5,0,6,0.6,0.15,50,0.58
"flag_dic10",1.5,0,12,0.25,0,50,0.28
"flag_dic10",1.5,0,12,0.25,0.15,50,0.24
"flag_dic10",1.5,0,12,0.6,0,50,0.34
"flag_dic10",1.5,0,12,0.6,0.15,50,0.34
"flag_dic10",1.5,0.3,6,0.25,0,50,0.9
"flag_dic10",1.5,0.3,6,0.25,0.15,50,0.9
"flag_dic10",1.5,0.3,6,0.6,0,50,0.92
"flag_dic10",1.5,0.3,6,0.6,0.15,50,0.88
"flag_dic10",1.5,0.3,12,0.25,0,50,0.96
"flag_dic10",1.5,0.3,12,0.25,0.15,49,0.938775510204082
"flag_dic10",1.5,0.3,12,0.6,0,50,0.98
"flag_dic10",1.5,0.3,12,0.6,0.15,49,0.959183673469388
"flag_dic10",1.5,0.6,6,0.25,0,50,1
"flag_dic10",1.5,0.6,6,0.25,0.15,50,1
"flag_dic10",1.5,0.6,6,0.6,0,49,1
"flag_dic10",1.5,0.6,6,0.6,0.15,48,0.979166666666667
