"rule","shift","n","n_cells","k","risk_unweighted","risk_deployed","hi95","se_deployed","hi95_unweighted_wilson","k_sys","risk_sys_unweighted","risk_sys_deployed","hi95_sys","se_sys_deployed","hi95_sys_unweighted_wilson"
"flag_dic10",0,1463,32,640,0.437457279562543,0.4336118461358,0.457129753475638,0.0142978691968042,0.458886284353581,0,0,0,0,0,0.00184589919246315
"flag_dic10",0.5,1463,32,937,0.640464798359535,0.56876572337292,0.591921455818075,0.0140776825451739,0.660823995809044,1063,0.726589200273411,0.582882542330909,0.582882542330904,0,0.745324956135116
"flag_dic10",1,1463,32,1132,0.773752563226247,0.686966382939898,0.707862842447711,0.0127041424392773,0.791230502489396,1063,0.726589200273411,0.582882542330909,0.582882542330904,0,0.745324956135116
"flag_dic10",1.5,1463,32,1199,0.819548872180451,0.738767157214178,0.757539610137681,0.0114128384181843,0.83549187008734,1063,0.726589200273411,0.582882542330909,0.582882542330904,0,0.745324956135116
"flag_dic2",0,1107,32,477,0.430894308943089,0.42853160453809,0.455075283440552,0.0161374072729039,0.455514863769109,0,0,0,0,0,0.00243807440116286
"flag_dic2",0.5,1107,32,678,0.612466124661247,0.554106969205838,0.580266763263986,0.015904021912067,0.636249261375809,755,0.682023486901536,0.547539708265805,0.547539708265802,0,0.704578307132591
"flag_dic2",1,1107,32,826,0.746160794941283,0.667961102106972,0.691780213816703,0.014480988409752,0.76705815595483,755,0.682023486901536,0.547539708265805,0.547539708265802,0,0.704578307132591
"flag_dic2",1.5,1107,32,876,0.791327913279133,0.715753646677474,0.737482605987328,0.0132102662667058,0.81069495868953,755,0.682023486901536,0.547539708265805,0.547539708265802,0,0.704578307132591
"flag_dic5",0,1307,32,565,0.432287681713849,0.426933669341771,0.45161425662632,0.0150047282522048,0.454943987298077,0,0,0,0,0,0.00206576561602198
"flag_dic5",0.5,1307,32,814,0.622800306044376,0.559290548635252,0.583588949465242,0.0147723754387891,0.644577384842491,918,0.702371843917368,0.563448371120193,0.563448371120188,0,0.722738738962682
"flag_dic5",1,1307,32,991,0.758224942616679,0.67503023230248,0.697055319678493,0.0133902993068185,0.777158930698152,918,0.702371843917368,0.563448371120193,0.563448371120188,0,0.722738738962682
"flag_dic5",1.5,1307,32,1048,0.801836266258607,0.722914253015483,0.742936407685824,0.0121726029607159,0.819340852295606,918,0.702371843917368,0.563448371120193,0.563448371120188,0,0.722738738962682
"flag_margin",0,714,32,292,0.408963585434174,0.407016020795602,0.439333054430817,0.0196473569296822,0.439516118057593,0,0,0,0,0,0.00377497383882948
"flag_margin",0.5,714,32,426,0.596638655462185,0.541269389852664,0.573109346264995,0.0193573146384604,0.626417203746436,477,0.668067226890756,0.536010617331995,0.536010617331996,0,0.696372643384204
"flag_margin",1,714,32,519,0.726890756302521,0.65077060475884,0.679976305394827,0.0177558012054487,0.753422999465995,477,0.668067226890756,0.536010617331995,0.536010617331996,0,0.696372643384204
"flag_margin",1.5,714,32,554,0.775910364145658,0.700733933052934,0.72730680790172,0.0161551571439092,0.800509649033345,477,0.668067226890756,0.536010617331995,0.536010617331996,0,0.696372643384204
"flag_post",0,1059,32,451,0.425873465533522,0.421531095541271,0.448634450511102,0.0164776660845471,0.451024504144046,0,0,0,0,0,0.00254830041612724
"flag_post",0.5,1059,32,661,0.624173748819641,0.561546160910528,0.588159526590369,0.0161797738156961,0.648308956495401,736,0.694995278564684,0.560765375791536,0.560765375791534,0,0.717745470524636
"flag_post",1,1059,32,798,0.753541076487252,0.673315378715181,0.697520497775231,0.0147156641623225,0.774659167388144,736,0.694995278564684,0.560765375791536,0.560765375791534,0,0.717745470524636
"flag_post",1.5,1059,32,846,0.798866855524079,0.720932952227647,0.742977229263422,0.0134019657889252,0.818354632944306,736,0.694995278564684,0.560765375791536,0.560765375791534,0,0.717745470524636
