"rule","shift","n","risk_uniform","risk_sys_uniform"
"flag_dic10",0,1463,0.437457279562543,0
"flag_dic10",0.5,1463,0.640464798359535,0.726589200273411
"flag_dic10",1,1463,0.773752563226247,0.726589200273411
"flag_dic10",1.5,1463,0.819548872180451,0.726589200273411
"flag_dic2",0,1107,0.430894308943089,0
"flag_dic2",0.5,1107,0.612466124661247,0.682023486901536
"flag_dic2",1,1107,0.746160794941283,0.682023486901536
"flag_dic2",1.5,1107,0.791327913279133,0.682023486901536
"flag_dic5",0,1307,0.432287681713849,0
"flag_dic5",0.5,1307,0.622800306044376,0.702371843917368
"flag_dic5",1,1307,0.758224942616679,0.702371843917368
"flag_dic5",1.5,1307,0.801836266258607,0.702371843917368
"flag_margin",0,714,0.408963585434174,0
"flag_margin",0.5,714,0.596638655462185,0.668067226890756
"flag_margin",1,714,0.726890756302521,0.668067226890756
"flag_margin",1.5,714,0.775910364145658,0.668067226890756
"flag_post",0,1059,0.425873465533522,0
"flag_post",0.5,1059,0.624173748819641,0.694995278564684
"flag_post",1,1059,0.753541076487252,0.694995278564684
"flag_post",1.5,1059,0.798866855524079,0.694995278564684
