"rule","drift","arm","n","k","rate","lo","hi"
"flag_dic10",0,"registered",400,0,0,0,0.00951229448293259
"flag_dic10",0.15,"amendment",400,0,0,0,0.00951229448293259
"flag_dic10",0.3,"registered",400,2,0.005,0.00137225294237627,0.018044918595727
"flag_dic10",0.6,"registered",400,19,0.0475,0.0306170768576053,0.0729915496494487
"flag_dic10",1.2,"registered",400,112,0.28,0.238251423086441,0.325933986486049
"flag_dic2",0,"registered",400,22,0.055,0.0365984940326693,0.0818674480571407
"flag_dic2",0.15,"amendment",400,25,0.0625,0.0426891412842931,0.090634116388273
"flag_dic2",0.3,"registered",400,48,0.12,0.0917153905578831,0.155513953249146
"flag_dic2",0.6,"registered",400,101,0.2525,0.212416941096282,0.297291644672769
"flag_dic2",1.2,"registered",400,234,0.585,0.536128984806035,0.632253925131867
"flag_dic5",0,"registered",400,5,0.0125,0.00535075074609147,0.0289237363747678
"flag_dic5",0.15,"amendment",400,8,0.02,0.0101683867392116,0.0389634159644037
"flag_dic5",0.3,"registered",400,18,0.045,0.028651458552894,0.0700047294265747
"flag_dic5",0.6,"registered",400,59,0.1475,0.116106073136787,0.185600094473681
"flag_dic5",1.2,"registered",400,181,0.4525,0.404404788143123,0.501498879832756
"flag_margin",0,"registered",400,94,0.235,0.196090974527135,0.278950541548819
"flag_margin",0.15,"amendment",400,102,0.255,0.214756700582186,0.299904323714451
"flag_margin",0.3,"registered",400,103,0.2575,0.217098274836114,0.302515187988108
"flag_margin",0.6,"registered",400,143,0.3575,0.312092782020865,0.40561822190677
"flag_margin",1.2,"registered",400,283,0.7075,0.661114423629606,0.749937974159977
"flag_post",0,"registered",400,37,0.0925,0.0678539343321869,0.124898585671403
"flag_post",0.15,"amendment",400,33,0.0825,0.0593458760753009,0.113596889817948
"flag_post",0.3,"registered",400,45,0.1125,0.0851484585976444,0.147223569626628
"flag_post",0.6,"registered",400,94,0.235,0.196090974527135,0.278950541548819
"flag_post",1.2,"registered",400,216,0.54,0.491008822939002,0.588230193502363
