"rule","drift","n_studies","spread","tau_re","power","lo","hi"
"flag_dic10",0.3,6,0.25,0,0,0,0.0713476001786141
"flag_dic10",0.3,6,0.25,0.15,0,0,0.0713476001786141
"flag_dic10",0.3,6,0.6,0,0,0,0.0713476001786141
"flag_dic10",0.3,6,0.6,0.15,0,0,0.0713476001786141
"flag_dic10",0.3,12,0.25,0,0,0,0.0713476001786141
"flag_dic10",0.3,12,0.25,0.15,0.02,0.0035392592325046,0.104954436938965
"flag_dic10",0.3,12,0.6,0,0,0,0.0713476001786141
"flag_dic10",0.3,12,0.6,0.15,0.02,0.0035392592325046,0.104954436938965
"flag_dic10",0.6,6,0.25,0,0,0,0.0713476001786141
"flag_dic10",0.6,6,0.25,0.15,0,0,0.0713476001786141
"flag_dic10",0.6,6,0.6,0,0.02,0.0035392592325046,0.104954436938965
"flag_dic10",0.6,6,0.6,0.15,0.04,0.0110388842281735,0.134600907936151
"flag_dic10",0.6,12,0.25,0,0,0,0.0713476001786141
"flag_dic10",0.6,12,0.25,0.15,0.06,0.0206149701884362,0.162170917968744
"flag_dic10",0.6,12,0.6,0,0.08,0.0315495138693115,0.188382470280724
"flag_dic10",0.6,12,0.6,0.15,0.18,0.0977019262304215,0.307960537883892
"flag_dic10",1.2,6,0.25,0,0.02,0.0035392592325046,0.104954436938965
"flag_dic10",1.2,6,0.25,0.15,0.16,0.083374206354009,0.285142161767449
"flag_dic10",1.2,6,0.6,0,0.22,0.127539159145196,0.352415496954828
"flag_dic10",1.2,6,0.6,0.15,0.3,0.191035534303057,0.437503505768389
"flag_dic10",1.2,12,0.25,0,0.1,0.0434757646567589,0.213602315486132
"flag_dic10",1.2,12,0.25,0.15,0.14,0.0695083338917044,0.261861938236898
"flag_dic10",1.2,12,0.6,0,0.62,0.48150446822859,0.741372107728543
"flag_dic10",1.2,12,0.6,0.15,0.68,0.541897025803224,0.792417838132475
"flag_dic2",0.3,6,0.25,0,0.06,0.0206149701884362,0.162170917968744
"flag_dic2",0.3,6,0.25,0.15,0.1,0.0434757646567589,0.213602315486132
"flag_dic2",0.3,6,0.6,0,0.12,0.0561760011811936,0.238048174954553
"flag_dic2",0.3,6,0.6,0.15,0.14,0.0695083338917044,0.261861938236898
"flag_dic2",0.3,12,0.25,0,0.04,0.0110388842281735,0.134600907936151
"flag_dic2",0.3,12,0.25,0.15,0.08,0.0315495138693115,0.188382470280724
"flag_dic2",0.3,12,0.6,0,0.22,0.127539159145196,0.352415496954828
"flag_dic2",0.3,12,0.6,0.15,0.2,0.112437499642348,0.33037106046482
"flag_dic2",0.6,6,0.25,0,0.04,0.0110388842281735,0.134600907936151
"flag_dic2",0.6,6,0.25,0.15,0.12,0.0561760011811936,0.238048174954553
"flag_dic2",0.6,6,0.6,0,0.26,0.158715274300896,0.395531573784839
"flag_dic2",0.6,6,0.6,0.15,0.36,0.241387495717105,0.498589832332907
"flag_dic2",0.6,12,0.25,0,0.14,0.0695083338917044,0.261861938236898
"flag_dic2",0.6,12,0.25,0.15,0.28,0.174741705988143,0.416651238090447
"flag_dic2",0.6,12,0.6,0,0.42,0.293750032662329,0.557665583366249
"flag_dic2",0.6,12,0.6,0.15,0.4,0.276083896444286,0.538185623591437
"flag_dic2",1.2,6,0.25,0,0.2,0.112437499642348,0.33037106046482
"flag_dic2",1.2,6,0.25,0.15,0.28,0.174741705988143,0.416651238090447
"flag_dic2",1.2,6,0.6,0,0.66,0.521538259396947,0.775630508545896
"flag_dic2",1.2,6,0.6,0.15,0.58,0.442334416633751,0.706249967337671
"flag_dic2",1.2,12,0.25,0,0.58,0.442334416633751,0.706249967337671
"flag_dic2",1.2,12,0.25,0.15,0.54,0.403988712973927,0.670303479011784
"flag_dic2",1.2,12,0.6,0,0.92,0.811617529719276,0.968450486130689
"flag_dic2",1.2,12,0.6,0.15,0.92,0.811617529719276,0.968450486130689
"flag_dic5",0.3,6,0.25,0,0.02,0.0035392592325046,0.104954436938965
"flag_dic5",0.3,6,0.25,0.15,0.06,0.0206149701884362,0.162170917968744
"flag_dic5",0.3,6,0.6,0,0.04,0.0110388842281735,0.134600907936151
"flag_dic5",0.3,6,0.6,0.15,0.06,0.0206149701884362,0.162170917968744
"flag_dic5",0.3,12,0.25,0,0,0,0.0713476001786141
"flag_dic5",0.3,12,0.25,0.15,0.04,0.0110388842281735,0.134600907936151
"flag_dic5",0.3,12,0.6,0,0.06,0.0206149701884362,0.162170917968744
"flag_dic5",0.3,12,0.6,0.15,0.08,0.0315495138693115,0.188382470280724
"flag_dic5",0.6,6,0.25,0,0,0,0.0713476001786141
"flag_dic5",0.6,6,0.25,0.15,0.08,0.0315495138693115,0.188382470280724
"flag_dic5",0.6,6,0.6,0,0.12,0.0561760011811936,0.238048174954553
"flag_dic5",0.6,6,0.6,0.15,0.16,0.083374206354009,0.285142161767449
"flag_dic5",0.6,12,0.25,0,0.06,0.0206149701884362,0.162170917968744
"flag_dic5",0.6,12,0.25,0.15,0.18,0.0977019262304215,0.307960537883892
"flag_dic5",0.6,12,0.6,0,0.28,0.174741705988143,0.416651238090447
"flag_dic5",0.6,12,0.6,0.15,0.3,0.191035534303057,0.437503505768389
"flag_dic5",1.2,6,0.25,0,0.06,0.0206149701884362,0.162170917968744
"flag_dic5",1.2,6,0.25,0.15,0.18,0.0977019262304215,0.307960537883892
"flag_dic5",1.2,6,0.6,0,0.46,0.329696520988216,0.596011287026074
"flag_dic5",1.2,6,0.6,0.15,0.44,0.311621991202537,0.576939720818897
"flag_dic5",1.2,12,0.25,0,0.38,0.258627892271457,0.51849553177141
"flag_dic5",1.2,12,0.25,0.15,0.42,0.293750032662329,0.557665583366249
"flag_dic5",1.2,12,0.6,0,0.82,0.692039462116108,0.902298073769578
"flag_dic5",1.2,12,0.6,0.15,0.86,0.738138061763102,0.930491666108296
"flag_margin",0.3,6,0.25,0,0.4,0.276083896444286,0.538185623591437
"flag_margin",0.3,6,0.25,0.15,0.46,0.329696520988216,0.596011287026074
"flag_margin",0.3,6,0.6,0,0.2,0.112437499642348,0.33037106046482
"flag_margin",0.3,6,0.6,0.15,0.22,0.127539159145196,0.352415496954828
"flag_margin",0.3,12,0.25,0,0.18,0.0977019262304215,0.307960537883892
"flag_margin",0.3,12,0.25,0.15,0.3,0.191035534303057,0.437503505768389
"flag_margin",0.3,12,0.6,0,0.14,0.0695083338917044,0.261861938236898
"flag_margin",0.3,12,0.6,0.15,0.16,0.083374206354009,0.285142161767449
"flag_margin",0.6,6,0.25,0,0.38,0.258627892271457,0.51849553177141
"flag_margin",0.6,6,0.25,0.15,0.46,0.329696520988216,0.596011287026074
"flag_margin",0.6,6,0.6,0,0.32,0.207582161867525,0.458102974196776
"flag_margin",0.6,6,0.6,0.15,0.36,0.241387495717105,0.498589832332907
"flag_margin",0.6,12,0.25,0,0.18,0.0977019262304215,0.307960537883892
"flag_margin",0.6,12,0.25,0.15,0.48,0.347971351908999,0.614882552098145
"flag_margin",0.6,12,0.6,0,0.32,0.207582161867525,0.458102974196776
"flag_margin",0.6,12,0.6,0.15,0.36,0.241387495717105,0.498589832332907
"flag_margin",1.2,6,0.25,0,0.58,0.442334416633751,0.706249967337671
"flag_margin",1.2,6,0.25,0.15,0.56,0.423060279181103,0.688378008797463
"flag_margin",1.2,6,0.6,0,0.74,0.604468426215161,0.841284725699104
"flag_margin",1.2,6,0.6,0.15,0.68,0.541897025803224,0.792417838132475
"flag_margin",1.2,12,0.25,0,0.66,0.521538259396947,0.775630508545896
"flag_margin",1.2,12,0.25,0.15,0.62,0.48150446822859,0.741372107728543
"flag_margin",1.2,12,0.6,0,0.9,0.786397684513868,0.956524235343241
"flag_margin",1.2,12,0.6,0.15,0.92,0.811617529719276,0.968450486130689
"flag_post",0.3,6,0.25,0,0.08,0.0315495138693115,0.188382470280724
"flag_post",0.3,6,0.25,0.15,0.1,0.0434757646567589,0.213602315486132
"flag_post",0.3,6,0.6,0,0.12,0.0561760011811936,0.238048174954553
"flag_post",0.3,6,0.6,0.15,0.12,0.0561760011811936,0.238048174954553
"flag_post",0.3,12,0.25,0,0.02,0.0035392592325046,0.104954436938965
"flag_post",0.3,12,0.25,0.15,0.12,0.0561760011811936,0.238048174954553
"flag_post",0.3,12,0.6,0,0.16,0.083374206354009,0.285142161767449
"flag_post",0.3,12,0.6,0.15,0.18,0.0977019262304215,0.307960537883892
"flag_post",0.6,6,0.25,0,0.04,0.0110388842281735,0.134600907936151
"flag_post",0.6,6,0.25,0.15,0.1,0.0434757646567589,0.213602315486132
"flag_post",0.6,6,0.6,0,0.24,0.142973913373266,0.374126838719613
"flag_post",0.6,6,0.6,0.15,0.32,0.207582161867525,0.458102974196776
"flag_post",0.6,12,0.25,0,0.12,0.0561760011811936,0.238048174954553
"flag_post",0.6,12,0.25,0.15,0.28,0.174741705988143,0.416651238090447
"flag_post",0.6,12,0.6,0,0.4,0.276083896444286,0.538185623591437
"flag_post",0.6,12,0.6,0.15,0.38,0.258627892271457,0.51849553177141
"flag_post",1.2,6,0.25,0,0.12,0.0561760011811936,0.238048174954553
"flag_post",1.2,6,0.25,0.15,0.22,0.127539159145196,0.352415496954828
"flag_post",1.2,6,0.6,0,0.62,0.48150446822859,0.741372107728543
"flag_post",1.2,6,0.6,0.15,0.58,0.442334416633751,0.706249967337671
"flag_post",1.2,12,0.25,0,0.52,0.385117447901855,0.652028648091001
"flag_post",1.2,12,0.25,0.15,0.46,0.329696520988216,0.596011287026074
"flag_post",1.2,12,0.6,0,0.88,0.761951825045447,0.943823998818806
"flag_post",1.2,12,0.6,0.15,0.92,0.811617529719276,0.968450486130689
