"prior","xvar","drift","flag_rate","contraction_C","post_sd_contrast","data_only_se","n"
"normal(0, 1)","x1",0,0,0.197315015692229,0.819319704899717,1.00520506203394,60
"normal(0, 1)","x1",0.3,0.0166666666666667,0.204354165102161,0.811221644002681,0.989533519566603,60
"normal(0, 1)","x1",0.6,0.05,0.214946779237604,0.81383641659148,0.995155421734656,60
"normal(0, 1)","x1",1.2,0.15,0.258603990800366,0.784757298171933,0.943320372575303,60
"normal(0, 1)","x2",0,0,0.228794453582875,0.793551322905499,0.954886751347363,60
"normal(0, 1)","x2",0.3,0.0333333333333333,0.275818957246105,0.745628707058168,0.877624573166657,60
"normal(0, 1)","x2",0.6,0.0333333333333333,0.231602061488926,0.77890117520128,0.933287393890483,60
"normal(0, 1)","x2",1.2,0.1,0.222526050488835,0.78034123590957,0.935714967147625,60
"normal(0, 2.5)","x1",0,0.01,0.367703173738707,1.50359969596087,1.66137877835531,100
"normal(0, 2.5)","x1",0.3,0.04,0.329409277482407,1.68789305299751,1.90465547560578,100
"normal(0, 2.5)","x1",0.6,0.04,0.34530676684712,1.60948279159105,1.80765541292106,100
"normal(0, 2.5)","x1",1.2,0.12,0.423684398078742,1.45768825225409,1.58788993635643,100
"normal(0, 2.5)","x2",0,0,0.363001524494803,1.57219373069503,1.75530032176207,100
"normal(0, 2.5)","x2",0.3,0.04,0.355982098875135,1.55557751126746,1.69592382520595,100
"normal(0, 2.5)","x2",0.6,0.02,0.336859463619469,1.61989510642336,1.82244635402185,100
"normal(0, 2.5)","x2",1.2,0.12,0.377436001515067,1.52392119058243,1.67608503676122,100
