"strategy","shift","n","rmse","p_material"
"always_common",0,1479,0.0417384992940272,0.429459122841772
"always_common",0.5,1479,0.0622411232870876,0.575077808922455
"always_common",1,1479,0.0994744351075137,0.695564280888179
"always_common",1.5,1479,0.13923097336314,0.745573642380156
"always_relaxed",0,1479,0.0508785062368472,0.487530221338235
"always_relaxed",0.5,1479,0.0757091443092258,0.687293606236656
"always_relaxed",1,1479,0.122699630600409,0.795235678952385
"always_relaxed",1.5,1479,0.167263333805106,0.860302118410665
"check_then_relax",0,1479,0.04207785411959,0.424634562628384
"check_then_relax",0.5,1479,0.0600441302153097,0.561770922934574
"check_then_relax",1,1479,0.0931934349482556,0.681383655649054
"check_then_relax",1.5,1479,0.127810558576591,0.73020180120533
