"rule","xvar","tau_re","n","rate","lo","hi"
"flag_dic10","x1",0,200,0,0,0.0188453266689629
"flag_dic10","x1",0.15,200,0,0,0.0188453266689629
"flag_dic10","x2",0,200,0,0,0.0188453266689629
"flag_dic10","x2",0.15,200,0,0,0.0188453266689629
"flag_dic2","x1",0,200,0.04,0.0204056319610195,0.0769320685744264
"flag_dic2","x1",0.15,200,0.07,0.042152171661401,0.114054809273907
"flag_dic2","x2",0,200,0.055,0.030985341565708,0.095786999169669
"flag_dic2","x2",0.15,200,0.095,0.0616631025074492,0.143601612094411
"flag_dic5","x1",0,200,0.005,0.000883168705845376,0.0277737046964279
"flag_dic5","x1",0.15,200,0.02,0.00780442636215935,0.0502870872400451
"flag_dic5","x2",0,200,0.005,0.000883168705845376,0.0277737046964279
"flag_dic5","x2",0.15,200,0.03,0.0138203142591914,0.0638942928096337
"flag_margin","x1",0,200,0.235,0.181574333774199,0.298413689360352
"flag_margin","x1",0.15,200,0.235,0.181574333774199,0.298413689360352
"flag_margin","x2",0,200,0.255,0.199604951324582,0.319629258743209
"flag_margin","x2",0.15,200,0.265,0.208681541067006,0.330175762467407
"flag_post","x1",0,200,0.075,0.0459749170083305,0.120043610660288
"flag_post","x1",0.15,200,0.11,0.0737724443681673,0.160926910433624
"flag_post","x2",0,200,0.08,0.0498405857048716,0.125989488697057
"flag_post","x2",0.15,200,0.145,0.10289350613885,0.200486675796114
