"rule","xvar","n","rate","lo","hi"
"flag_dic10","x1",400,0,0,0.00951229448293259
"flag_dic10","x2",400,0,0,0.00951229448293259
"flag_dic2","x1",400,0.055,0.0365984940326693,0.0818674480571407
"flag_dic2","x2",400,0.075,0.053037743777935,0.105047706532558
"flag_dic5","x1",400,0.0125,0.00535075074609147,0.0289237363747678
"flag_dic5","x2",400,0.0175,0.00850229106048627,0.0356770731155437
"flag_margin","x1",400,0.235,0.196090974527135,0.278950541548819
"flag_margin","x2",400,0.26,0.219441646747279,0.305124254604529
"flag_post","x1",400,0.0925,0.0678539343321869,0.124898585671403
"flag_post","x2",400,0.1125,0.0851484585976444,0.147223569626628
