"S","spread","D","E","model","bias","sd_post","coverage","data_share"
1,0.3,0,0,"shared",0,0.1,0.95,0
1,0.3,0,0,"separate",-0.3,0.5,1,0
1,0.3,0,0,"hierarchical",0,0.180277563773199,0.999589710443273,0
2,0.3,0,0,"shared",0,0.0920574617898323,0.95,0.152542372881356
2,0.3,0,0,"separate",-0.0545454545454545,0.21320071635561,0.963066621616593,0.818181818181818
2,0.3,0,0,"hierarchical",0,0.143194734055407,0.990988856363201,0.369085173501577
4,0.3,0,0,"shared",0,0.0912870929175277,0.95,0.166666666666667
4,0.3,0,0,"separate",-0.05,0.204124145231932,0.961997787252847,0.833333333333333
4,0.3,0,0,"hierarchical",0,0.140345893053447,0.989907049688997,0.393939393939394
1,1,0,0,"shared",0,0.1,0.95,0
1,1,0,0,"separate",-0.3,0.5,1,0
1,1,0,0,"hierarchical",0,0.180277563773199,0.999589710443273,0
2,1,0,0,"shared",5.55111512312578e-17,0.0577350269189626,0.95,0.666666666666667
2,1,0,0,"separate",-0.0058823529411765,0.0700140042014005,0.951434485070756,0.980392156862745
2,1,0,0,"hierarchical",0,0.0658280588604383,0.96033403224984,0.866666666666667
4,1,0,0,"shared",0,0.0557086014531156,0.95,0.689655172413793
4,1,0,0,"separate",-0.00530451866404713,0.0664863310766904,0.951293840478114,0.982318271119843
4,1,0,0,"hierarchical",0,0.0628705233213682,0.959448188126125,0.878378378378378
1,0.3,0.15,0,"shared",-0.15,0.1,0.676958840223195,0
1,0.3,0.15,0,"separate",-0.45,0.5,1,0
1,0.3,0.15,0,"hierarchical",-0.15,0.180277563773199,0.97899244974323,0
2,0.3,0.15,0,"shared",-0.127118644067797,0.0920574617898323,0.718322196247551,0.152542372881356
2,0.3,0.15,0,"separate",-0.0818181818181818,0.21320071635561,0.954510860987429,0.818181818181818
2,0.3,0.15,0,"hierarchical",-0.0946372239747634,0.143194734055407,0.958033807049738,0.369085173501577
4,0.3,0.15,0,"shared",-0.125,0.0912870929175277,0.72218969643247,0.166666666666667
4,0.3,0.15,0,"separate",-0.075,0.204124145231932,0.954074092127944,0.833333333333333
4,0.3,0.15,0,"hierarchical",-0.0909090909090908,0.140345893053447,0.957191456743468,0.393939393939394
1,1,0.15,0,"shared",-0.15,0.1,0.676958840223195,0
1,1,0.15,0,"separate",-0.45,0.5,1,0
1,1,0.15,0,"hierarchical",-0.15,0.180277563773199,0.97899244974323,0
2,1,0.15,0,"shared",-0.05,0.0577350269189626,0.86065230049049,0.666666666666667
2,1,0.15,0,"separate",-0.00882352941176473,0.0700140042014005,0.950430730055428,0.980392156862745
