"cell","g_n","beta","shift","bias_naive","bias_cal","mcse_cal","rmse_naive","rmse_cal","cov_naive","cov_cal","control_flag"
1,0,0,0,0.00410606249083578,0.00515342443266743,0.00455599901308189,0.148160313340941,0.203764704182992,0.953,0.9615,0.043
2,0.25,0,0,-0.00463404265060068,-0.00241309091281906,0.00472281629359401,0.150808116168869,0.211171744085436,0.9535,0.949,0.044
3,0.5,0,0,0.00408459868875047,0.00583651522834681,0.00438217322824297,0.146492211205071,0.196014657289875,0.9545,0.9635,0.0405
4,1,0,0,0.000929218881921855,-0.000210943341390953,0.00442413106885741,0.150230016404697,0.197803799231051,0.952,0.9605,0.056
5,0,0.5,0,-0.000370240946106003,-0.00539824632285141,0.00468856146246621,0.148643183190676,0.209695912285913,0.952,0.9505,0.05
6,0.25,0.5,0,0.0006157496249372,0.00244334845249045,0.00443812161897093,0.143686004491409,0.19844424919284,0.966,0.965,0.043
7,0.5,0.5,0,-0.000858852079992914,-0.00469613042040849,0.00436437327557109,0.149347857764988,0.195188406581628,0.951,0.9715,0.044
8,1,0.5,0,0.00126598083274609,-0.00220229164221251,0.00430233470536773,0.148934332363574,0.192370756193824,0.945,0.9645,0.039
9,0,0,0.5,0.224722515100199,0.226531465092668,0.0045726468385344,0.268327857610505,0.305145528883905,0.6745,0.8115,0.0445
10,0.25,0,0.5,0.22986030997637,0.117084781172631,0.00454011302227288,0.270925924276415,0.23433626664691,0.663,0.9175,0.1205
11,0.5,0,0.5,0.229383462873716,0.00133295501167528,0.00439047236610306,0.271214789316219,0.196303325790713,0.6605,0.962,0.3515
12,1,0,0.5,0.22453913454281,-0.183388766009579,0.00428889343065865,0.267544236910069,0.265334239424071,0.681,0.8655,0.8335
13,0,0.5,0.5,0.397388851392833,0.398866021234684,0.00465502354535918,0.423383818236338,0.449901013631972,0.2305,0.5175,0.0425
14,0.25,0.5,0.5,0.399109686576107,0.282873748266461,0.00457617669559117,0.424407373173733,0.349112306233555,0.2065,0.722,0.125
15,0.5,0.5,0.5,0.395941575839677,0.170040846968388,0.00434052158298339,0.420670129392446,0.258021907470671,0.225,0.883,0.335
16,1,0.5,0.5,0.398136477542108,-0.00334653198418908,0.00398978405569166,0.423013263313381,0.178415342730419,0.2155,0.9725,0.82
