"cell","sep","het","partition","truth","bias","mcse","se","coverage","q_reject"
1,0,0,"B_CD",0.05,0.00254252899465812,0.00275328632125694,0.173205080756888,0.95,NA
1,0,0,"BCD",0.05,0.00160751989142364,0.00206228584143015,0.129099444873581,0.94725,0.047
1,0,0,"BD_C",0.05,0.00114001533980638,0.00225235361111796,0.14142135623731,0.9465,NA
2,0.3,0,"B_CD",0.05,0.301047556011864,0.00275417868106786,0.173205080756888,0.58525,NA
2,0.3,0,"BCD",0.05,0.0998240152322646,0.00205067292305057,0.129099444873581,0.88375,0.41425
2,0.3,0,"BD_C",0.05,-0.000787755157535091,0.00221901963625272,0.14142135623731,0.953,NA
3,0,0.15,"B_CD",0.2,-0.149483599796828,0.00272057862109245,0.173205080756888,0.8685,NA
3,0,0.15,"BCD",0.2,-0.151449163485178,0.00204208828301329,0.129099444873581,0.78125,0.047
3,0,0.15,"BD_C",0.2,-0.152431945329354,0.00223077445933881,0.14142135623731,0.815,NA
4,0.3,0.15,"B_CD",0.2,0.150362024062985,0.00272795602280641,0.173205080756888,0.8605,NA
4,0.3,0.15,"BCD",0.2,-0.048857066634381,0.0020317013382487,0.129099444873581,0.93325,0.3915
4,0.3,0.15,"BD_C",0.2,-0.148466611983064,0.00222087238731325,0.14142135623731,0.82175,NA
5,0,0.3,"B_CD",0.35,-0.297678618945443,0.00272348047748023,0.173205080756888,0.59675,NA
5,0,0.3,"BCD",0.35,-0.298137513978942,0.00205898220183416,0.129099444873581,0.36575,0.05075
5,0,0.3,"BD_C",0.35,-0.298366961495691,0.00226255350043859,0.14142135623731,0.43525,NA
6,0.3,0.3,"B_CD",0.35,-0.00215800727974037,0.00271585900960376,0.173205080756888,0.9575,NA
6,0.3,0.3,"BCD",0.35,-0.203731352591656,0.00203983852608744,0.129099444873581,0.64675,0.41425
6,0.3,0.3,"BD_C",0.35,-0.304518025247614,0.0022417426607103,0.14142135623731,0.42675,NA
