"cell","rate","mech","bu","method","n","bias","mcse","rmse","coverage","cov_mcse"
1,0.15,"MCAR",0,"complete_case",1000,-0.00686184065944601,0.0064592263477486,0.204271799971689,0.935,0.0077958322198467
1,0.15,"MCAR",0,"mi_generic",1000,-0.00797387224228844,0.00593015568271414,0.187603737471677,0.95,0.00689202437604511
1,0.15,"MCAR",0,"mi_congenial",1000,-0.00295957230928582,0.00597905919996631,0.189003065678943,0.945,0.00720936890441875
1,0.15,"MCAR",0,"ipw",1000,-0.0042533349919747,0.00618443782687905,0.195517556300839,0.95,0.00689202437604511
2,0.3,"MCAR",0,"complete_case",1000,-0.0108420000984958,0.00699017990297388,0.221204207525535,0.941,0.00745110730026082
2,0.3,"MCAR",0,"mi_generic",1000,-0.0150588394669775,0.00591777306622275,0.187648039348511,0.953,0.00669260786241059
2,0.3,"MCAR",0,"mi_congenial",1000,-0.0054765555092235,0.00605872988176873,0.191576335262743,0.95,0.00689202437604511
2,0.3,"MCAR",0,"ipw",1000,-0.00361465181351084,0.00650316536394456,0.205577076296921,0.965,0.00581162627841812
3,0.5,"MCAR",0,"mi_generic",1000,-0.0244232135013001,0.00544211990394726,0.173734123699462,0.973,0.00512552436341883
3,0.5,"MCAR",0,"mi_congenial",1000,-0.00771616019492855,0.0058105785225301,0.18381675405652,0.971,0.00530650544143696
3,0.5,"MCAR",0,"ipw",1000,0.00110947747724241,0.00706943478008334,0.223446105676547,0.979,0.00453420334788814
3,0.5,"MCAR",0,"complete_case",1000,-0.0038799690556113,0.00793413831184522,0.250804015838286,0.949,0.00695693898205238
4,0.15,"MAR_x2",0,"mi_generic",1000,-0.0147762397814816,0.00596449187993671,0.189097661234942,0.947,0.00708456067798138
4,0.15,"MAR_x2",0,"mi_congenial",1000,-0.0011017204151923,0.00612939715903386,0.193734751171576,0.946,0.00714730718522718
4,0.15,"MAR_x2",0,"ipw",1000,0.00224359958016638,0.00758476308247564,0.239741811383297,0.958,0.00634318531969546
4,0.15,"MAR_x2",0,"complete_case",1000,0.00571506559774497,0.00753035038531345,0.238080097285454,0.936,0.0077397674383666
5,0.3,"MAR_x2",0,"ipw",1000,-0.00974693947006858,0.0101245819137347,0.320155672443936,0.963,0.00596917079668525
5,0.3,"MAR_x2",0,"complete_case",1000,-0.00879060098302191,0.00971967961492202,0.307335279964011,0.933,0.00790638982089803
5,0.3,"MAR_x2",0,"mi_generic",1000,-0.0207623147145942,0.00580242665564485,0.184568579805317,0.964,0.00589101010014412
5,0.3,"MAR_x2",0,"mi_congenial",1000,0.00341174997025277,0.00602539044043334,0.190474839985667,0.97,0.00539444158370447
6,0.5,"MAR_x2",0,"complete_case",1000,-0.00181632063662593,0.0141501417483153,0.447246670201774,0.923,0.00843036179532053
6,0.5,"MAR_x2",0,"mi_generic",1000,-0.0296595405645927,0.00561099084440377,0.179809408497525,0.976,0.00483983470792134
6,0.5,"MAR_x2",0,"mi_congenial",1000,0.000283509097308107,0.00596780247154157,0.188624314579024,0.97,0.00539444158370447
6,0.5,"MAR_x2",0,"ipw",1000,-0.00375386686013128,0.014826170008027,0.468625216250915,0.944,0.00727076337120113
7,0.15,"MAR_u",0,"complete_case",1000,0.00755013441898675,0.0065225162265837,0.206295126548996,0.95,0.00689202437604511
7,0.15,"MAR_u",0,"mi_generic",1000,-0.0116558050451467,0.00586416068074212,0.185714431050263,0.951,0.00682634602111555
7,0.15,"MAR_u",0,"mi_congenial",1000,0.00144896760239302,0.00599541451268077,0.189502373839477,0.954,0.00662449998113065
7,0.15,"MAR_u",0,"ipw",1000,0.00460682027590423,0.00713588707560899,0.22559074951013,0.968,0.00556560868189635
8,0.3,"MAR_u",0,"mi_generic",1000,-0.0247979605490645,0.00563892180441354,0.179946048927358,0.963,0.00596917079668525
8,0.3,"MAR_u",0,"mi_congenial",1000,0.00107989022534407,0.00589954037524895,0.18646967106061,0.951,0.00682634602111555
8,0.3,"MAR_u",0,"ipw",1000,0.00493703706019153,0.0093367027695792,0.295146097592013,0.96,0.00619677335393187
8,0.3,"MAR_u",0,"complete_case",1000,0.0119167162379836,0.00773284533726883,0.244702080577601,0.943,0.00733150734842434
9,0.5,"MAR_u",0,"ipw",1000,-0.000193751532060788,0.0131514099425728,0.41567614970525,0.941,0.00745110730026082
9,0.5,"MAR_u",0,"complete_case",1000,0.00269857159124506,0.0101772365907498,0.321682841892608,0.917,0.00872416185085994
9,0.5,"MAR_u",0,"mi_congenial",1000,-0.00275938946108255,0.00627189926973375,0.198254881300398,0.945,0.00720936890441875
9,0.5,"MAR_u",0,"mi_generic",1000,-0.0378532551391828,0.0057972750566485,0.1871033367126,0.945,0.00720936890441875
10,0.15,"MAR_u_armA",0,"ipw",1000,-0.0519882617486736,0.00767235770243175,0.248010054233691,0.937,0.00768316341099159
10,0.15,"MAR_u_armA",0,"complete_case",1000,-0.337613765873656,0.00690342109012981,0.401985846059651,0.617,0.0153724103510152
10,0.15,"MAR_u_armA",0,"mi_generic",1000,-0.0233192941857641,0.00597892038836584,0.19040885221735,0.942,0.00739161687318817
10,0.15,"MAR_u_armA",0,"mi_congenial",1000,-0.00699102074244155,0.00603368291354858,0.190834479439037,0.947,0.00708456067798138
11,0.3,"MAR_u_armA",0,"complete_case",1000,-0.65242937382637,0.00846993755301853,0.705217831695534,0.272,0.0140718158032288
11,0.3,"MAR_u_armA",0,"mi_generic",1000,-0.0351555322954425,0.00605219913984024,0.19449523584096,0.947,0.00708456067798138
11,0.3,"MAR_u_armA",0,"mi_congenial",1000,-0.013536112861364,0.00620152680178031,0.196478248388777,0.943,0.00733150734842434
11,0.3,"MAR_u_armA",0,"ipw",1000,-0.145597624583118,0.0117892128026255,0.400056522570662,0.837,0.0116803681448831
12,0.5,"MAR_u_armA",0,"complete_case",997,-1.24547043800678,0.0179479799051138,1.36822442409586,0.297893681043129,0.0144838662996682
12,0.5,"MAR_u_armA",0,"mi_congenial",997,-0.1497819927569,0.00849736042969537,0.307166012262575,0.946840521564694,0.00710527995913498
12,0.5,"MAR_u_armA",0,"ipw",997,-0.779919066307973,0.0253068862382686,1.11631110677224,0.498495486459378,0.0158350871926302
12,0.5,"MAR_u_armA",0,"mi_generic",997,-0.04763738779422,0.00603717997947606,0.196395195083854,0.952858575727182,0.00671224799973738
13,0.15,"MAR_y",0,"mi_congenial",1000,0.0143400204567422,0.00602883373981619,0.191091929742686,0.963,0.00596917079668525
13,0.15,"MAR_y",0,"ipw",1000,-0.00173366060183435,0.00879599549440831,0.278020094201833,0.966,0.00573096850453743
13,0.15,"MAR_y",0,"complete_case",1000,0.00349323656600617,0.00628348500555283,0.198632586281552,0.942,0.00739161687318817
13,0.15,"MAR_y",0,"mi_generic",1000,-0.0176850490102284,0.00583714926833173,0.185340228303785,0.957,0.00641490451994416
14,0.3,"MAR_y",0,"ipw",1000,-0.00581451486619719,0.0118538945508848,0.37471070146261,0.968,0.00556560868189635
14,0.3,"MAR_y",0,"complete_case",1000,-0.00610904275526273,0.0076135610254501,0.240719059445134,0.945,0.00720936890441875
14,0.3,"MAR_y",0,"mi_generic",1000,-0.0359305371710891,0.00573977305301953,0.184940674830801,0.962,0.00604615580348373
14,0.3,"MAR_y",0,"mi_congenial",1000,0.00697896500150782,0.0060204422140313,0.190415820457571,0.959,0.00627048642451286
15,0.5,"MAR_y",0,"complete_case",1000,-0.0256922188806891,0.0099200307539085,0.314592900840666,0.926,0.00827792244467173
15,0.5,"MAR_y",0,"ipw",1000,-0.0352846900314498,0.0152283326313155,0.482612911105655,0.944,0.00727076337120113
15,0.5,"MAR_y",0,"mi_generic",1000,-0.0412538416969726,0.00537329552043463,0.174772171411618,0.965,0.00581162627841812
15,0.5,"MAR_y",0,"mi_congenial",1000,0.00333685024741075,0.00589361585938336,0.18630917250541,0.969,0.00548078461536303
16,0.15,"MNAR_x1",0,"mi_generic",1000,0.0349316712862454,0.00637247306750282,0.204421198122658,0.955,0.00655553201502365
16,0.15,"MNAR_x1",0,"mi_congenial",1000,0.0666505839030568,0.00649592354297326,0.215863674545062,0.953,0.00669260786241059
16,0.15,"MNAR_x1",0,"complete_case",1000,0.0109030684360159,0.00733931977406542,0.232229683788619,0.934,0.00785136930732467
16,0.15,"MNAR_x1",0,"ipw",1000,0.0607295129998546,0.00788796027080532,0.256604308353872,0.958,0.00634318531969546
17,0.3,"MNAR_x1",0,"mi_congenial",1000,0.0950785999490573,0.00716721443006873,0.245677703286586,0.953,0.00669260786241059
17,0.3,"MNAR_x1",0,"ipw",1000,0.0794633075732985,0.010562636873427,0.343179465692004,0.949,0.00695693898205238
17,0.3,"MNAR_x1",0,"complete_case",1000,-0.00586420680677092,0.00913679542069196,0.288845873175454,0.937,0.00768316341099159
17,0.3,"MNAR_x1",0,"mi_generic",1000,0.0331911737323129,0.00678988974886087,0.217159283044987,0.973,0.00512552436341883
18,0.5,"MNAR_x1",0,"ipw",1000,0.130436427854658,0.015082347665985,0.494230103917203,0.917,0.00872416185085994
18,0.5,"MNAR_x1",0,"mi_congenial",1000,0.171380149088891,0.00856391476482262,0.32037236298529,0.945,0.00720936890441875
18,0.5,"MNAR_x1",0,"complete_case",1000,0.0345321561186957,0.0138249891454434,0.438328260956285,0.904,0.00931579304192617
18,0.5,"MNAR_x1",0,"mi_generic",1000,0.0634910246211785,0.00751648174055411,0.245910777449412,0.982,0.00420428352992517
19,0.15,"MCAR",0.3,"complete_case",1000,-0.00215865255772948,0.00680666045287506,0.215148682717505,0.945,0.00720936890441875
19,0.15,"MCAR",0.3,"mi_generic",1000,-0.0053846250498471,0.00623978246683647,0.197294056005582,0.947,0.00708456067798138
19,0.15,"MCAR",0.3,"ipw",1000,-0.00622408547831986,0.00653505650372095,0.206647031876483,0.952,0.00675988165576884
19,0.15,"MCAR",0.3,"mi_congenial",1000,-0.00723369994162132,0.00629648426541728,0.199144155840406,0.949,0.00695693898205238
20,0.3,"MCAR",0.3,"complete_case",1000,-0.000476938444591449,0.0075723918996725,0.239340772609732,0.944,0.00727076337120113
20,0.3,"MCAR",0.3,"mi_generic",1000,-0.00149850109993329,0.00626337065068919,0.197971784862271,0.954,0.00662449998113065
20,0.3,"MCAR",0.3,"mi_congenial",1000,-0.00504900242118121,0.00637457666645432,0.201544250412351,0.952,0.00675988165576884
20,0.3,"MCAR",0.3,"ipw",1000,-0.00379909818741771,0.00711599378368674,0.224947023338777,0.955,0.00655553201502365
21,0.5,"MCAR",0.3,"mi_congenial",1000,-0.0115876164504604,0.00649060268081232,0.205475225007812,0.951,0.00682634602111555
21,0.5,"MCAR",0.3,"mi_generic",1000,-0.00370005488453743,0.00620067115550514,0.196019297167609,0.962,0.00604615580348373
21,0.5,"MCAR",0.3,"ipw",1000,-0.00762375444404355,0.00781508442741533,0.247128692577056,0.968,0.00556560868189635
21,0.5,"MCAR",0.3,"complete_case",1000,-0.0113356007695562,0.00886043191753088,0.280280649271835,0.942,0.00739161687318817
22,0.15,"MAR_x2",0.3,"ipw",1000,0.00173246810392863,0.00818639074044316,0.25875273487944,0.962,0.00604615580348373
22,0.15,"MAR_x2",0.3,"complete_case",1000,0.00668805915192223,0.00778733037303337,0.246224698110585,0.949,0.00695693898205238
22,0.15,"MAR_x2",0.3,"mi_congenial",1000,0.00324710088001506,0.00629221734782705,0.198904376063646,0.957,0.00641490451994416
22,0.15,"MAR_x2",0.3,"mi_generic",1000,0.00031332099253572,0.00619106366155287,0.195680960142226,0.961,0.00612200947402077
23,0.3,"MAR_x2",0.3,"ipw",1000,0.00966412819197284,0.0103695154402693,0.327891321918143,0.957,0.00641490451994416
23,0.3,"MAR_x2",0.3,"complete_case",1000,0.000883642915608065,0.0101394626588771,0.320478821659958,0.941,0.00745110730026082
23,0.3,"MAR_x2",0.3,"mi_generic",1000,-0.00475358688237075,0.00629110770527791,0.198899609631331,0.956,0.00648567652600714
23,0.3,"MAR_x2",0.3,"mi_congenial",1000,-0.00144909800747797,0.0065022249461756,0.205520680726911,0.948,0.00702111102319284
24,0.5,"MAR_x2",0.3,"complete_case",1000,-0.011358198685471,0.0148624846145917,0.46989526933928,0.904,0.00931579304192617
24,0.5,"MAR_x2",0.3,"mi_generic",1000,0.00453819388671278,0.00635588376671526,0.200941425299245,0.953,0.00669260786241059
24,0.5,"MAR_x2",0.3,"mi_congenial",1000,-0.00141910262013591,0.0068070948868429,0.215156264398531,0.944,0.00727076337120113
24,0.5,"MAR_x2",0.3,"ipw",1000,-0.00513858251952299,0.0149917866100688,0.473872680291221,0.934,0.00785136930732467
25,0.15,"MAR_u",0.3,"complete_case",1000,-0.055904299696952,0.00696513573818146,0.227134086961971,0.932,0.00796090447122687
25,0.15,"MAR_u",0.3,"mi_congenial",1000,-0.00200604199469266,0.006356672323811,0.20092511031167,0.949,0.00695693898205238
25,0.15,"MAR_u",0.3,"ipw",1000,-0.00515892884417874,0.00785020343974309,0.248174702373405,0.963,0.00596917079668525
