"cell","cens","mu_t","kappa","ctrl","lambda_c","n","bias_part_km","bias_tada","mcse_tada","bias_tada_miss","sd_tada","rmse_tada","rmse_part_km","se_ratio_fixed","cov_fixed","ess_part","ess_prod"
1,0.25,0.5,1.2,"none",0.0157464033832867,500,0.343619321161021,0.103036450462902,0.0608158020504016,0.378872123656819,1.35988267490869,1.36242388332772,1.09914871809542,0.932414646042853,0.954,334.383522212136,155.770604527208
2,0.6,0.5,1.2,"none",0.0756513071632183,500,0.758174744189746,0.310388637816511,0.120652629310832,0.824404038817394,2.69787480803104,2.71298959255919,1.44230468532216,0.80271585666246,0.886,334.150543191485,42.8247644323568
3,0.25,1.2,1.2,"none",0.0157464033832867,500,0.608014773411195,0.228754354754555,0.101019063581401,0.555670658640813,2.25885493191387,2.26815989450566,1.67102864773314,0.864546680849415,0.92,111.819634209883,51.1616795667762
4,0.6,1.2,1.2,"none",0.0756513071632183,500,1.2317382396492,0.136185628887249,0.157503135394187,0.894691742466622,3.52187717410756,3.5209882302212,2.22659982709081,0.75607331018981,0.866,111.594894371049,21.2759022884279
5,0.25,0.5,-1.2,"none",0.0112421094704927,500,-0.16871792697234,-0.0918251089208582,0.0433100681108059,-0.161870220460489,0.968442564059078,0.971821531203074,0.979410652632875,1.04787716708045,0.954,333.438423897858,282.624609982932
6,0.6,0.5,-1.2,"none",0.0743234647448667,500,-0.393588699800092,-0.104329431865969,0.0776619608916875,-0.359402012814918,1.73657423819744,1.73797103973425,1.15412876550376,1.01026516362736,0.97,333.30642852773,105.288707622029
7,0.25,1.2,-1.2,"none",0.0112421094704927,500,-0.0522357438815684,-0.00191284306662739,0.0622254763092921,0.0155829831717334,1.3914039495988,1.39001316541456,1.3921392703734,0.999389003757454,0.938,113.362719070476,111.248109221941
8,0.6,1.2,-1.2,"none",0.0743234647448667,500,-0.3571617635759,-0.173555655476621,0.0720001658934451,-0.208315450979336,1.60997265329005,1.61769882425656,1.55998823174866,1.01790781095647,0.95,112.815892471045,89.8981907058041
9,0,1.2,1.2,"no_censoring",0,500,0.00679922557906145,0.00679922557905968,0.0651786244048806,0.00679922557905968,1.4574383484924,1.45599605632894,1.45599605632894,0.941593396490951,0.938,111.399897050528,111.399897050528
10,0.6,1.2,0,"independent",0.068281556537005,500,-0.180343610846339,-0.0938871286628888,0.0826254811065869,-0.0827663736415603,1.84756192427953,1.84809980435255,1.66790474008376,1.03654151055492,0.954,111.280730743759,62.5875162030556
