"scenario","nS","nT","d","em_sd","kappa","rho_T","method","reference","cov_diff","cov_diff_mcse","discordant","n"
1,500,200,0,0,0,0.3,"target-fixed","joint-score",-0.00180000000000002,0.000599459756781054,9,5000
1,500,200,0,0,0,0.3,"normal-recon","joint-score",-0.000400000000000067,0.000489865287604664,6,5000
1,500,200,0,0,0,0.3,"reported-cov","joint-score",-0.000400000000000067,0.000489865287604664,6,5000
2,500,200,0,0,0,0.6,"target-fixed","joint-score",-0.000399999999999956,0.0003999599979998,4,5000
2,500,200,0,0,0,0.6,"normal-recon","joint-score",0.000600000000000045,0.000346306222872186,3,5000
2,500,200,0,0,0,0.6,"reported-cov","joint-score",0.000199999999999978,0.000346398614315935,3,5000
3,500,200,0,0.45,0,0.3,"target-fixed","joint-score",-0.00539999999999996,0.00114637166747962,33,5000
3,500,200,0,0.45,0,0.3,"normal-recon","joint-score",0.00140000000000007,0.000916301260503335,21,5000
3,500,200,0,0.45,0,0.3,"reported-cov","joint-score",0.000600000000000045,0.000824577467555354,17,5000
4,500,200,0,0.45,0,0.6,"target-fixed","joint-score",-0.00559999999999994,0.00116349817361266,34,5000
4,500,200,0,0.45,0,0.6,"normal-recon","joint-score",0.00180000000000002,0.000916161557805172,21,5000
4,500,200,0,0.45,0,0.6,"reported-cov","joint-score",0.000200000000000089,0.000959162134365197,23,5000
5,500,200,0,0.45,0.5,0.3,"target-fixed","joint-score",-0.00180000000000002,0.000774178274042872,15,5000
5,500,200,0,0.45,0.5,0.3,"normal-recon","joint-score",0.00339999999999996,0.0008232180756033,17,5000
5,500,200,0,0.45,0.5,0.3,"reported-cov","joint-score",0.00319999999999998,0.000798718974358316,16,5000
6,500,200,0,0.45,0.5,0.6,"target-fixed","joint-score",-0.00140000000000007,0.000663029411112358,11,5000
6,500,200,0,0.45,0.5,0.6,"normal-recon","joint-score",0.00279999999999991,0.000847603680973602,18,5000
6,500,200,0,0.45,0.5,0.6,"reported-cov","joint-score",0.002,0.000747796763833597,14,5000
7,500,200,0,0.45,1,0.3,"target-fixed","joint-score",0.00180000000000002,0.000916161557805172,21,5000
7,500,200,0,0.45,1,0.3,"normal-recon","joint-score",0.00680000000000003,0.00116221856808433,34,5000
7,500,200,0,0.45,1,0.3,"reported-cov","joint-score",0.006,0.00112818438209364,32,5000
8,500,200,0,0.45,1,0.6,"target-fixed","joint-score",0.00160000000000005,0.000937810215342102,22,5000
8,500,200,0,0.45,1,0.6,"normal-recon","joint-score",0.00680000000000003,0.00116221856808433,34,5000
8,500,200,0,0.45,1,0.6,"reported-cov","joint-score",0.00619999999999998,0.00111009549138802,31,5000
9,500,200,0,0.9,0,0.3,"target-fixed","joint-score",-0.0138,0.00164982180855994,69,5000
9,500,200,0,0.9,0,0.3,"normal-recon","joint-score",0.00119999999999998,0.000979648916704347,24,5000
9,500,200,0,0.9,0,0.3,"reported-cov","joint-score",0.000400000000000067,0.000848509281033508,18,5000
10,500,200,0,0.9,0,0.6,"target-fixed","joint-score",-0.016,0.00177448584102551,80,5000
10,500,200,0,0.9,0,0.6,"normal-recon","joint-score",0.00259999999999994,0.000871004018360421,19,5000
10,500,200,0,0.9,0,0.6,"reported-cov","joint-score",-0.000400000000000067,0.000894409302277207,20,5000
11,500,200,0,0.9,0.5,0.3,"target-fixed","joint-score",-0.000800000000000023,0.00105824004838222,28,5000
11,500,200,0,0.9,0.5,0.3,"normal-recon","joint-score",0.00880000000000003,0.00132079975772257,44,5000
11,500,200,0,0.9,0.5,0.3,"reported-cov","joint-score",0.00819999999999999,0.00127536347760158,41,5000
12,500,200,0,0.9,0.5,0.6,"target-fixed","joint-score",-0.000799999999999912,0.000938014925254391,22,5000
12,500,200,0,0.9,0.5,0.6,"normal-recon","joint-score",0.00940000000000007,0.00136467138901642,47,5000
12,500,200,0,0.9,0.5,0.6,"reported-cov","joint-score",0.00760000000000005,0.00122818891055082,38,5000
13,500,200,0,0.9,1,0.3,"target-fixed","joint-score",0.00560000000000005,0.00123033653932572,38,5000
