"scenario","nS","nT","d","em_sd","kappa","rho_T","method","width","ess_median","ess_p05","fail_reason","n_attempted","convergence","convergence_mcse","bias","bias_mcse","empse","empse_mcse","mse","mse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","coverage","coverage_mcse","becoverage","becoverage_mcse","rejection","rejection_mcse","n_used","truth","cov_err_pp","cov_err_pp_mcse"
1,500,200,0,0,0,0.3,"joint-score",0.72970307681131,481.158360001038,454.128306997806,"",5000,1,0,-0.000769938272964673,0.00266492789130836,0.18843885833173,0.00188457705044618,0.0355026942936443,0.000695304850242092,0.186287732274543,0.000100634849494958,-1.14155120458252,0.99012465402144,0.9482,0.0031342227106573,0.9476,0.00315132480077824,0.0518,0.0031342227106573,5000,0,-0.179999999999991,0.31342227106573
1,500,200,0,0,0,0.3,"normal-recon",0.730930383234813,481.158360001038,454.128306997806,"",5000,1,0,-0.000769938272964673,0.00266492789130836,0.18843885833173,0.00188457705044618,0.0355026942936443,0.000695304850242092,0.186596213564128,9.89517005110933e-05,-0.977847554328859,0.991711778410868,0.9478,0.00314563697841948,0.9476,0.00315132480077824,0.0522,0.00314563697841947,5000,0,-0.219999999999998,0.314563697841947
1,500,200,0,0,0,0.3,"reported-cov",0.730903507244129,481.158360001038,454.128306997806,"",5000,1,0,-0.000769938272964673,0.00266492789130836,0.18843885833173,0.00188457705044618,0.0355026942936443,0.000695304850242092,0.186589572450721,9.90307495171313e-05,-0.981371834547007,0.991678803723038,0.9478,0.00314563697841948,0.9478,0.00314563697841948,0.0522,0.00314563697841947,5000,0,-0.219999999999998,0.314563697841947
1,500,200,0,0,0,0.3,"target-fixed",0.726845221745287,481.158360001038,454.128306997806,"",5000,1,0,-0.000769938272964673,0.00266492789130836,0.18843885833173,0.00188457705044618,0.0355026942936443,0.000695304850242092,0.185553096846389,9.82940539335057e-05,-1.53140467464582,0.986164941975187,0.9464,0.00318518570887162,0.946,0.00319637294444813,0.0536,0.00318518570887162,5000,0,-0.359999999999994,0.318518570887162
2,500,200,0,0,0,0.6,"joint-score",0.718338243156274,482.73879497154,456.231601438805,"",5000,1,0,-0.00277888104617465,0.00251640173275167,0.177936472941829,0.00177954269258615,0.0316627783051663,0.000641690912442685,0.183390523246559,0.000100635833685768,3.0651671433958,1.03230522249575,0.9556,0.00291302729132427,0.9562,0.00289418589589542,0.0444,0.00291302729132427,5000,0,0.560000000000005,0.291302729132427
2,500,200,0,0,0,0.6,"normal-recon",0.720110706976045,482.73879497154,456.231601438805,"",5000,1,0,-0.00277888104617465,0.00251640173275167,0.177936472941829,0.00177954269258615,0.0316627783051663,0.000641690912442685,0.183839412414469,9.95316756246609e-05,3.31744210450338,1.03479071508894,0.9562,0.00289418589589542,0.9566,0.00288154264240528,0.0438,0.00289418589589542,5000,0,0.620000000000009,0.289418589589542
2,500,200,0,0,0,0.6,"reported-cov",0.719629889809788,482.73879497154,456.231601438805,"",5000,1,0,-0.00277888104617465,0.00251640173275167,0.177936472941829,0.00177954269258615,0.0316627783051663,0.000641690912442685,0.183716862787848,9.95503487272173e-05,3.24856941944074,1.03410349481717,0.9558,0.00290676314824583,0.9566,0.00288154264240528,0.0442,0.00290676314824583,5000,0,0.580000000000003,0.290676314824583
2,500,200,0,0,0,0.6,"target-fixed",0.715911084027557,482.73879497154,456.231601438805,"",5000,1,0,-0.00277888104617465,0.00251640173275167,0.177936472941829,0.00177954269258615,0.0316627783051663,0.000641690912442685,0.182767272177102,9.89646903796097e-05,2.71490108543011,1.0287562882332,0.9552,0.00292550713552368,0.9556,0.00291302729132427,0.0448,0.00292550713552369,5000,0,0.520000000000009,0.292550713552368
3,500,200,0,0.45,0,0.3,"joint-score",0.76368947918347,481.201847776223,454.887985184539,"",5000,1,0,0.00187510374722064,0.00277439793818351,0.196179559579954,0.00196199180479095,0.0384822383271282,0.000761469283176767,0.195008595666628,0.000121367612189854,-0.596883750698907,0.996053693570659,0.9458,0.00320194815698193,0.946,0.00319637294444813,0.0542,0.00320194815698193,5000,0,-0.419999999999998,0.320194815698193
3,500,200,0,0.45,0,0.3,"normal-recon",0.76496561214195,481.201847776223,454.887985184539,"",5000,1,0,0.00187510374722064,0.00277439793818351,0.196179559579954,0.00196199180479095,0.0384822383271282,0.000761469283176767,0.195311401470822,0.000113574501615818,-0.442532397865758,0.99735591656811,0.9472,0.00316266216975509,0.9466,0.00317957355631223,0.0528,0.00316266216975509,5000,0,-0.279999999999991,0.316266216975509
3,500,200,0,0.45,0,0.3,"reported-cov",0.764775171568195,481.201847776223,454.887985184539,"",5000,1,0,0.00187510374722064,0.00277439793818351,0.196179559579954,0.00196199180479095,0.0384822383271282,0.000761469283176767,0.195264558597124,0.000114152467245979,-0.466409948513014,0.997134668531513,0.9464,0.00318518570887162,0.9462,0.00319078548323136,0.0536,0.00318518570887162,5000,0,-0.359999999999994,0.318518570887162
3,500,200,0,0.45,0,0.3,"target-fixed",0.749058273773723,481.201847776223,454.887985184539,"",5000,1,0,0.00187510374722064,0.00277439793818351,0.196179559579954,0.00196199180479095,0.0384822383271282,0.000761469283176767,0.191238857899236,0.00010719282585192,-2.51845895224577,0.976442892676484,0.9404,0.00334806929438445,0.94,0.00335857112474933,0.0596,0.00334806929438445,5000,0,-0.959999999999994,0.334806929438445
4,500,200,0,0.45,0,0.6,"joint-score",0.754634664471732,482.828197385799,457.489336509235,"",5000,1,0,0.0023398306977908,0.00276454968162811,0.195483182680635,0.00195502733931639,0.0382115067837025,0.000769837568543593,0.192701374855589,0.000121419862700731,-1.42304201665822,0.987822877827174,0.944,0.00325158422926425,0.9442,0.00324611644892786,0.056,0.00325158422926425,5000,0,-0.6,0.325158422926425
4,500,200,0,0.45,0,0.6,"normal-recon",0.758464790400366,482.828197385799,457.489336509235,"",5000,1,0,0.0023398306977908,0.00276454968162811,0.195483182680635,0.00195502733931639,0.0382115067837025,0.000769837568543593,0.193659659064696,0.000115349412098444,-0.932828896548943,0.992526387415785,0.9458,0.00320194815698193,0.9464,0.00318518570887162,0.0542,0.00320194815698193,5000,0,-0.419999999999998,0.320194815698193
4,500,200,0,0.45,0,0.6,"reported-cov",0.755986346557037,482.828197385799,457.489336509235,"",5000,1,0,0.0023398306977908,0.00276454968162811,0.195483182680635,0.00195502733931639,0.0382115067837025,0.000769837568543593,0.193028158233763,0.0001154348326511,-1.25587501349561,0.989303943750807,0.9442,0.00324611644892786,0.9448,0.00322964270469661,0.0558,0.00324611644892786,5000,0,-0.579999999999992,0.324611644892786
4,500,200,0,0.45,0,0.6,"target-fixed",0.74024138733891,482.828197385799,457.489336509235,"",5000,1,0,0.0023398306977908,0.00276454968162811,0.195483182680635,0.00195502733931639,0.0382115067837025,0.000769837568543593,0.188990570147881,0.000106805100004041,-3.3213151350013,0.96842600478758,0.9384,0.00340015999623547,0.9382,0.00340531232047811,0.0616,0.00340015999623547,5000,0,-1.15999999999999,0.340015999623547
5,500,200,0,0.45,0.5,0.3,"joint-score",0.777940951076253,481.179150462518,453.423237167285,"",5000,1,0,0.00610346190813721,0.00282082993246603,0.199462797382072,0.00199482746654251,0.0398147027052378,0.000811157516774854,0.19864505551138,0.000122743916106746,-0.409972125842317,0.997899093711963,0.9504,0.00307049963361014,0.9508,0.00305873699425106,0.0496,0.00307049963361014,5000,0,0.0400000000000067,0.307049963361014
5,500,200,0,0.45,0.5,0.3,"normal-recon",0.789418610357601,481.179150462518,453.423237167285,"",5000,1,0,0.00610346190813721,0.00282082993246603,0.199462797382072,0.00199482746654251,0.0398147027052378,0.000811157516774854,0.201574188835208,0.000123989724787739,1.05853897611348,1.0125962771601,0.9538,0.00296868859936505,0.9532,0.00298696367570816,0.0462,0.00296868859936505,5000,0,0.380000000000003,0.296868859936505
5,500,200,0,0.45,0.5,0.3,"reported-cov",0.789218112319214,481.179150462518,453.423237167285,"",5000,1,0,0.00610346190813721,0.00282082993246603,0.199462797382072,0.00199482746654251,0.0398147027052378,0.000811157516774854,0.2015261904498,0.000125067074395411,1.03447514765158,1.01238937775907,0.9536,0.00297479545515318,0.9532,0.00298696367570816,0.0464,0.00297479545515318,5000,0,0.360000000000005,0.297479545515318
5,500,200,0,0.45,0.5,0.3,"target-fixed",0.773936718081969,481.179150462518,453.423237167285,"",5000,1,0,0.00610346190813721,0.00282082993246603,0.199462797382072,0.00199482746654251,0.0398147027052378,0.000811157516774854,0.197608021611045,0.000116978109811543,-0.929885570327249,0.992534390195604,0.9486,0.00312275647465504,0.9488,0.0031170036894428,0.0514,0.00312275647465504,5000,0,-0.139999999999996,0.312275647465504
6,500,200,0,0.45,0.5,0.6,"joint-score",0.768139574351187,482.817552184918,457.505394624597,"",5000,1,0,0.000174325333607266,0.00275216586094218,0.194607514322233,0.00194626977993265,0.037864540603074,0.00076897474593119,0.196140960398337,0.000120692254589351,0.787968584586718,1.00988659486879,0.9552,0.00292550713552368,0.9552,0.00292550713552368,0.0448,0.00292550713552369,5000,0,0.520000000000009,0.292550713552368
6,500,200,0,0.45,0.5,0.6,"normal-recon",0.781788737380155,482.817552184918,457.505394624597,"",5000,1,0,0.000174325333607266,0.00275216586094218,0.194607514322233,0.00194626977993265,0.037864540603074,0.00076897474593119,0.199624340646026,0.000122050536276081,2.57792014931451,1.02779705437924,0.958,0.00283675871374356,0.958,0.00283675871374356,0.042,0.00283675871374356,5000,0,0.800000000000001,0.283675871374356
6,500,200,0,0.45,0.5,0.6,"reported-cov",0.77937250053121,482.817552184918,457.505394624597,"",5000,1,0,0.000174325333607266,0.00275216586094218,0.194607514322233,0.00194626977993265,0.037864540603074,0.00076897474593119,0.19900965627585,0.000122482716782066,2.26206165211456,1.02465767501179,0.9572,0.00286245209566902,0.9572,0.00286245209566902,0.0428,0.00286245209566903,5000,0,0.72000000000001,0.286245209566902
6,500,200,0,0.45,0.5,0.6,"target-fixed",0.764547770574649,482.817552184918,457.505394624597,"",5000,1,0,0.000174325333607266,0.00275216586094218,0.194607514322233,0.00194626977993265,0.037864540603074,0.00076897474593119,0.195211496870983,0.000115814608006254,0.310359315185571,1.00496754532318,0.9538,0.00296868859936505,0.9538,0.00296868859936505,0.0462,0.00296868859936505,5000,0,0.380000000000003,0.296868859936505
7,500,200,0,0.45,1,0.3,"joint-score",0.802419508656397,481.0426409617,454.639376784559,"",5000,1,0,-0.00328915283146688,0.00286736847472797,0.202753569264068,0.00202773847662805,0.041111606573698,0.00081154548265803,0.204905661319055,0.000129648579681073,1.0614323894758,1.01273611847422,0.9548,0.00293792307591605,0.9542,0.00295642892693195,0.0452,0.00293792307591605,5000,0,0.480000000000003,0.293792307591605
7,500,200,0,0.45,1,0.3,"normal-recon",0.822857713317339,481.0426409617,454.639376784559,"",5000,1,0,-0.00328915283146688,0.00286736847472797,0.202753569264068,0.00202773847662805,0.041111606573698,0.00081154548265803,0.210145704849724,0.000139552336701725,3.64587198759929,1.03884500252452,0.9616,0.00271755183943195,0.9602,0.00276463234445378,0.0384,0.00271755183943195,5000,0,1.16000000000001,0.271755183943195
7,500,200,0,0.45,1,0.3,"reported-cov",0.822721793195209,481.0426409617,454.639376784559,"",5000,1,0,-0.00328915283146688,0.00286736847472797,0.202753569264068,0.00202773847662805,0.041111606573698,0.00081154548265803,0.210116716367093,0.000141353621077163,3.63157459064787,1.0387615763505,0.9608,0.0027445713690848,0.9606,0.00275127752144345,0.0392,0.0027445713690848,5000,0,1.08,0.27445713690848
7,500,200,0,0.45,1,0.3,"target-fixed",0.808170441693867,481.0426409617,454.639376784559,"",5000,1,0,-0.00328915283146688,0.00286736847472797,0.202753569264068,0.00202773847662805,0.041111606573698,0.00081154548265803,0.206389044981677,0.000135273218827729,1.79305140264869,1.02021620598714,0.9566,0.00288154264240528,0.9566,0.00288154264240528,0.0434,0.00288154264240528,5000,0,0.660000000000005,0.288154264240528
8,500,200,0,0.45,1,0.6,"joint-score",0.790652992597976,482.448289423042,457.541402561715,"",5000,1,0,-0.000553959973470374,0.00287995005208086,0.203643221130492,0.00203663588507763,0.0414625742717524,0.000832524885868264,0.201908405351497,0.000130120367119151,-0.851889775345849,0.993636831164546,0.9456,0.0032075111847038,0.9458,0.00320194815698193,0.0544,0.0032075111847038,5000,0,-0.439999999999996,0.32075111847038
8,500,200,0,0.45,1,0.6,"normal-recon",0.813479977052793,482.448289423042,457.541402561715,"",5000,1,0,-0.000553959973470374,0.00287995005208086,0.203643221130492,0.00203663588507763,0.0414625742717524,0.000832524885868264,0.207759407922659,0.000140690285176355,2.02127366151248,1.02265106561184,0.9524,0.00301112072159188,0.9522,0.00301712313305241,0.0476,0.00301112072159188,5000,0,0.240000000000007,0.301112072159188
