"cell","departure","m","law","rule","bias","rmse","coverage","cov_mcse","width","top_choice","top_share"
1,"linear",0.3,"normal","averaged",-0.0070797351161993,0.259745844078441,0.949,0.00491929873051028,0.995724996191779,"all",1
1,"linear",0.3,"normal","prespecified_maic",-0.000448682687941635,0.270618943277478,0.935,0.00551248582764618,0.998736125351675,"maic_means",1
1,"linear",0.3,"normal","most_favorable",-0.0508868301291858,0.264454204731119,0.934,0.0055517564788092,0.970138950853435,"stc_linear",0.2925
1,"linear",0.3,"normal","min_se",-0.0126072968358045,0.254820451525066,0.9385,0.00537204569973116,0.945157003379248,"stc_linear",0.6735
1,"linear",0.3,"normal","prespecified_stc",-0.0134611771879186,0.255076298646305,0.937,0.00543281694887652,0.94724776290478,"stc_linear",1
2,"threshold",0.3,"normal","averaged",-0.00422860726009748,0.249983162803884,0.9575,0.00451075104611194,0.986160704613395,"all",1
2,"threshold",0.3,"normal","prespecified_maic",0.00128216534628566,0.258589563800917,0.945,0.00509779364038993,0.989831455373891,"maic_means",1
2,"threshold",0.3,"normal","most_favorable",-0.0457601956488244,0.255182739685713,0.942,0.00522666241496426,0.962737329977324,"stc_flexible",0.3065
2,"threshold",0.3,"normal","min_se",-0.0089731110388396,0.247070544627057,0.947,0.0050095408971282,0.939287055535216,"stc_linear",0.5885
2,"threshold",0.3,"normal","prespecified_stc",-0.00839343513855892,0.246546670968505,0.9485,0.00494205169944629,0.942062920862873,"stc_linear",1
3,"interaction",0.3,"normal","averaged",-0.0104855393728326,0.245273152319064,0.956,0.00458606585212206,0.995235698106244,"all",1
3,"interaction",0.3,"normal","prespecified_maic",-0.00399846337927063,0.256907820087522,0.943,0.00518415856238985,1.00041694729398,"maic_means",1
3,"interaction",0.3,"normal","most_favorable",-0.0567767974770351,0.252298472373806,0.9425,0.00520546587732549,0.96530077209168,"stc_flexible",0.3965
3,"interaction",0.3,"normal","min_se",-0.0180765040839234,0.242182591181985,0.9475,0.00498717104178311,0.938537476091326,"stc_flexible",0.6875
3,"interaction",0.3,"normal","prespecified_stc",-0.0112221892853767,0.241139370981999,0.9495,0.00489641450451246,0.945266982090674,"stc_linear",1
4,"quadratic",0.3,"normal","prespecified_stc",-0.0184576858022552,0.243392945558634,0.949,0.00491929873051028,0.939401861499058,"stc_linear",1
