"cell","surface","mu","method","truth","n","bias","mcse","emp_sd","se_ratio","coverage","cov_mcse","rmse"
1,"none",0.5,"gam_full",-0.372643252194587,500,-0.00666620763392913,0.00835547858834221,0.186834181080772,1.01018247911964,0.958,0.00897061870775924,0.186766259056343
1,"none",0.5,"stc",-0.372643252194587,500,-0.00578625953562501,0.00835315882145079,0.18678230951616,1.0098991978206,0.96,0.00876356092008266,0.186685127113297
1,"none",0.5,"gam_struct",-0.372643252194587,500,-0.00531344760970533,0.00836514285145385,0.187050280573472,1.00881968590657,0.96,0.00876356092008266,0.186938665270699
2,"A",0.5,"gam_full",-0.356092816353815,500,0.00530317514770293,0.00813074124077357,0.181808901218307,0.950943560865298,0.95,0.00974679434480897,0.181704406318974
2,"A",0.5,"gam_struct",-0.356092816353815,500,0.00159825086717196,0.00809809819950954,0.18107898062572,0.955868452699552,0.95,0.00974679434480897,0.180904871233019
2,"A",0.5,"stc",-0.356092816353815,500,0.00469259063775854,0.00813719846772524,0.181953289202408,0.970583547460806,0.954,0.00936845771725528,0.181831806512407
3,"B",0.5,"gam_full",-0.104033605329037,500,-0.00883085091557087,0.00778197336713585,0.174010214480087,1.0201096404799,0.944,0.0102824121683582,0.174060275657061
3,"B",0.5,"gam_struct",-0.104033605329037,500,-0.021550918295506,0.007721739423619,0.172663342557521,1.03432208899083,0.948,0.00992935043192656,0.173831661911141
3,"B",0.5,"stc",-0.104033605329037,500,-0.0177035104074865,0.00773814936607578,0.173030280025923,1.04066774389842,0.95,0.00974679434480897,0.173761368350349
4,"C",0.5,"gam_full",-0.328446344466305,500,-0.0293590251814246,0.00841826960460653,0.188238230888205,0.999855645686059,0.952,0.00955991631762538,0.190327918772808
4,"C",0.5,"gam_struct",-0.328446344466305,500,-0.0268681365489924,0.00836904146444331,0.187137456210096,1.00411875785528,0.956,0.00917213170424412,0.18887107619582
4,"C",0.5,"stc",-0.328446344466305,500,-0.0273387844237743,0.00835553111601531,0.186835355635249,1.00544179798792,0.95,0.00974679434480897,0.18863998608166
5,"none",1,"gam_full",-0.262228486268652,500,-0.00162705945366523,0.0109266206463303,0.244326665295473,0.985392354667195,0.94,0.0106207344378814,0.244087639298108
5,"none",1,"gam_struct",-0.262228486268652,500,-8.92831174321893e-05,0.0106410374047917,0.237940829882321,1.00440746274485,0.952,0.00955991631762538,0.237702786730641
5,"none",1,"stc",-0.262228486268652,500,-0.000338290569982926,0.0106397783097918,0.237912675662223,1.00276371614246,0.95,0.00974679434480897,0.237674884661351
6,"A",1,"gam_full",-0.263594593249906,500,0.0074180654562097,0.00984452361647564,0.220130240125416,0.965142181791721,0.944,0.0102824121683582,0.220035078266059
6,"A",1,"gam_struct",-0.263594593249906,500,-0.00132690857139673,0.00968044444560605,0.216461318327854,0.974393428096463,0.946,0.0101078187557949,0.216248819682154
6,"A",1,"stc",-0.263594593249906,500,0.010699153007545,0.0100004304018782,0.223616421828553,0.984222866565666,0.95,0.00974679434480897,0.223648758946392
7,"B",1,"gam_full",0.132498459674642,500,-0.017065531491889,0.00980137801613915,0.219165475172592,1.0074222546191,0.942,0.0104533248299285,0.21961027039215
7,"B",1,"gam_struct",0.132498459674642,500,-0.0554709584336626,0.00959133144845471,0.214468691134762,1.03343292254745,0.946,0.0101078187557949,0.221318442674019
7,"B",1,"stc",0.132498459674642,500,-0.0447684219685823,0.00971295800311749,0.217188343575713,1.03703410448577,0.95,0.00974679434480897,0.221541523506427
8,"C",1,"gam_full",-0.135374804400647,500,-0.0858566671770971,0.0114501351121966,0.256032804624289,0.936390595587549,0.922,0.0119929979571415,0.269801887963095
8,"C",1,"gam_struct",-0.135374804400647,500,-0.0802908724408643,0.0111617598064571,0.24958453675763,0.949562131236507,0.926,0.0117067501895274,0.261943658644104
8,"C",1,"stc",-0.135374804400647,500,-0.0812346545258998,0.011053435195762,0.247162324826125,0.957606597228915,0.932,0.0112584190719657,0.259934810057773
