"cell","n_p","shrink","drift","percentile","truth","bias","mcse","emp_sd","cov_plug","cov_prop","mean_se_plug","widening"
1,300,"none",0,0.1,-0.0943694307474369,-0.044461018601166,0.00674209092042694,0.150757736085588,0.928,0.942,0.141069725840268,1.07257349215292
1,300,"none",0,0.5,-0.4,-0.00765436807908455,0.00350064327532263,0.0782767632859892,0.928,0.94,0.0737588474909882,1.01225446647804
1,300,"none",0,0.9,-0.705630569252563,0.0289831143115061,0.00449155511201465,0.100434225551515,0.946,0.958,0.103340617984372,1.06691431390989
2,1000,"none",0,0.1,-0.0943694307474369,-0.0184838284534491,0.00639000081446823,0.1428847619743,0.964,0.974,0.144019837321783,1.02353355709679
2,1000,"none",0,0.5,-0.4,-0.00989041969688314,0.00323265291528776,0.072284316662463,0.97,0.97,0.0746024320053834,1.00497275606751
2,1000,"none",0,0.9,-0.705630569252563,-0.00101620238013073,0.00470613070918998,0.105232281767481,0.942,0.948,0.10382148326803,1.02022703436352
3,5000,"none",0,0.1,-0.0943694307474369,0.0105820247257518,0.00634579990826972,0.14189639966503,0.96,0.962,0.145264233524512,1.00488821601649
3,5000,"none",0,0.5,-0.4,-0.000945122876613119,0.00336375128434303,0.0752157653119324,0.958,0.958,0.0750024019111052,1.00124978449779
3,5000,"none",0,0.9,-0.705630569252563,-0.013009684844755,0.00461359431938786,0.103163105187581,0.948,0.948,0.104118636142793,1.00405314634659
4,300,"none",0.5,0.1,-0.0943694307474369,-0.0374251467811037,0.00665619091230807,0.148836953511372,0.924,0.932,0.140826293259779,1.06921289955716
4,300,"none",0.5,0.5,-0.4,-0.00831433573717792,0.00337526280878313,0.0754731708236594,0.948,0.95,0.0743465406558093,1.01084858320764
4,300,"none",0.5,0.9,-0.705630569252563,0.0200534567373051,0.00472151583902848,0.105576303729096,0.938,0.948,0.105570783290247,1.06491323445189
5,1000,"none",0.5,0.1,-0.0943694307474369,-0.0229308111882345,0.00676405705752619,0.151248913843158,0.94,0.944,0.143330338098531,1.02223356224172
5,1000,"none",0.5,0.5,-0.4,-0.00378946350140412,0.00346362415183808,0.0774489905202001,0.934,0.938,0.0750900524000098,1.00471589291906
5,1000,"none",0.5,0.9,-0.705630569252563,0.0155322338457071,0.00492837572048436,0.110201831296625,0.942,0.952,0.106141463061541,1.01915397833767
6,5000,"none",0.5,0.1,-0.0943694307474369,0.00415840150208342,0.00616874007854309,0.137937221511497,0.968,0.968,0.144286463823493,1.00453564337649
6,5000,"none",0.5,0.5,-0.4,-0.0029597646883618,0.00325527611094239,0.0727901866959833,0.952,0.952,0.0751903395489755,1.00114888096562
6,5000,"none",0.5,0.9,-0.705630569252563,-0.0100649116925726,0.00479465642161508,0.107211776874872,0.958,0.958,0.106165187708283,1.00372895917432
