"cell","no_est","bias","mcse","coverage","cov_mcse","fail","med_ratio","med_eess","med_essp","med_ess","risk","shift","direction","n","delta"
1,0.556,-0.0745097525550159,0.0367828948941383,1,0,0.556,0.757272731319201,0,0,136.806923337757,0.005,0.3,"aligned",300,0
2,0.022,0.0120092696973646,0.0251665856174951,0.978527607361963,0.00463508106454269,0.043,0.763687048806131,1.89187816949512,2.38642791369635,136.878550156383,0.02,0.3,"aligned",300,0
3,0,-0.00926992670715827,0.0103872508213197,0.956,0.00648567652600714,0.044,0.793590818028535,10.586641052901,13.3710412252249,136.829154555573,0.1,0.3,"aligned",300,0
4,0.682,-0.0426664966335308,0.0551195704145874,0.993710691823899,0.00443320545712156,0.684,0.598704200148667,0,0,104.799832167052,0.005,0.6,"aligned",300,0
5,0.071,-0.0128118626188271,0.0330969137077387,0.958019375672766,0.00657966429599052,0.11,0.608822231537235,1.21552342260744,1.62658694356461,104.488616313631,0.02,0.6,"aligned",300,0
6,0,-0.00519998101021859,0.0133311639472192,0.951,0.00682634602111555,0.049,0.649401272150997,6.52122159362955,10.0057417060123,104.791937009029,0.1,0.6,"aligned",300,0
7,0.8,-0.0377723122775212,0.0863619403554804,0.96,0.013856406460551,0.808,0.518197644437998,0,0,67.5825862323261,0.005,0.9,"aligned",300,0
8,0.141,-0.0433567692746441,0.0463220373402688,0.90104772991851,0.0101880295852672,0.226,0.523895674244678,0.777452361133522,0.750324178816005,67.4591423248516,0.02,0.9,"aligned",300,0
9,0,0.00206824692040206,0.0181925942180921,0.938,0.00762600813007697,0.062,0.566402391918332,3.84893085318591,6.26096611680447,67.9946947298052,0.1,0.9,"aligned",300,0
10,0.256,-0.0360441278667237,0.0323471904192199,0.994623655913978,0.00268093603515332,0.26,1.34724629571812,0.736676751470499,0.470557347541995,136.388208407375,0.005,0.3,"misaligned",300,0
11,0,0.015477045643991,0.0192364723928816,0.954,0.00662449998113065,0.046,1.33228489705495,3.41922452956204,2.51602190576834,136.494377687195,0.02,0.3,"misaligned",300,0
12,0,0.00285427968028531,0.00829958715633911,0.951,0.00682634602111555,0.049,1.28122070869324,17.2350268418411,13.410534227652,136.598488247123,0.1,0.3,"misaligned",300,0
13,0.129,-0.032354963164671,0.033294441963141,0.964408725602755,0.00627759447592479,0.16,1.79853053654981,0.949314278523104,0.3801877102586,104.433579353669,0.005,0.6,"misaligned",300,0
14,0,-0.00805957388400117,0.0183701295861298,0.944,0.00727076337120113,0.056,1.77271201054618,3.78961258513254,1.91401427579996,104.128598783806,0.02,0.6,"misaligned",300,0
15,0,-0.007579583980525,0.00843756310259338,0.947,0.00708456067798138,0.053,1.65077562590494,17.4345868226295,10.2640212877095,104.645379096774,0.1,0.6,"misaligned",300,0
16,0.037,-0.000928467884503083,0.0405185625617449,0.884735202492212,0.0102906274571256,0.148,2.34736712625038,1.13521932919018,0.230973579191518,67.6655215749136,0.005,0.9,"misaligned",300,0
17,0,-0.0289813946194388,0.0193788622559873,0.928,0.00817410545564467,0.072,2.30888313421667,3.75569660623955,1.20450340025298,67.6130023576568,0.02,0.9,"misaligned",300,0
18,0,-0.0208914793976858,0.00948874943945845,0.947,0.00708456067798138,0.053,2.09363809935507,15.2522905556151,6.59125930670887,68.0020440359586,0.1,0.9,"misaligned",300,0
19,0.393,0.00739610527230862,0.0340609438789542,0.99835255354201,0.00164608885870061,0.394,1.00126326929376,0.5,0.456709010863096,136.528272085448,0.005,0.3,"independent",300,0
20,0.004,0.0235779578069171,0.0225170752503039,0.955823293172691,0.00651112157911949,0.048,1.00139920653219,2.51563057016468,2.42487669061332,136.6248854485,0.02,0.3,"independent",300,0
21,0,-0.0115804990870761,0.00925384321434784,0.953,0.00669260786241059,0.047,0.997820297246138,13.4674983705622,13.4300362566357,136.718468872803,0.1,0.3,"independent",300,0
22,0.405,0.0349812215917109,0.0423603404989277,0.973109243697479,0.00663168401088043,0.421,1.00946610113747,0.5,0.254084696227006,104.281154421477,0.005,0.6,"independent",300,0
23,0.004,-0.0389596549000141,0.0258495794661773,0.930722891566265,0.00804591434402087,0.073,1.00783908447306,2.15747744816583,1.78304192763294,104.25148510068,0.02,0.6,"independent",300,0
24,0,-0.00500729653090958,0.010280880404327,0.957,0.00641490451994416,0.043,1.00665380743241,10.5744887414171,10.1346615025344,104.483159373441,0.1,0.6,"independent",300,0
25,0.421,-0.0924136117859714,0.0609693306539591,0.89119170984456,0.012941281375594,0.484,1.02880952976539,0.5,0.0871995765498457,67.824750902276,0.005,0.9,"independent",300,0
26,0.001,0.00560346337166226,0.0319718072500767,0.87987987987988,0.0102857704590558,0.121,1.02502762211519,1.74102751636842,1.07886245295705,67.4239821753528,0.02,0.9,"independent",300,0
27,0,-0.0310434863606765,0.0131345884889287,0.937,0.00768316341099159,0.063,1.01529690834323,7.46457183271245,6.53128247494799,67.6913639153611,0.1,0.9,"independent",300,0
28,0.046,0.0106744324338072,0.0278623629922643,0.979035639412998,0.00463837517774243,0.066,0.748148641485647,1.49289012521056,1.95703277115749,456.63066193379,0.005,0.3,"aligned",1000,0
29,0,0.00698744291461597,0.0129429356901239,0.957,0.00641490451994416,0.043,0.757275999930436,6.6798703749092,8.86124138591191,456.725550633583,0.02,0.3,"aligned",1000,0
30,0,0.00362083073035146,0.0053566111129274,0.959,0.00627048642451286,0.041,0.788255407853853,35.7118032609311,45.2619223517261,456.519360231292,0.1,0.3,"aligned",1000,0
31,0.115,-0.00194541882136426,0.0346602192532117,0.95593220338983,0.00689926106844073,0.154,0.576019090699086,0.964375183819605,1.30924822182403,348.796225914196,0.005,0.6,"aligned",1000,0
32,0,0.0224330194339267,0.0177896469091778,0.924,0.00837997613361756,0.076,0.587136025722352,4.05737640042731,6.42698302602565,347.743091811972,0.02,0.6,"aligned",1000,0
33,0,-0.000356325291815082,0.00723895080348394,0.943,0.00733150734842434,0.057,0.634539664644875,21.9672423931887,34.3121322693276,348.828055762716,0.1,0.6,"aligned",1000,0
34,0.226,0.0637622189943228,0.0491767882405831,0.900516795865633,0.0107584649821431,0.303,0.473102361682048,0.690695999707317,0.557635296882881,224.368153951815,0.005,0.9,"aligned",1000,0
35,0,-0.0222924974041376,0.0245592083227712,0.912,0.00895857131466843,0.088,0.487693277885658,2.37040209747177,3.94662841012993,225.408615639347,0.02,0.9,"aligned",1000,0
36,0,-0.00560965053602779,0.00959927781781471,0.948,0.00702111102319284,0.052,0.534549645665403,12.1624349367263,21.8672327275186,224.945725309949,0.1,0.9,"aligned",1000,0
37,0.002,0.00407156197797633,0.0201175018786736,0.964929859719439,0.00582306119017411,0.037,1.34452126611109,2.88738467579584,2.11365347386721,456.820124933108,0.005,0.3,"misaligned",1000,0
38,0,0.00402019941202713,0.00919585664968984,0.959,0.00627048642451286,0.041,1.33252615320752,12.04166664986,8.994482259819,456.597838686194,0.02,0.3,"misaligned",1000,0
39,0,0.00576592243540393,0.00465009150319637,0.945,0.00720936890441875,0.055,1.28401235137151,58.4200307251414,45.470707777983,456.477334895267,0.1,0.3,"misaligned",1000,0
40,0,0.0183541857527322,0.0188884401825548,0.945,0.00720936890441875,0.055,1.80793782523976,3.2253308787143,1.57717516444972,348.593061173131,0.005,0.6,"misaligned",1000,0
41,0,-0.00214165697712997,0.00943072241490852,0.949,0.00695693898205238,0.051,1.77618087099664,12.575415706526,6.78579450670733,348.807151301977,0.02,0.6,"misaligned",1000,0
42,0,-0.00320343384408318,0.0044665463322319,0.952,0.00675988165576884,0.048,1.661238771972,57.9438818103933,34.5914737014162,348.317863845304,0.1,0.6,"misaligned",1000,0
43,0,0.00758175237802327,0.0213740596956096,0.915,0.00881901355027874,0.085,2.40083774288525,3.29366794201938,0.987309670141695,224.193257273752,0.005,0.9,"misaligned",1000,0
44,0,0.00812247733013976,0.00976582070975696,0.944,0.00727076337120113,0.056,2.34790818774076,11.7423606138909,4.34317995861664,224.53228841274,0.02,0.9,"misaligned",1000,0
45,0,0.00418002525901843,0.00510859684080269,0.952,0.00675988165576884,0.048,2.13981618085624,49.7277137547203,22.2407432460504,223.816788809762,0.1,0.9,"misaligned",1000,0
46,0.02,0.00748681802907222,0.0254469103394608,0.961224489795918,0.00616705946636883,0.058,1.00071416593276,2.07069408241383,1.98272269923152,456.25309179526,0.005,0.3,"independent",1000,0
47,0,-0.00339282114820397,0.0111719524845436,0.957,0.00641490451994416,0.043,1.00072481286068,8.91351303911761,8.87740173905222,456.130591998049,0.02,0.3,"independent",1000,0
48,0,-0.00298191387537249,0.0050708513167879,0.958,0.00634318531969546,0.042,1.00015331909266,45.3507504613702,45.0291027493926,456.328944813482,0.1,0.3,"independent",1000,0
49,0.009,-0.0166039772280392,0.0283770964016674,0.942482341069627,0.0073960592939251,0.066,1.00370510428598,1.7757503052728,1.4557348162121,348.539302815583,0.005,0.6,"independent",1000,0
50,0,-0.019708694138991,0.0122746680949504,0.949,0.00695693898205238,0.051,1.00238252308837,7.15728437405629,6.71080410076264,348.632509201201,0.02,0.6,"independent",1000,0
51,0,0.00640974828599898,0.00583113124743739,0.942,0.00739161687318817,0.058,1.00109200817784,35.1536431526684,34.7232840455551,348.963040832516,0.1,0.6,"independent",1000,0
52,0.014,-0.0191185645373969,0.0338855107977517,0.885395537525355,0.0101445075845706,0.127,1.01749646115222,1.53750902290442,0.872618734045603,224.420592948026,0.005,0.9,"independent",1000,0
53,0,0.0247109379148816,0.0156079132618914,0.93,0.00806845710157772,0.07,1.01484307051784,5.21090175323455,4.21614172538929,224.095987693178,0.02,0.9,"independent",1000,0
54,0,-0.002780991266067,0.00715188948524848,0.938,0.00762600813007697,0.062,1.00966146569705,23.5199412780926,22.2360278551801,224.75250851676,0.1,0.9,"independent",1000,0
55,0.69,0.307138033122784,0.0421629662516236,0.996774193548387,0.0032205993353019,0.691,0.755032524505856,0,0,136.553477529046,0.005,0.3,"aligned",300,-0.5
56,0.069,0.0340315351305975,0.0271848134604348,0.976369495166488,0.00497815896445969,0.091,0.759829803656769,1.40803427683592,1.83267943181927,136.624775966235,0.02,0.3,"aligned",300,-0.5
57,0,-0.0391765586005864,0.0116418546653391,0.95,0.00689202437604511,0.05,0.787076478950971,8.25768398090083,10.5285977155479,136.999750087769,0.1,0.3,"aligned",300,-0.5
58,0.764,0.329346246305561,0.064343424550378,0.991525423728814,0.00596698466997682,0.766,0.602976482653099,0,0,104.640325678849,0.005,0.6,"aligned",300,-0.5
59,0.148,0.070671271781452,0.0363251269847698,0.954225352112676,0.0071600851014328,0.187,0.608006868586601,0.853393686475667,1.15154680622143,104.366665921649,0.02,0.6,"aligned",300,-0.5
60,0,-0.0230023185164472,0.0151488202790455,0.945,0.00720936890441875,0.055,0.638507593270973,5.12024176304064,7.91316642186535,104.448666281831,0.1,0.6,"aligned",300,-0.5
61,0.858,0.395442231655887,0.10318275279276,0.985915492957746,0.00988886616196351,0.86,0.520246523642187,0,0,68.0463129454898,0.005,0.9,"aligned",300,-0.5
62,0.293,0.10488125297593,0.0530628571357473,0.884016973125884,0.0120425321428647,0.375,0.525378071359723,0.666531960956543,0.503474515333057,68.0543852990855,0.02,0.9,"aligned",300,-0.5
63,0.001,-0.0499294567112125,0.0215469594786792,0.920920920920921,0.00853806048279653,0.08,0.556287987526778,3.0896740633468,4.92215696860889,67.9163866468685,0.1,0.9,"aligned",300,-0.5
64,0.364,0.183549494432732,0.0330011399289016,0.992138364779874,0.00350198279680329,0.369,1.34547590668641,0.649938096170108,0.357348212623554,136.587569518991,0.005,0.3,"misaligned",300,-0.5
65,0.011,-0.0866420921526752,0.0224049243815769,0.96056622851365,0.00618870339404028,0.05,1.33485478036071,2.53680343366344,1.82364071665953,136.659365069414,0.02,0.3,"misaligned",300,-0.5
