"cell","ratio","skew","floor_mass","m","method","n","truth_mean","truth_near","truth_tail","bias_mean","mcse_mean","rmse_mean","bias_near","mcse_near","rmse_near","bias_tail","mcse_tail","rmse_tail"
1,1,"none",0,0.3,"logistic_responder",1000,4.59697428587592,0.1898525,0.179245,0.0149675312744235,0.0161911244684023,0.511971079292762,0.00158008728611144,0.00106527570107649,0.0337071829558098,0.00022983489391246,0.000925107038841783,0.0292407256127436
1,1,"none",0,0.3,"normal_pooled",1000,4.59697428587592,0.1898525,0.179245,0.0149675312744235,0.0161911244684023,0.511971079292762,0.00237223529150288,0.000726462854992947,0.0230835012873496,-0.000748185466983454,0.000624711154785776,0.0197593912957831
1,1,"none",0,0.3,"tobit",1000,4.59697428587592,0.1898525,0.179245,0.0149675312744235,0.0161911244684023,0.511971079292762,0.00254749149330092,0.000728611067879855,0.0231696553072597,-0.000704231137101135,0.000654948473250562,0.0207129062809904
1,1,"none",0,0.3,"normal_arm_sd",1000,4.59697428587592,0.1898525,0.179245,0.0149675312744235,0.0161911244684023,0.511971079292762,0.00254749149330092,0.000728611067879855,0.0231696553072597,-0.000704231137101135,0.000654948473250562,0.0207129062809904
2,2,"none",0,0.3,"normal_pooled",1000,4.59607965562908,0.129245,0.249075,-0.0306546755475152,0.0241394359404184,0.763589787966659,0.0215969751587624,0.000797612315334956,0.0331960623595121,-0.102175501980867,0.000782549542913792,0.105126612274769
2,2,"none",0,0.3,"tobit",1000,4.59607965562908,0.129245,0.249075,-0.0306546755475152,0.0241394359404184,0.763589787966659,0.000244606323622745,0.000836123776902006,0.0264284638143069,-0.00233220929166815,0.000729561457013283,0.0231768604392383
2,2,"none",0,0.3,"logistic_responder",1000,4.59607965562908,0.129245,0.249075,-0.0306546755475152,0.0241394359404184,0.763589787966659,-0.000332615586805247,0.00110870025776827,0.0350442246089486,-0.00159635747408527,0.000981210598981939,0.0310541434030953
2,2,"none",0,0.3,"normal_arm_sd",1000,4.59607965562908,0.129245,0.249075,-0.0306546755475152,0.0241394359404184,0.763589787966659,0.000244606323622745,0.000836123776902006,0.0264284638143069,-0.00233220929166815,0.000729561457013283,0.0231768604392383
3,1,"moderate",0,0.3,"logistic_responder",1000,4.60059645222524,0.205585,0.1607525,0.00968582157208299,0.0167028446888595,0.5280150100319,0.000477068875643545,0.00100468329308158,0.031758569325301,0.00137763116988728,0.000951001332536911,0.0300898155293903
3,1,"moderate",0,0.3,"normal_arm_sd",1000,4.60059645222524,0.205585,0.1607525,0.00968582157208299,0.0167028446888595,0.5280150100319,-0.0210650137751653,0.000694562193903123,0.030424809447328,0.0161931838923112,0.000760771770617031,0.0289898968237387
3,1,"moderate",0,0.3,"tobit",1000,4.60059645222524,0.205585,0.1607525,0.00968582157208299,0.0167028446888595,0.5280150100319,-0.0210650137751653,0.000694562193903123,0.030424809447328,0.0161931838923112,0.000760771770617031,0.0289898968237387
3,1,"moderate",0,0.3,"normal_pooled",1000,4.60059645222524,0.205585,0.1607525,0.00968582157208299,0.0167028446888595,0.5280150100319,-0.0212897158660972,0.000751666644455612,0.031901249870529,0.0161401245347388,0.000608737280101327,0.0251136244916152
4,2,"moderate",0,0.3,"logistic_responder",1000,4.5871283545774,0.11389,0.2088175,-0.00733377458104706,0.0262698857657432,0.830343649037346,-0.000168084383564764,0.00118377878604878,0.0374160277748028,-0.00100942652064176,0.00105515820374946,0.0333656173029276
4,2,"moderate",0,0.3,"normal_pooled",1000,4.5871283545774,0.11389,0.2088175,-0.00733377458104706,0.0262698857657432,0.830343649037346,0.0335663206540443,0.00078232108226231,0.0416906719989788,-0.0625301843326243,0.000824053892691333,0.0677378011594239
4,2,"moderate",0,0.3,"normal_arm_sd",1000,4.5871283545774,0.11389,0.2088175,-0.00733377458104706,0.0262698857657432,0.830343649037346,0.00225696405988856,0.000787572879356034,0.0249948925987788,0.0374778306609298,0.000926819354491566,0.0475680871256521
4,2,"moderate",0,0.3,"tobit",1000,4.5871283545774,0.11389,0.2088175,-0.00733377458104706,0.0262698857657432,0.830343649037346,0.00225696405988856,0.000787572879356034,0.0249948925987788,0.0374778306609298,0.000926819354491566,0.0475680871256521
5,1,"none",0.1,0.3,"logistic_responder",1000,4.50506328208544,0.1898525,0.179245,-0.0137045817025118,0.0156796376431186,0.495775151800213,-0.000610167529415673,0.00101547244789701,0.0321017976530826,0.000249592166352306,0.000959646229466531,0.0303325281025684
5,1,"none",0.1,0.3,"tobit",1000,4.50506328208544,0.1898525,0.179245,-0.0101512328822029,0.0155295838090922,0.4909479125522,0.00108384095374455,0.000729107409514555,0.023070343044858,-0.000821839911176808,0.000656344937307175,0.0207613416929551
5,1,"none",0.1,0.3,"normal_pooled",1000,4.50506328208544,0.1898525,0.179245,-0.0137045817025118,0.0156796376431186,0.495775151800213,0.00516556567426122,0.000737968453051363,0.0238900797193402,0.00337142630405013,0.000633069998664146,0.0202914602951353
