"cell","method","diff","mcse","max_abs","design","shift","beta","b"
1,"naive",-0.00174056630563789,0.00357347582082191,0.351608668014747,"anchored",0,0,0.4
1,"maic",-0.00195968671001711,0.00356604850844368,0.356202985397369,"anchored",0,0,0.4
1,"gcomp",-0.00290643469023116,0.00248270629844194,0.282297979312396,"anchored",0,0,0.4
2,"naive",-0.00470499196177311,0.00261748059171688,0.331005785349615,"unanchored",0,0,0.4
2,"maic",4.66293670343216e-18,2.27169820349003e-15,2.71282996067157e-13,"unanchored",0,0,0.4
2,"gcomp",6.27276008913216e-18,9.9621736752153e-18,9.99200722162641e-16,"unanchored",0,0,0.4
3,"naive",-0.00102815662877264,0.00361220956975856,0.372280353745934,"anchored",0.5,0,0.4
3,"maic",-0.00184669267875499,0.00413687911783633,0.484080756113684,"anchored",0.5,0,0.4
3,"gcomp",0.00060679714879131,0.00247564462398085,0.260937570578011,"anchored",0.5,0,0.4
4,"naive",0.496118350697366,0.00251840266691163,0.786996463174169,"unanchored",0.5,0,0.4
4,"maic",6.40459907330637e-15,1.93329218912054e-15,2.55212517785708e-13,"unanchored",0.5,0,0.4
4,"gcomp",-1.32116539930394e-17,1.36708085789832e-17,2.05391259555654e-15,"unanchored",0.5,0,0.4
5,"naive",0.00192730105714005,0.00361418834296211,0.403520411372656,"anchored",1,0,0.4
5,"maic",0.0031433412565426,0.00610517275458514,0.668310438211938,"anchored",1,0,0.4
5,"gcomp",-0.000668621475889051,0.00253585168189081,0.265943985525654,"anchored",1,0,0.4
6,"naive",1.00148724779773,0.00250731945770442,1.2982620695763,"unanchored",1,0,0.4
6,"maic",6.74699185410075e-15,2.24215210021831e-15,4.29489777076242e-13,"unanchored",1,0,0.4
6,"gcomp",6.75848266240567e-18,2.249312783676e-17,2.27595720048157e-15,"unanchored",1,0,0.4
7,"naive",-0.0041758155178921,0.00382410258021682,0.421146614738289,"anchored",0,0.3,0.4
7,"maic",-0.00431343984432332,0.00382493409700812,0.418223166020552,"anchored",0,0.3,0.4
7,"gcomp",-0.00165972828647776,0.00266787020064922,0.264586124611114,"anchored",0,0.3,0.4
8,"naive",-0.0012353513905568,0.00263754806890165,0.290468729227553,"unanchored",0,0.3,0.4
8,"maic",7.09959868672172e-16,2.34332056877371e-15,2.70838906857307e-13,"unanchored",0,0.3,0.4
8,"gcomp",-6.66133814775089e-18,9.93597469189643e-18,1.11022302462516e-15,"unanchored",0,0.3,0.4
9,"naive",-0.0032294645276352,0.00371620629514394,0.391621821461904,"anchored",0.5,0.3,0.4
9,"maic",-0.00356355856363952,0.00431984765093815,0.40476990079026,"anchored",0.5,0.3,0.4
