"cell","alpha_s","alpha_t","prev","design","truth","bias","mcse","coverage","bias_ipcw","mcse_ipcw","wrong_sign","fragile","delta_true_med","delta_true_in_range"
1,0,0,0.2,"unanchored",0.622565643903362,0.021044046219784,0.0238647293091674,0.958,0.0948155728147429,0.023852477112743,0.194,0.304,1.07870466647291,0.558363417569194
2,1,0,0.2,"unanchored",0.622565643903362,0.452507354920603,0.0246317857729971,0.9,0.297427082518611,0.0248348364248789,0.089,0.225,0.872173102907556,0.532194480946124
3,0,1,0.2,"unanchored",0.622565643903362,-0.486231360264335,0.0243259698390281,0.906,-0.40730178209903,0.0242629818380954,0.422,0.515,1.63886679297014,0.531115879828326
4,1,1,0.2,"unanchored",0.622565643903362,-0.0296896451105801,0.0250594407045607,0.944,-0.189836937124089,0.0251951925090502,0.227,0.404,1.33031921970572,0.566225165562914
5,0,2,0.2,"unanchored",0.622565643903362,-0.862564917237317,0.023898994467914,0.806,-0.788255643990614,0.0238202478214972,0.621,0.564,2.20172740432638,0.414182939362795
6,1,2,0.2,"unanchored",0.622565643903362,-0.425026074345268,0.0250536162740582,0.911,-0.581779629990355,0.0250543401708674,0.407,0.562,1.84564149158587,0.471991701244813
7,0,0,0.5,"unanchored",0.622565643903362,-0.0350988181417323,0.0271689836205015,0.944,0.0286717978234518,0.0268581723112292,0.238,0.719,0.920361626083843,0.892
8,1,0,0.5,"unanchored",0.622565643903362,1.41573249328381,0.0282573058267722,0.629,0.984922769122346,0.0292103710394188,0.013,0.29,0.563921546931182,0.579937304075235
9,0,1,0.5,"unanchored",0.622565643903362,-1.4141156134117,0.0283137065045009,0.633,-1.35215318523254,0.028313629834466,0.823,0.849,1.67415824378316,0.657
10,1,1,0.5,"unanchored",0.622565643903362,-0.0802263617573705,0.028224228056194,0.939,-0.51541271398799,0.0287856760866544,0.266,0.854,1.2264564785452,0.871
11,0,2,0.5,"unanchored",0.622565643903362,-2.32566480431053,0.0280457402202893,0.274,-2.26234527707535,0.0279864758506572,0.973,0.525,2.43393891281622,0.297
12,1,2,0.5,"unanchored",0.622565643903362,-0.89141429759394,0.0280433744206087,0.849,-1.31694492665163,0.0291566012008686,0.622,0.859,1.71246407173435,0.699
13,0,0,0.2,"anchored",0.622565643903362,0.0097258393964181,0.0341812599976472,0.946,0.0277974272722535,0.0342582701674214,0.282,0.0740000000000001,1.05098227003943,0.328859060402685
14,1,0,0.2,"anchored",0.622565643903362,-0.026993352318988,0.0340335026022681,0.948,0.00845664870678788,0.0341311483382575,0.281,0.063,0.949385963873038,0.424657534246575
15,0,1,0.2,"anchored",0.622565643903362,0.0576415032039994,0.0334635599541292,0.954,0.0754245478317348,0.0334254615417995,0.252,0.061,1.11004565504803,0.341772151898734
16,1,1,0.2,"anchored",0.622565643903362,0.0086028810117826,0.0347512736083009,0.952,0.043919023175131,0.0346044797982331,0.275,0.0699999999999998,1.12978602149732,0.441558441558442
17,0,2,0.2,"anchored",0.622565643903362,0.0642027880570404,0.0344581328953244,0.944,0.0851109205195644,0.0345083399839272,0.259,0.063,0.82076831157904,0.37125748502994
18,1,2,0.2,"anchored",0.622565643903362,-0.057004934085632,0.0351008929064997,0.953,-0.0177929138614467,0.0350824091379227,0.305,0.0820000000000001,0.940070062457002,0.377777777777778
19,0,0,0.5,"anchored",0.622565643903362,0.0720087575641933,0.039853143899581,0.947,0.0927118225520998,0.0398364378701862,0.282,0.148,0.561325231981983,0.303571428571429
20,1,0,0.5,"anchored",0.622565643903362,-0.202329711976236,0.0410570475847387,0.954,-0.056318486003723,0.04305336386687,0.378,0.135,0.539338915393427,0.261904761904762
21,0,1,0.5,"anchored",0.622565643903362,0.0957291346726115,0.0398069342358984,0.958,0.117001625060693,0.0396509252213344,0.277,0.143,0.651088792328745,0.28921568627451
22,1,1,0.5,"anchored",0.622565643903362,-0.0172439571216249,0.0414673188497417,0.945,0.140505751694263,0.0426716385652746,0.312,0.127,0.722446555620308,0.364640883977901
23,0,2,0.5,"anchored",0.622565643903362,0.219444112231926,0.0408540786837884,0.947947947947948,0.240472152197217,0.0408170441816685,0.255,0.162,0.617133969153422,0.396449704142012
24,1,2,0.5,"anchored",0.622565643903362,-0.0479750387698205,0.0413467313434354,0.948,0.113501410397178,0.0425876742486024,0.335,0.127,0.612502631298719,0.315508021390374
