"cell","theta","pi_s","pi_t","b","part","method","n","bias_rr","mcse_rr","cover_rr","bias_rate","mcse_rate","cover_rate"
1,Inf,0,0,0,"A","negbin",500,3.53201640605149e-05,0.00391063581585945,0.958,-0.00408121727435642,0.00307508471044905,0.956
1,Inf,0,0,0,"A","poisson",500,7.62066363813443e-05,0.00391251182353253,0.958,-0.00402489483845061,0.00307751719161969,0.95
1,Inf,0,0,0,"A","poisson_sandwich",500,7.62066363813443e-05,0.00391251182353253,0.95,-0.00402489483845061,0.00307751719161969,0.948
1,Inf,0,0,0,"A","zip",500,5.29738497873872e-06,0.00391475002760066,0.962,-0.00637031352289243,0.0030899431098777,0.952
1,Inf,0,0,0,"A","zip_calibrated",500,-0.000222105916506406,0.00395010774877336,0.965863453815261,-0.0178284213946324,0.00458207322037438,0.963855421686747
2,2,0,0,0,"A","zip_calibrated",500,0.0143146163569833,0.0056159503279624,0.866,0.00773917420210106,0.00490800615727594,0.832
2,2,0,0,0,"A","negbin",500,-0.00133210161658376,0.00546421988857084,0.936,-0.012271119970437,0.00411123414090973,0.958
2,2,0,0,0,"A","poisson",500,-0.00188382996117873,0.00553231864196116,0.846,-0.0129482259173273,0.00416475028771943,0.856
2,2,0,0,0,"A","poisson_sandwich",500,-0.00188382996117873,0.00553231864196116,0.926,-0.0129482259173273,0.00416475028771943,0.94
2,2,0,0,0,"A","zip",500,0.0143882304427842,0.00562491051972799,0.866,-0.00797350626429913,0.00423017588703039,0.894
3,0.7,0,0,0,"A","zip_calibrated",500,0.0692239726517225,0.00727524743907412,0.728,0.0602585187974438,0.00604883196177974,0.74
3,0.7,0,0,0,"A","negbin",500,0.00854944370121693,0.00724399551517479,0.946,0.00413777353330755,0.00513084414140335,0.95
3,0.7,0,0,0,"A","poisson",500,0.0103933681419639,0.0073083792674499,0.728,0.00338529078589744,0.0051782143208561,0.754
3,0.7,0,0,0,"A","zip",500,0.0692689172393118,0.00728091025716087,0.726,0.0306665079222654,0.00529325245063072,0.828
3,0.7,0,0,0,"A","poisson_sandwich",500,0.0103933681419639,0.0073083792674499,0.94,0.00338529078589744,0.0051782143208561,0.952
4,Inf,0,0,0.4,"A","zip_calibrated",500,-0.00376302157879137,0.00387965572584655,0.963782696177062,-0.0219566531122596,0.00349695475705177,0.973843058350101
4,Inf,0,0,0.4,"A","zip",500,-0.00834777313019394,0.00363797534815904,0.95,-0.0146345417119365,0.00271569514475323,0.968
4,Inf,0,0,0.4,"A","poisson_sandwich",500,-0.00635287369451938,0.0036070744588437,0.956,-0.0109335602068326,0.0027004560643232,0.952
4,Inf,0,0,0.4,"A","negbin",500,-0.00647010803182677,0.00361471692189036,0.96,-0.011081418910506,0.00270377248993628,0.972
4,Inf,0,0,0.4,"A","poisson",500,-0.00635287369451938,0.0036070744588437,0.952,-0.0109335602068326,0.0027004560643232,0.97
5,2,0,0,0.4,"A","zip_calibrated",500,-0.0215665757320281,0.00550576781180419,0.834,-0.0271924126729378,0.00473518506056018,0.804
5,2,0,0,0.4,"A","zip",500,-0.0218292452517092,0.00553947800487817,0.828,-0.026927379085039,0.00422577355120675,0.832
5,2,0,0,0.4,"A","poisson_sandwich",500,-0.00159826837174057,0.00569742704035921,0.944,-0.00668313239456199,0.00436171675799836,0.932
5,2,0,0,0.4,"A","poisson",500,-0.00159826837174057,0.00569742704035921,0.808,-0.00668313239456199,0.00436171675799836,0.784
5,2,0,0,0.4,"A","negbin",500,-0.00141436283877625,0.0055143636715721,0.95,-0.00522488673729195,0.00423415776506033,0.948
6,0.7,0,0,0.4,"A","zip_calibrated",500,-0.034324199718281,0.00795293296147277,0.68,-0.0387713607691419,0.0066292122293795,0.71
6,0.7,0,0,0.4,"A","zip",500,-0.034396669692904,0.00795114593331574,0.678,-0.0485912700154731,0.0065873457786874,0.702
6,0.7,0,0,0.4,"A","poisson_sandwich",500,-0.00846885645861942,0.00848914483070071,0.948,-0.0224945862861529,0.0069838941296717,0.902
6,0.7,0,0,0.4,"A","poisson",500,-0.00846885645861942,0.00848914483070071,0.61,-0.0224945862861529,0.0069838941296717,0.568
6,0.7,0,0,0.4,"A","negbin",500,-0.00905991737571263,0.00773286141321071,0.962,-0.0197981664522627,0.00627309978962465,0.934
7,Inf,0.2,0.2,0,"B","zip_calibrated",500,-0.00261911905675871,0.00522508775478258,0.954,-0.003362493460655,0.00509048929333593,0.918
7,Inf,0.2,0.2,0,"B","zip",500,-0.00269378408195182,0.00520202938997948,0.956,-0.00209002427120585,0.00428889093184193,0.954
7,Inf,0.2,0.2,0,"B","poisson_sandwich",500,0.00157947391208446,0.00588975470488312,0.946,0.0139895702362057,0.00447609133941081,0.946
7,Inf,0.2,0.2,0,"B","poisson",500,0.00157947391208446,0.00588975470488312,0.886,0.0139895702362057,0.00447609133941081,0.896
7,Inf,0.2,0.2,0,"B","negbin",500,0.000619471666542808,0.00591264980253044,0.934,0.0168409720821956,0.00450184621319969,0.936
8,Inf,0.2,0.4,0,"B","zip_calibrated",500,0.0011979849629563,0.00503924395547434,0.954,0.00344199278472082,0.00574526739654763,0.898
8,Inf,0.2,0.4,0,"B","zip",500,0.00167389784176036,0.00532474383718519,0.958,0.400980474612553,0.00421130275847071,0.02
8,Inf,0.2,0.4,0,"B","poisson_sandwich",500,0.00659357705689268,0.00594691364869236,0.948,0.41712573144286,0.00436537049704613,0.016
8,Inf,0.2,0.4,0,"B","poisson",500,0.00659357705689268,0.00594691364869236,0.876,0.41712573144286,0.00436537049704613,0.006
8,Inf,0.2,0.4,0,"B","negbin",500,0.00585541199539685,0.00595477390793169,0.934,0.420039486539147,0.00437304405559183,0.014
9,Inf,0.2,0,0,"B","zip_calibrated",500,0.00323308678083077,0.00554572818929193,0.96,-0.0266694090326862,0.00481090711768918,0.95
9,Inf,0.2,0,0,"B","zip",500,0.000917342555921464,0.00488557290601846,0.962,-0.449232148804654,0.00396733494583262,0
9,Inf,0.2,0,0,"B","poisson_sandwich",500,0.00018310649910791,0.00550291026526866,0.966,-0.435582936277054,0.00416672333670908,0
9,Inf,0.2,0,0,"B","poisson",500,0.00018310649910791,0.00550291026526866,0.918,-0.435582936277054,0.00416672333670908,0
9,Inf,0.2,0,0,"B","negbin",500,-0.000170230526400962,0.00553018856150741,0.96,-0.432370297226281,0.00419396181702909,0
10,Inf,0,0.2,0,"B","zip_calibrated",500,0.000706587514957663,0.00414155771671646,0.975659229208925,0.0765256754112737,0.00636217033540232,0.995934959349594
10,Inf,0,0.2,0,"B","zip",500,0.00113055669976398,0.0039254979347829,0.956,0.435228305671864,0.00311166179898577,0
10,Inf,0,0.2,0,"B","poisson_sandwich",500,0.000736723638933731,0.00394366034574627,0.956,0.437247858065489,0.00310042770358684,0
10,Inf,0,0.2,0,"B","poisson",500,0.000736723638933731,0.00394366034574627,0.956,0.437247858065489,0.00310042770358684,0
10,Inf,0,0.2,0,"B","negbin",500,0.000707286026619179,0.00394058012451486,0.958,0.43724239462569,0.00309994768289565,0
11,Inf,0.2,0.2,0.4,"B","zip",500,0.00361285579282382,0.00517901886146704,0.95,-0.00368869471012533,0.0045598322949372,0.962
11,Inf,0.2,0.2,0.4,"B","zip_calibrated",500,0.0038940624374069,0.00534811811638336,0.932,-0.0015143566579885,0.00574264166671722,0.864
11,Inf,0.2,0.2,0.4,"B","poisson_sandwich",500,0.00670077681497598,0.00679553414853125,0.93,0.0117682158483088,0.0053476684794448,0.916
11,Inf,0.2,0.2,0.4,"B","poisson",500,0.00670077681497598,0.00679553414853125,0.8,0.0117682158483088,0.0053476684794448,0.772
11,Inf,0.2,0.2,0.4,"B","negbin",500,0.0184608362184189,0.00672865226961201,0.922,0.0278414948958766,0.00517928064748936,0.896
12,Inf,0.2,0.4,0.4,"B","poisson_sandwich",500,0.0605412844370383,0.00646849375419077,0.928,0.466641489076678,0.00509158347808724,0.028
12,Inf,0.2,0.4,0.4,"B","poisson",500,0.0605412844370383,0.00646849375419077,0.798,0.466641489076678,0.00509158347808724,0.006
12,Inf,0.2,0.4,0.4,"B","zip",500,0.0543732277120372,0.00514034860733396,0.93,0.449037341565,0.00457134641892733,0.01
12,Inf,0.2,0.4,0.4,"B","zip_calibrated",500,-0.0071982411519,0.00527493662115108,0.932,-0.0108422232927963,0.00683077872527705,0.872
12,Inf,0.2,0.4,0.4,"B","negbin",500,0.0723013266540708,0.00641911205134175,0.914,0.482781874175264,0.0049540559777159,0.008
13,Inf,0.2,0,0.4,"B","poisson",500,-0.112931155482949,0.00660065732427526,0.702,-0.548567532670988,0.00525356341241955,0
