"cell","violation","method","utility","truth","bias","mcse","rmse","coverage","se_ratio","n"
1,"po","po","bottom_heavy",0.0783260372857355,4.97363036101852e-05,0.00112832692177189,0.0225383674878106,0.965,1.03373070114454,400
1,"po","separate","top_heavy",0.0948929589350373,-0.00032010103085114,0.00141992945824122,0.028364874961051,0.9775,1.05795462876944,400
1,"po","po","top_heavy",0.0948929589350373,4.89231896641723e-05,0.00135740125287905,0.0271141129274815,0.9675,1.03773898150437,400
1,"po","separate","bottom_heavy",0.0783260372857355,-0.000238315755507606,0.00120758027995038,0.0241225744330246,0.955,1.01328663130616,400
2,"bottom","separate","bottom_heavy",0.0933112983645376,0.000647573786994185,0.00110788020776708,0.022139362573472,0.95,1.03814988016283,400
2,"bottom","po","bottom_heavy",0.0933112983645376,-0.0245442240704786,0.00106290829660904,0.0324530242038395,0.81,1.05098210397392,400
2,"bottom","separate","top_heavy",0.0608642293978019,-0.000818190453215773,0.00143763669303064,0.028728423918061,0.9525,1.03647991056598,400
2,"bottom","po","top_heavy",0.0608642293978019,0.0256081585239639,0.00130521067568648,0.036544550500053,0.85,1.05305991176107,400
3,"top","po","top_heavy",0.171335651243369,-0.0465681892382061,0.00153826880268699,0.0557919200399492,0.6725,0.988298590243719,400
3,"top","separate","bottom_heavy",0.0798386753795877,0.000207881944565305,0.00125932696890132,0.0251558954587022,0.94,1.02916204926754,400
3,"top","po","bottom_heavy",0.0798386753795877,0.0236898791214504,0.00125587640894234,0.0345039616428252,0.8275,0.997633480768668,400
3,"top","separate","top_heavy",0.171335651243369,0.00032054658771859,0.00160755919411575,0.032112569635374,0.93,0.959556102021551,400
