"cell","res","quantity","both","jitter","censoring","events_given","events_not_given"
4,"coarse","B_rmst24",4.86481892284236e-05,5.65358640871635e-05,0.000180895503222002,NA,NA
3,"fine","B_rmst24",5.72542832162332e-05,3.50590043382885e-05,6.48777473641432e-05,NA,NA
4,"coarse","B_s12",1.65234754669757e-05,1.61374259316998e-05,1.13329884693138e-06,NA,NA
3,"fine","B_s12",8.7191193645578e-07,8.07895427938807e-07,1.9390234979541e-08,NA,NA
4,"coarse","B_s48",7.98660211681578e-06,5.91549443415955e-06,4.46123741414704e-06,NA,NA
3,"fine","B_s48",2.97882174689569e-06,6.45458902909826e-07,2.15301586308408e-06,NA,NA
4,"coarse","rmst24_error_120_points",NA,NA,NA,0.0557188115913933,0.0557188115913933
3,"fine","rmst24_error_120_points",NA,NA,NA,0.0638934000464534,0.0638934000464534
4,"coarse","rmst24_error_30_points",NA,NA,NA,0.29145817617558,0.29145817617558
3,"fine","rmst24_error_30_points",NA,NA,NA,0.339143074194854,0.339143074194854
4,"coarse","rmst24_error_60_points",NA,NA,NA,0.157783531135899,0.157783531135899
3,"fine","rmst24_error_60_points",NA,NA,NA,0.153601526390225,0.153601526390225
