"cell","res","rep","quantity","both","jitter","censoring","events_given","events_not_given"
3,"fine",1,"B_rmst24",3.43223199796206e-05,7.63019501837421e-07,8.3074512683803e-05,NA,NA
3,"fine",1,"B_s12",0,0,0,NA,NA
3,"fine",1,"B_s48",4.39981283333398e-07,3.83221285864634e-07,6.51490282804454e-07,NA,NA
3,"fine",1,"rmst24_error_30_points",NA,NA,NA,0.346645479073404,0.346645479073404
3,"fine",1,"rmst24_error_60_points",NA,NA,NA,0.156441422025042,0.156441422025042
3,"fine",1,"rmst24_error_120_points",NA,NA,NA,0.0836264888706708,0.0836264888706708
3,"fine",2,"B_rmst24",4.44742838211617e-05,0.000120447257045276,5.45139956022209e-05,NA,NA
3,"fine",2,"B_s12",3.85875252124489e-06,3.64729893562844e-06,1.66140595200246e-08,NA,NA
3,"fine",2,"B_s48",1.87109464508064e-06,1.06074541922465e-06,3.42769359728555e-06,NA,NA
3,"fine",2,"rmst24_error_30_points",NA,NA,NA,0.336747892956723,0.336747892956723
3,"fine",2,"rmst24_error_60_points",NA,NA,NA,0.144548237845857,0.144548237845857
3,"fine",2,"rmst24_error_120_points",NA,NA,NA,0.0420028788384563,0.0420028788384563
3,"fine",3,"B_rmst24",4.63177632418986e-05,2.23581207465661e-05,4.26023733021044e-05,NA,NA
3,"fine",3,"B_s12",3.59249973665778e-07,2.61154217281135e-07,1.53401103599703e-07,NA,NA
3,"fine",3,"B_s48",2.59933118924578e-06,1.05860357696338e-06,1.93538361993125e-06,NA,NA
3,"fine",3,"rmst24_error_30_points",NA,NA,NA,0.371415095600826,0.371415095600826
3,"fine",3,"rmst24_error_60_points",NA,NA,NA,0.168567704365461,0.168567704365461
3,"fine",3,"rmst24_error_120_points",NA,NA,NA,0.0792276847141444,0.0792276847141444
3,"fine",4,"B_rmst24",7.75404779891036e-05,2.46016234247337e-07,7.94431718676376e-05,NA,NA
3,"fine",4,"B_s12",0,0,0,NA,NA
3,"fine",4,"B_s48",1.25617536467805e-06,6.48416888323282e-09,2.36173005402891e-06,NA,NA
3,"fine",4,"rmst24_error_30_points",NA,NA,NA,0.301625522373925,0.301625522373925
3,"fine",4,"rmst24_error_60_points",NA,NA,NA,0.133605475840092,0.133605475840092
3,"fine",4,"rmst24_error_120_points",NA,NA,NA,0.0759084896739353,0.0759084896739353
3,"fine",5,"B_rmst24",5.64012010349809e-05,4.05039545608e-05,6.91942374850937e-05,NA,NA
3,"fine",5,"B_s12",0,0,0,NA,NA
3,"fine",5,"B_s48",1.09984886323409e-05,2.45767786986151e-07,4.93504311160687e-06,NA,NA
3,"fine",5,"rmst24_error_30_points",NA,NA,NA,0.319941124944576,0.319941124944576
3,"fine",5,"rmst24_error_60_points",NA,NA,NA,0.143558743956342,0.143558743956342
3,"fine",5,"rmst24_error_120_points",NA,NA,NA,0.0677273862964967,0.0677273862964967
3,"fine",6,"B_rmst24",9.23562556445261e-05,0.000132085583780698,0.00013532928711861,NA,NA
3,"fine",6,"B_s12",0,0,0,NA,NA
3,"fine",6,"B_s48",3.2821583026698e-06,1.50474019614673e-06,1.77364335322449e-06,NA,NA
3,"fine",6,"rmst24_error_30_points",NA,NA,NA,0.316485612405657,0.316485612405657
3,"fine",6,"rmst24_error_60_points",NA,NA,NA,0.156012486113291,0.156012486113291
3,"fine",6,"rmst24_error_120_points",NA,NA,NA,0.0606378284751194,0.0606378284751194
3,"fine",7,"B_rmst24",7.31514306977395e-05,1.59673820499541e-06,7.4028272186209e-05,NA,NA
3,"fine",7,"B_s12",4.16842105263159e-06,3.83157894736843e-06,0,NA,NA
