"cell","res","table","cens","ctrl","method","estimand","n_rep","err_bias","err_mcse","err_rmse","sd_theta","ratio_var","ratio_mcse","ratio_mse","recon_cov90","pop_cov","width_vs_oracle","inflation","materiality"
1,"fine",3,"spread","none","draws","rmst24",300,-0.00251590814062967,0.000276573917452946,0.00540381718647587,0.516258659715891,2.51765745683849,0.212977843298493,1.97851360927687,0.966666666666667,0.94,1.0003343702881,0.000107008302318468,0.0104672669112218
1,"fine",3,"spread","none","oracle","rmst24",300,0,0,0,0.516258659715891,NA,NA,NA,NA,0.94,1,NA,0
1,"fine",3,"spread","none","single","s48",300,-0.000313564517594088,0.000170543181615099,0.00296559113306586,0.025860815558686,NA,NA,NA,NA,0.94,1.00013987202992,NA,0.114675081547062
1,"fine",3,"spread","none","variants","s12",300,0.00600904932162579,0.000162653860541247,0.00663468921473145,0.0308094470736738,5.76458275646392,0.499633275149785,1.03938564797304,0.833333333333333,0.953333333333333,1.02549322334194,0.0249674418710668,0.21534593590291
1,"fine",3,"spread","none","draws","s12",300,-0.00020227119730889,5.08846533986105e-05,0.000902828208884887,0.0308094470736738,1.11331225283163,0.149804845149533,1.06096643472761,0.516666666666667,0.95,1.00106200652308,0.000478015872914961,0.0293036160865197
1,"fine",3,"spread","none","oracle","s12",300,0,0,0,0.0308094470736738,NA,NA,NA,NA,0.95,1,NA,0
1,"fine",3,"spread","none","single","rmst24",300,0.00333462217022544,0.0005648495551869,0.0103207148975551,0.516258659715891,NA,NA,NA,NA,0.94,1.00000651490009,NA,0.0199913642189263
1,"fine",3,"spread","none","variants","s48",300,0.0069196600718753,0.000301814105675365,0.00866707159721822,0.025860815558686,2.18760154463715,0.239150204210259,0.795836354311569,0.67,0.96,1.08957866908542,0.0368983734990924,0.335143011153303
1,"fine",3,"spread","none","draws","s48",300,0.000132926200158044,0.000157156367898357,0.00272073674618083,0.025860815558686,0.217189016874242,0.0242705956688115,0.217395242612593,0.58,0.943333333333333,1.00227982993994,0.00111233398777522,0.105206919712437
1,"fine",3,"spread","none","oracle","s48",300,0,0,0,0.025860815558686,NA,NA,NA,NA,0.943333333333333,1,NA,0
1,"fine",3,"spread","none","single","s12",300,-2.9775531551092e-06,7.74553462977395e-05,0.00133933145120374,0.0308094470736738,NA,NA,NA,NA,0.943333333333333,1.00075253486874,NA,0.0434714536746158
1,"fine",3,"spread","none","variants","rmst24",300,0.173088232414425,0.00102074871996866,0.173985840392821,0.516258659715891,51.7990572547174,4.37036198421597,0.534875847775736,0.913333333333333,0.95,1.02848205330721,0.0296281067917561,0.33701292388697
2,"coarse",3,"spread","none","variants","rmst24",300,0.17727413992818,0.00118989362905997,0.178464166977493,0.511538199660987,33.655896897002,3.24597769657499,0.448845260242353,0.593333333333333,0.946666666666667,1.02208692261792,0.0264622524987352,0.34887749750804
2,"coarse",3,"spread","none","draws","rmst24",300,-1.12332969911457e-05,0.00029546457447087,0.00510907245029563,0.511538199660987,2.04985560592075,0.189398723004341,2.05670136760302,0.953333333333333,0.946666666666667,1.00144158764139,9.95656105438059e-05,0.00998766554224411
2,"coarse",3,"spread","none","oracle","rmst24",300,0,0,0,0.511538199660987,NA,NA,NA,NA,0.943333333333333,1,NA,0
2,"coarse",3,"spread","none","single","rmst24",300,0.0193857038532,0.00171553437946079,0.0354369851681889,0.511538199660987,NA,NA,NA,NA,0.953333333333333,0.999811301428864,NA,0.0692753448162311
2,"coarse",3,"spread","none","variants","s12",300,0.00805165506677839,0.000287257369448151,0.00946053230049754,0.0306048604063231,3.19991385644411,0.236158175919548,0.885056007516682,0.786666666666667,0.936666666666667,1.04333486185363,0.0427995296276196,0.309118622823156
2,"coarse",3,"spread","none","draws","s12",300,0.000127737330226728,0.000141607504361542,0.00245195222785705,0.0306048604063231,1.86547567066186,0.150501864304777,1.86663486471703,0.993333333333333,0.936666666666667,1.0081676976389,0.00617445658143301,0.0801164323347302
2,"coarse",3,"spread","none","oracle","s12",300,0,0,0,0.0306048604063231,NA,NA,NA,NA,0.933333333333333,1,NA,0
2,"coarse",3,"spread","none","single","s48",300,-0.000894936214462091,0.000191381531543025,0.00342817022944692,0.0253361155017271,NA,NA,NA,NA,0.953333333333333,0.999547061226087,NA,0.135307649241386
2,"coarse",3,"spread","none","variants","s48",300,-0.00163799860596141,0.000314516481951036,0.00567981549360272,0.0253361155017271,1.86461863841134,0.190655024375356,1.71525872842822,0.873333333333333,0.953333333333333,1.05335266177804,0.0367571159513573,0.224178623325882
2,"coarse",3,"spread","none","draws","s48",300,0.00189023081916876,0.000184892615812164,0.00371407742042528,0.0253361155017271,0.718455424602415,0.0776344772839128,0.53414394746083,0.716666666666667,0.96,1.01490255597188,0.00505101194886626,0.146592220112515
2,"coarse",3,"spread","none","oracle","s48",300,0,0,0,0.0253361155017271,NA,NA,NA,NA,0.953333333333333,1,NA,0
2,"coarse",3,"spread","none","single","s12",300,0.000929851598977251,0.000215676342244141,0.0038435651539502,0.0306048604063231,NA,NA,NA,NA,0.936666666666667,1.00170482536971,NA,0.125586756577923
3,"fine",6,"spread","none","single","rmst24",300,0.00686907051370665,0.000489624975585446,0.0109024851350814,0.554260381872785,NA,NA,NA,NA,0.95,0.999265537703674,NA,0.0196703309340695
3,"fine",6,"spread","none","variants","rmst24",300,0.174504638681239,0.00109913959471673,0.175536586408712,0.554260381872785,44.295189650237,4.19992219906449,0.521012603147142,0.9,0.95,1.02712267378417,0.029715909276137,0.316704192018187
3,"fine",6,"spread","none","draws","rmst24",300,-0.00077974706197289,0.000151391279735577,0.0027314615199684,0.554260381872785,7.50436046576924,0.577304483020703,6.91586470406099,1,0.946666666666667,0.999581016495952,9.65482375012705e-05,0.00492811972369212
3,"fine",6,"spread","none","oracle","rmst24",300,0,0,0,0.554260381872785,NA,NA,NA,NA,0.946666666666667,1,NA,0
3,"fine",6,"spread","none","single","s12",300,0.000129904739959046,5.9905154882332e-05,0.00104397073154625,0.0310767711951431,NA,NA,NA,NA,0.93,1.00024736932584,NA,0.0335932817792025
3,"fine",6,"spread","none","variants","s12",300,0.0059196595639204,0.000152492532567175,0.00648037862526957,0.0310767711951431,6.26283817003617,0.526575143639191,1.04037243543151,0.82,0.933333333333333,1.02332009183686,0.0238864281305275,0.208528054107576
3,"fine",6,"spread","none","draws","s12",300,-6.37281337545617e-05,4.32906199908499e-05,0.000751272607653372,0.0310767711951431,1.10509487797643,0.0873221707127846,1.10081242690894,0.463333333333333,0.93,1.00055398462259,0.000343382722220786,0.0241747317614124
3,"fine",6,"spread","none","oracle","s12",300,0,0,0,0.0310767711951431,NA,NA,NA,NA,0.93,1,NA,0
3,"fine",6,"spread","none","single","s48",300,-0.00015050269482837,0.000213132301298182,0.00368847380908306,0.0268902293400452,NA,NA,NA,NA,0.933333333333333,0.994114793280766,NA,0.137167807772846
3,"fine",6,"spread","none","variants","s48",300,0.00572796600675278,0.000324141640880725,0.00801404191260673,0.0268902293400452,1.43091102074202,0.146828187069338,0.702263856414882,0.633333333333333,0.946666666666667,1.0695530224661,0.029783443651471,0.298028023906517
3,"fine",6,"spread","none","draws","s48",300,0.00022755137117809,0.000197768323831253,0.0034272963528007,0.0268902293400452,0.245572265546609,0.031426096500273,0.245307439544127,0.693333333333333,0.936666666666667,0.996372898428059,0.00209946388884386,0.127455080782697
3,"fine",6,"spread","none","oracle","s48",300,0,0,0,0.0268902293400452,NA,NA,NA,NA,0.936666666666667,1,NA,0
4,"coarse",6,"spread","none","oracle","rmst24",300,0,0,0,0.537648965978856,NA,NA,NA,NA,0.95,1,NA,0
4,"coarse",6,"spread","none","single","rmst24",300,0.0152811216387848,0.00177941602472745,0.0343546616031556,0.537648965978856,NA,NA,NA,NA,0.94,0.998527430082542,NA,0.0638979404351847
4,"coarse",6,"spread","none","variants","rmst24",300,0.175281186703682,0.00122923068978395,0.176565245251647,0.537648965978856,31.7949087499605,2.29161312379934,0.462312017554543,0.633333333333333,0.943333333333333,1.02059290750007,0.0268525238075112,0.328402464106275
4,"coarse",6,"spread","none","draws","rmst24",300,-0.000109219666699889,0.000277524973143416,0.00480009812820028,0.537648965978856,2.35157990528019,0.186803104368604,2.35822317095765,0.986666666666667,0.95,1.00034582264412,0.000101292015318721,0.00892794077909387
4,"coarse",6,"spread","none","oracle","s12",300,0,0,0,0.0303923830157075,NA,NA,NA,NA,0.95,1,NA,0
4,"coarse",6,"spread","none","single","s12",300,0.000813591747745067,0.000216159342980915,0.00382526667538659,0.0303923830157075,NA,NA,NA,NA,0.936666666666667,1.00028211573252,NA,0.125862676625574
4,"coarse",6,"spread","none","variants","s12",300,0.00698613636975756,0.000266010781305705,0.00836444023066338,0.0303923830157075,3.00784794582597,0.268259710772953,0.912644930320235,0.753333333333333,0.956666666666667,1.03339610286091,0.0347614078174843,0.275215017734556
4,"coarse",6,"spread","none","draws","s12",300,6.31142771773653e-05,0.000126798896218365,0.00219346608739687,0.0303923830157075,2.28234169820342,0.245645229639915,2.2880790101302,0.99,0.953333333333333,1.00709875161444,0.00607115447621709,0.0721715729320478
4,"coarse",6,"spread","none","oracle","s48",300,0,0,0,0.0286424547524829,NA,NA,NA,NA,0.933333333333333,1,NA,0
4,"coarse",6,"spread","none","single","s48",300,-0.00121726559602602,0.000228851142097218,0.00414019519561453,0.0286424547524829,NA,NA,NA,NA,0.926666666666667,0.990214983493026,NA,0.14454749885764
4,"coarse",6,"spread","none","variants","s48",300,-0.00141393523966993,0.000309510116836393,0.00553555508298669,0.0286424547524829,1.80828082411352,0.175839574929883,1.69595559350692,0.87,0.94,1.04586479102607,0.03557516173693,0.193263989794968
4,"coarse",6,"spread","none","draws","s48",300,0.00152705840330846,0.00024884508680551,0.00456586756904538,0.0286424547524829,0.513545442608486,0.0621630827370439,0.457627014290737,0.763333333333333,0.923333333333333,1.00573824790951,0.00677865152647539,0.159409087262312
5,"fine",0,"spread","none","draws","rmst24",300,-0.000970102004933917,9.05053616073717e-05,0.00184126935112749,0.508373053382656,13.0845992817917,1.15433397001504,9.48408961653124,1,0.953333333333333,1.03876379872527,5.56636629391871e-05,0.00362188620910549
5,"fine",0,"spread","none","oracle","rmst24",300,0,0,0,0.508373053382656,NA,NA,NA,NA,0.943333333333333,1,NA,0
5,"fine",0,"spread","none","single","rmst24",300,0.00636857432129527,0.000332049521095174,0.00857470392137608,0.508373053382656,NA,NA,NA,NA,0.953333333333333,1.03738821034684,NA,0.0168669520627047
5,"fine",0,"spread","none","variants","rmst24",300,0.180575824829578,0.00101285587491752,0.181423167602336,0.508373053382656,50.8246593584622,3.87946962661178,0.475231854652916,0.83,0.94,1.0357573960091,0.0283954276142546,0.356870149578478
5,"fine",0,"spread","none","draws","s12",300,2.04555397677763e-05,5.10640963972207e-05,0.000883217679525111,0.0295895368533011,3.48120720338133,0.491591874383038,3.49097648238425,1,0.953333333333333,1.05045482841276,0.00137087256049373,0.0298489862786269
5,"fine",0,"spread","none","oracle","s12",300,0,0,0,0.0295895368533011,NA,NA,NA,NA,0.946666666666667,1,NA,0
5,"fine",0,"spread","none","single","s12",300,0.000273056396980285,0.000102601564535098,0.00179503677633684,0.0295895368533011,NA,NA,NA,NA,0.963333333333333,1.04808117708802,NA,0.0606645783351144
5,"fine",0,"spread","none","variants","s12",300,0.00603003226442106,0.000156533400515809,0.00660965945019823,0.0295895368533011,5.16428615468475,0.432965102296961,0.868935269750153,0.853333333333333,0.953333333333333,1.04050576601112,0.0200173549382179,0.223378266546299
5,"fine",0,"spread","none","draws","s48",300,0.000619715671967271,0.000365940733392537,0.00635798089022657,0.0258562971344166,0.155717013221053,0.0118293207295326,0.154753468429025,0.416666666666667,0.94,0.996519299525756,0.00433225447386709,0.245896806382366
5,"fine",0,"spread","none","oracle","s48",300,0,0,0,0.0258562971344166,NA,NA,NA,NA,0.936666666666667,1,NA,0
5,"fine",0,"spread","none","single","s48",300,0.000145930767160343,0.000363981766655088,0.00629552468024345,0.0258562971344166,NA,NA,NA,NA,0.93,0.991694025882881,NA,0.24348129384171
5,"fine",0,"spread","none","variants","s48",300,0.00885209261241668,0.000885486358517974,0.0176861890995236,0.0258562971344166,0.623522557484982,0.0800295054446414,0.468887490379228,0.503333333333333,0.923333333333333,1.01742257288865,0.111515723126583,0.684018636063012
6,"coarse",0,"spread","none","variants","rmst24",300,0.180763886389896,0.00108364202135528,0.181732474676055,0.502600133340204,39.4932664807212,2.91816007857439,0.421260660964623,0.62,0.963333333333333,1.02881025821196,0.0253472313271879,0.361584612937303
6,"coarse",0,"spread","none","draws","rmst24",300,0.000543940803310689,0.000281426098601132,0.00489661777563745,0.502600133340204,2.40066800760991,0.200640138919479,2.37897397044445,0.986666666666667,0.973333333333333,1.0382131796822,9.83113346910702e-05,0.00974257158090125
6,"coarse",0,"spread","none","oracle","rmst24",300,0,0,0,0.502600133340204,NA,NA,NA,NA,0.966666666666667,1,NA,0
6,"coarse",0,"spread","none","single","rmst24",300,0.0382967149247444,0.000848019015723935,0.0410080493694217,0.502600133340204,NA,NA,NA,NA,0.973333333333333,1.03434244980757,NA,0.0815917996218752
6,"coarse",0,"spread","none","variants","s12",300,0.00772654040348565,0.000251231994359996,0.00886406022027922,0.0288261586887529,3.25225465549036,0.305084173605698,0.783772993410174,0.746666666666667,0.956666666666667,1.05185877316275,0.0322864514034391,0.307500569742499
6,"coarse",0,"spread","none","draws","s12",300,0.000127472981747489,0.000130571561278562,0.0022613890007863,0.0288261586887529,2.33416404212534,0.198464588984237,2.33452899614422,0.99,0.966666666666667,1.05494994867858,0.00599519865249887,0.0784491969673582
6,"coarse",0,"spread","none","oracle","s12",300,0,0,0,0.0288261586887529,NA,NA,NA,NA,0.956666666666667,1,NA,0
6,"coarse",0,"spread","none","single","s12",300,0.00201202016296241,0.000192586885836149,0.00389076445012944,0.0288261586887529,NA,NA,NA,NA,0.97,1.04638411588852,NA,0.134973393164851
6,"coarse",0,"spread","none","variants","s48",300,-0.00181469741558203,0.000750230302131325,0.013099005041403,0.0267430884059276,1.30293667211637,0.149606321122413,1.28220405780928,0.89,0.913333333333333,1.040897499537,0.175832233598922,0.489808987001652
6,"coarse",0,"spread","none","draws","s48",300,0.00030814688809577,0.00039168607676395,0.00677989169095885,0.0267430884059276,0.241810228968439,0.0249612250325431,0.242117777604169,0.523333333333333,0.923333333333333,0.995150089364993,0.00791751914787686,0.253519398659135
6,"coarse",0,"spread","none","oracle","s48",300,0,0,0,0.0267430884059276,NA,NA,NA,NA,0.946666666666667,1,NA,0
6,"coarse",0,"spread","none","single","s48",300,-0.0026379203365955,0.000372825681926251,0.00696558119931514,0.0267430884059276,NA,NA,NA,NA,0.923333333333333,0.976736630869924,NA,0.260462856555162
7,"fine",3,"clustered","none","single","rmst24",300,0.00264726938181511,0.000682333319361329,0.0120919842885434,0.530376713479121,NA,NA,NA,NA,0.946666666666667,1.00410073730539,NA,0.0227988597184507
7,"fine",3,"clustered","none","variants","rmst24",300,0.186287378260013,0.0013161455003204,0.187672392091685,0.530376713479121,34.7590344022812,3.21604250536932,0.512856643307178,0.81,0.94,1.03611413924022,0.0310924126767251,0.353847345334239
7,"fine",3,"clustered","none","draws","rmst24",300,-0.00579589785111162,0.0003129723570938,0.00792969035307622,0.530376713479121,3.68971602224514,0.331783716479848,1.72430346343832,0.963333333333333,0.946666666666667,1.00455553686065,0.000189735493439258,0.0149510529997814
7,"fine",3,"clustered","none","oracle","rmst24",300,0,0,0,0.530376713479121,NA,NA,NA,NA,0.943333333333333,1,NA,0
7,"fine",3,"clustered","none","single","s12",300,0.000530404226464956,0.000107614016525978,0.00193493690666003,0.0312096993224281,NA,NA,NA,NA,0.946666666666667,1.00596490966593,NA,0.0619979348942183
7,"fine",3,"clustered","none","variants","s12",300,0.00604932912542402,0.000188074865234641,0.00686808977756398,0.0312096993224281,3.6480672971186,0.324934595099312,0.820679693602963,0.79,0.95,1.02602395961687,0.019995833434183,0.220062670473355
7,"fine",3,"clustered","none","draws","s12",300,-9.30313656184132e-07,7.20834672236488e-05,0.00124644001593794,0.0312096993224281,1.85794153602083,0.18501137585847,1.86415434883187,0.933333333333333,0.953333333333333,1.00743737092956,0.0015110818693016,0.039937584885421
7,"fine",3,"clustered","none","oracle","s12",300,0,0,0,0.0312096993224281,NA,NA,NA,NA,0.953333333333333,1,NA,0
7,"fine",3,"clustered","none","single","s48",300,-0.000599540206513865,0.000194065092782593,0.00340883635130888,0.0284516477450481,NA,NA,NA,NA,0.96,1.00571428849643,NA,0.119811561771574
7,"fine",3,"clustered","none","variants","s48",300,0.0089755227072649,0.000376611186451586,0.0110891373700125,0.0284516477450481,1.83246410735146,0.175410354596595,0.634085228378241,0.63,0.97,1.10755958553857,0.0395436842272427,0.389753784012126
7,"fine",3,"clustered","none","draws","s48",300,2.07794173269471e-05,0.00018007189620713,0.00311380350013777,0.0284516477450481,0.228667815962529,0.0221967272229631,0.229422373889334,0.566666666666667,0.956666666666667,1.00855534136131,0.00128668935638299,0.109441939111583
7,"fine",3,"clustered","none","oracle","s48",300,0,0,0,0.0284516477450481,NA,NA,NA,NA,0.95,1,NA,0
8,"coarse",3,"clustered","none","oracle","rmst24",300,0,0,0,0.507697021155627,NA,NA,NA,NA,0.95,1,NA,0
8,"coarse",3,"clustered","none","single","rmst24",300,0.0146910457077426,0.00176180072474588,0.0338216708680662,0.507697021155627,NA,NA,NA,NA,0.953333333333333,1.00357228242347,NA,0.0666178241327493
8,"coarse",3,"clustered","none","variants","rmst24",300,0.16837596336281,0.00117747106946553,0.169602505984031,0.507697021155627,34.8875167675809,3.15798046719818,0.504460625024564,0.796666666666667,0.946666666666667,1.02608731060356,0.0254471459234247,0.334062440622518
8,"coarse",3,"clustered","none","draws","rmst24",300,-0.00032324461111352,0.000326700856633351,0.00565842633126725,0.507697021155627,2.30837085281278,0.155621506374074,2.3085328083329,0.98,0.953333333333333,1.00476106708954,0.000130217069011618,0.0111452817241028
8,"coarse",3,"clustered","none","oracle","s12",300,0,0,0,0.029434043981575,NA,NA,NA,NA,0.95,1,NA,0
8,"coarse",3,"clustered","none","single","s12",300,0.000573387708113134,0.000200221942365704,0.00350932080309268,0.029434043981575,NA,NA,NA,NA,0.94,1.006192721647,NA,0.11922659371201
8,"coarse",3,"clustered","none","variants","s12",300,0.00658315107201228,0.000262403206374785,0.00799535211288103,0.029434043981575,2.71544338186642,0.284301719169131,0.877455483398145,0.753333333333333,0.94,1.0353250953819,0.028975640216881,0.271636208666601
8,"coarse",3,"clustered","none","draws","s12",300,-4.64248736233091e-05,0.000136097140978329,0.00235379743645264,0.029434043981575,1.89695314173277,0.197722819169136,1.90255706057138,0.966666666666667,0.936666666666667,1.011915561973,0.00551380732249007,0.0799685370425505
8,"coarse",3,"clustered","none","oracle","s48",300,0,0,0,0.0256994161135285,NA,NA,NA,NA,0.956666666666667,1,NA,0
8,"coarse",3,"clustered","none","single","s48",300,-0.00136154554703851,0.000229366570657404,0.00419331663167315,0.0256994161135285,NA,NA,NA,NA,0.966666666666667,1.00320661677252,NA,0.163167778331965
8,"coarse",3,"clustered","none","variants","s48",300,-0.00042753959152674,0.000359081737726939,0.00622380580663097,0.0256994161135285,2.10871302736634,0.224943477957705,2.10578149690101,0.896666666666667,0.963333333333333,1.07248084544064,0.045624351743405,0.242176934259401
8,"coarse",3,"clustered","none","draws","s48",300,0.0018386252074081,0.000218542314230951,0.00420249983260357,0.0256994161135285,0.770414099755016,0.0831761188931833,0.625030402855977,0.766666666666667,0.97,1.0221604802635,0.0064441156760775,0.163525109443686
