"cell","d1","d2","median_A","effect","method","bias","mcse","rmse","predicted","n_ok"
1,0,0,8,0,"naive",-0.0145638874440928,0.0181564860448165,0.574056124719183,0,1000
1,0,0,8,0,"midpoint",-0.0145638874440928,0.0181564860448165,0.574056124719183,0,1000
1,0,0,8,0,"interval",-0.0167016892370242,0.0177386606055819,0.560913867205396,0,1000
2,1,0,8,0,"naive",-0.469544327829055,0.0190923113722027,0.764606900947178,-0.462505905790401,1000
2,1,0,8,0,"midpoint",-0.0193893280019551,0.0192211649380773,0.607831945882711,-0.462505905790401,1000
2,1,0,8,0,"interval",-0.0198808812563334,0.0188681540730868,0.596696304938405,-0.462505905790401,1000
3,2,0,8,0,"naive",-0.938355077787125,0.0179025109546827,1.09575985078526,-0.925011811580803,1000
3,2,0,8,0,"midpoint",-0.0373634686685711,0.0181287753224716,0.574212391880313,-0.925011811580803,1000
3,2,0,8,0,"interval",-0.0342424508974133,0.017943781466453,0.568181185420609,-0.925011811580803,1000
4,3,0,8,0,"naive",-1.41988661854519,0.0176464965214967,1.52550498201986,-1.3875177173712,1000
4,3,0,8,0,"midpoint",-0.0666822325852737,0.0179511203386236,0.571285391755197,-1.3875177173712,1000
4,3,0,8,0,"interval",-0.0460661760414178,0.0177619006212626,0.563286535558065,-1.3875177173712,1000
5,0,3,8,0,"naive",1.42012283012033,0.0177391479697774,1.52679780781607,1.3875177173712,1000
5,0,3,8,0,"midpoint",0.0694859621865977,0.018119174128348,0.576892074450064,1.3875177173712,1000
5,0,3,8,0,"interval",0.0483155943078521,0.0179234077856857,0.568561073903806,1.3875177173712,1000
6,1,3,8,0,"naive",0.954697295731905,0.0177914218354771,1.10800048858959,0.925011811580803,1000
6,1,3,8,0,"midpoint",0.0527824701091746,0.0182266425348203,0.57850175172151,0.925011811580803,1000
6,1,3,8,0,"interval",0.0331145674685225,0.0180624557315953,0.57185892432261,0.925011811580803,1000
7,2,3,8,0,"naive",0.448902527264069,0.0169678736235931,0.699381373468717,0.462505905790401,1000
7,2,3,8,0,"midpoint",-0.0036463849852271,0.0175258522886853,0.55395093561599,0.462505905790401,1000
7,2,3,8,0,"interval",-0.0213484915010815,0.0174864126948257,0.553104522124162,0.462505905790401,1000
8,3,3,8,0,"naive",0.0283974394992227,0.0179283651146196,0.56737224463093,0,1000
8,3,3,8,0,"midpoint",0.0315940686010536,0.0185918767369832,0.588481442267589,0,1000
8,3,3,8,0,"interval",0.0306627596374402,0.0185473832392932,0.587027788463861,0,1000
9,0,0,16,0,"naive",-0.0130690126548695,0.0210005915910035,0.663893531687671,0,1000
9,0,0,16,0,"midpoint",-0.0130690126548695,0.0210005915910035,0.663893531687671,0,1000
9,0,0,16,0,"interval",-0.0109687891970285,0.0201820440975441,0.637987384975368,0,1000
10,1,0,16,0,"naive",-0.341072776296816,0.0207680857211551,0.739738271192955,-0.338086818887404,1000
10,1,0,16,0,"midpoint",-0.0202016984507406,0.0210001516209067,0.664058333547035,-0.338086818887404,1000
10,1,0,16,0,"interval",-0.0317042806114565,0.0204118001348636,0.645933514047661,-0.338086818887404,1000
11,2,0,16,0,"naive",-0.697676537521492,0.0212946662049397,0.969413171449099,-0.676173637774808,1000
11,2,0,16,0,"midpoint",-0.0562250939827639,0.0217834096958457,0.690799306768946,-0.676173637774808,1000
11,2,0,16,0,"interval",-0.0651009837881176,0.0212055643229501,0.673397668830757,-0.676173637774808,1000
12,3,0,16,0,"naive",-1.00443536934665,0.0206698594508019,1.19820960512789,-1.01426045666221,1000
