"c_trunc","failure","diagnostic","auroc","se","failure_rate","pool"
Inf,"fail_gc","kish_ess",0.560808665621755,0.00596348011139834,0.0675277777777778,"all"
Inf,"fail_gc","unsupported_mass",0.560382080590676,0.00570432393593185,0.0675277777777778,"all"
Inf,"fail_gc","max_weight_share",0.544294058203074,0.00545728361241913,0.0675277777777778,"all"
Inf,"fail_gc","alignment_score",0.589597861506643,0.00691166864726346,0.0675277777777778,"all"
Inf,"fail_maic","kish_ess",0.590020010151986,0.00562378290051144,0.0830555555555555,"all"
Inf,"fail_maic","unsupported_mass",0.592240478460464,0.00492545202736949,0.0830555555555555,"all"
Inf,"fail_maic","max_weight_share",0.565467300372138,0.00561030458830729,0.0830555555555555,"all"
Inf,"fail_maic","alignment_score",0.641990002016213,0.00529187899723864,0.0830555555555555,"all"
Inf,"fail_gc_mat","kish_ess",0.754264113017776,0.00298827238604852,0.190166666666667,"all"
Inf,"fail_gc_mat","unsupported_mass",0.751664341179465,0.00322398780915942,0.190166666666667,"all"
Inf,"fail_gc_mat","max_weight_share",0.707291566272497,0.003417727101081,0.190166666666667,"all"
Inf,"fail_gc_mat","alignment_score",0.722425225119927,0.00339267086016517,0.190166666666667,"all"
1,"fail_gc","kish_ess",0.501266987866171,0.00953317337769349,0.0871666666666667,"1"
1,"fail_gc","unsupported_mass",0.506761021494021,0.00917171192897293,0.0871666666666667,"1"
1,"fail_gc","max_weight_share",0.481074079646818,0.0091431946617596,0.0871666666666667,"1"
1,"fail_gc","alignment_score",0.591726622472352,0.00910726038729014,0.0871666666666667,"1"
1,"fail_maic","kish_ess",0.497135783007918,0.00861961074363349,0.113,"1"
1,"fail_maic","unsupported_mass",0.498812396142688,0.00850972511681961,0.113,"1"
1,"fail_maic","max_weight_share",0.497124004660346,0.00819593085138812,0.113,"1"
1,"fail_maic","alignment_score",0.656964564633474,0.00799256560809146,0.113,"1"
1,"fail_gc_mat","kish_ess",0.50822414493206,0.00609058744553169,0.387416666666667,"1"
1,"fail_gc_mat","unsupported_mass",0.500861526647165,0.00538550991650703,0.387416666666667,"1"
1,"fail_gc_mat","max_weight_share",0.497831135744207,0.00533069528666358,0.387416666666667,"1"
1,"fail_gc_mat","alignment_score",0.549177567949997,0.00564441373583063,0.387416666666667,"1"
1.5,"fail_gc","kish_ess",0.489214567398884,0.0100410984589599,0.0634166666666667,"1.5"
1.5,"fail_gc","unsupported_mass",0.483565007759376,0.0107170126799381,0.0634166666666667,"1.5"
1.5,"fail_gc","max_weight_share",0.496787806772433,0.0108201634242063,0.0634166666666667,"1.5"
1.5,"fail_gc","alignment_score",0.579112015965618,0.0104165889310149,0.0634166666666667,"1.5"
1.5,"fail_maic","kish_ess",0.491212793947487,0.00930274321626605,0.0855,"1.5"
1.5,"fail_maic","unsupported_mass",0.501481438850148,0.00944164101534108,0.0855,"1.5"
1.5,"fail_maic","max_weight_share",0.483690850356558,0.0099430126832779,0.0855,"1.5"
1.5,"fail_maic","alignment_score",0.599724459479095,0.00972947350911025,0.0855,"1.5"
1.5,"fail_gc_mat","kish_ess",0.520234149682808,0.0074698046096721,0.143,"1.5"
1.5,"fail_gc_mat","unsupported_mass",0.508736782146934,0.00746073016659925,0.143,"1.5"
1.5,"fail_gc_mat","max_weight_share",0.51001975141415,0.00800653450281444,0.143,"1.5"
1.5,"fail_gc_mat","alignment_score",0.551035668596929,0.00759214938409114,0.143,"1.5"
Inf,"fail_gc","kish_ess",0.498435330565473,0.0118903021377009,0.052,"Inf"
Inf,"fail_gc","unsupported_mass",0.489667575011721,0.0114260513715723,0.052,"Inf"
Inf,"fail_gc","max_weight_share",0.497967352546071,0.0114626650026318,0.052,"Inf"
Inf,"fail_gc","alignment_score",0.507245770447907,0.0112943753926856,0.052,"Inf"
Inf,"fail_maic","kish_ess",0.509812258602528,0.0131435833086989,0.0506666666666667,"Inf"
Inf,"fail_maic","unsupported_mass",0.518564938229968,0.0122387564578667,0.0506666666666667,"Inf"
Inf,"fail_maic","max_weight_share",0.487480393674231,0.0129216833864747,0.0506666666666667,"Inf"
Inf,"fail_maic","alignment_score",0.502963038466514,0.0114985042535617,0.0506666666666667,"Inf"
Inf,"fail_gc_mat","kish_ess",0.527772699141742,0.0129182836532227,0.0400833333333333,"Inf"
Inf,"fail_gc_mat","unsupported_mass",0.505347848867252,0.0126611552215176,0.0400833333333333,"Inf"
Inf,"fail_gc_mat","max_weight_share",0.504067852101536,0.0127179057711219,0.0400833333333333,"Inf"
Inf,"fail_gc_mat","alignment_score",0.515833823499419,0.0145256204128233,0.0400833333333333,"Inf"
