"cell","c_trunc","align","shape","b","method","bias","mcse","rmse","coverage","emp_sd","mean_se","ess_frac","unsup_mass","align_score"
1,Inf,"orthogonal","linear",0.3,"maic",0.00365055340690874,0.00435887276986952,0.137819079202637,0.938,0.137839659836747,0.130899282933262,0.723208868717978,0.0115023668566262,0.000690555579401011
1,Inf,"orthogonal","linear",0.3,"gcomp",1.18571943580358e-05,0.00318153125485275,0.100558535814084,0.939,0.100608852123483,0.0970143945886228,0.723208868717978,0.0115023668566262,0.000690555579401011
1,Inf,"orthogonal","linear",0.3,"trimmed_vs_restricted",-0.00348053116382675,0.00312456263668501,0.0988192434502502,0.941,0.0988073462378583,0.0956455612986541,0.723208868717978,0.0115023668566262,0.000690555579401011
2,1.5,"orthogonal","linear",0.3,"maic",0.00641504667030156,0.00424597484136453,0.134355598599125,0.958,0.13426951386484,0.136687842653589,0.591654697591362,0.143812260511651,0.00577176602675132
2,1.5,"orthogonal","linear",0.3,"gcomp",0.00499902315615602,0.00396366067979983,0.125378967977578,0.96,0.125341956202188,0.129196205461583,0.591654697591362,0.143812260511651,0.00577176602675132
2,1.5,"orthogonal","linear",0.3,"trimmed_vs_restricted",0.00531414332478723,0.00285259929446618,0.0903184672773544,0.958,0.0902071102230248,0.0942936262397393,0.591654697591362,0.143812260511651,0.00577176602675132
3,1,"orthogonal","linear",0.3,"maic",-0.00546421660680436,0.00526743027579383,0.166577109927401,0.943,0.166570770876374,0.159900110339127,0.408993325707025,0.280756450310406,0.0152505669065949
3,1,"orthogonal","linear",0.3,"gcomp",-0.00458441434722145,0.00674157842788373,0.213130119116269,0.939,0.213187428567698,0.205369592745817,0.408993325707025,0.280756450310406,0.0152505669065949
3,1,"orthogonal","linear",0.3,"trimmed_vs_restricted",-0.000637887261991622,0.00304893141175564,0.0963695681789415,0.947,0.096415676907805,0.0935412659589329,0.408993325707025,0.280756450310406,0.0152505669065949
4,Inf,"partial","linear",0.3,"maic",0.00568731889446589,0.00409296290328637,0.129491075285357,0.948,0.129430851529604,0.130041898529595,0.723032880245975,0.0115528898280849,0.000584605104372889
4,Inf,"partial","linear",0.3,"gcomp",0.00325537086308057,0.00300387300251758,0.0949990905308829,0.959,0.0949908048984424,0.0971080927412625,0.723032880245975,0.0115528898280849,0.000584605104372889
4,Inf,"partial","linear",0.3,"trimmed_vs_restricted",-0.000602637762908842,0.00296298731748387,0.0936529642990545,0.959,0.0936978860144149,0.0957171185499688,0.723032880245975,0.0115528898280849,0.000584605104372889
5,1.5,"partial","linear",0.3,"maic",-0.00498029228874757,0.00445312502390415,0.140837833934367,0.941,0.140820177810289,0.134647398780214,0.589572631554244,0.143728850181222,0.011071086010611
5,1.5,"partial","linear",0.3,"gcomp",0.000507159150939035,0.00412007601902177,0.130224070687873,0.947,0.13028824353148,0.12908348129852,0.589572631554244,0.143728850181222,0.011071086010611
5,1.5,"partial","linear",0.3,"trimmed_vs_restricted",0.000405920145036735,0.00312873589410221,0.0988906672943036,0.933,0.0989393162248635,0.0943669529804773,0.589572631554244,0.143728850181222,0.011071086010611
6,1,"partial","linear",0.3,"maic",0.000439638581136694,0.00482271506123319,0.152432002097216,0.965,0.152507640994953,0.154281114897912,0.408620541995297,0.280643296912269,0.0273931144971605
6,1,"partial","linear",0.3,"gcomp",0.00764670657799372,0.00638812183766223,0.202053865673721,0.947,0.202010149776731,0.205771915131705,0.408620541995297,0.280643296912269,0.0273931144971605
6,1,"partial","linear",0.3,"trimmed_vs_restricted",0.00455654838083566,0.0028856825416973,0.0913214033010447,0.962,0.0912532943594729,0.0936503922369245,0.408620541995297,0.280643296912269,0.0273931144971605
7,Inf,"full","linear",0.3,"maic",0.0014997922392572,0.00431165523639138,0.136286572645234,0.937,0.136346510323885,0.131144509069885,0.72257919192848,0.0114969587675151,0.000696178109813216
7,Inf,"full","linear",0.3,"gcomp",0.00133618274950057,0.00317040753770029,0.100215856307731,0.947,0.100257089300991,0.0972484573692813,0.72257919192848,0.0114969587675151,0.000696178109813216
7,Inf,"full","linear",0.3,"trimmed_vs_restricted",-0.00250672336845719,0.00313787557250201,0.0992103850785907,0.951,0.0992283382331116,0.0958510499878924,0.72257919192848,0.0114969587675151,0.000696178109813216
8,1.5,"full","linear",0.3,"maic",-0.00975318676308024,0.00428774340244283,0.135873041453197,0.939,0.135590351740793,0.132593980325017,0.587556317472194,0.143686893154422,0.0217074380560967
