"cell","dim","shift","em","s","p_infeasible","silent","ess_med_feas","ess_med_infeas","bias_feas","bias_infeas","cover_feas","cover_infeas","resid_max_feas","resid_min_infeas"
1,3,"easy",0,1.5,0,NA,55.3807957122374,NA,-0.0127986970109904,NA,0.924,NA,5.82274627717368e-06,NA
2,8,"easy",0,1.5,0,NA,55.5886415803571,NA,-0.0211045532173275,NA,0.924,NA,6.43739677362827e-07,NA
3,3,"q10",0,2.3,0.068,0,8.6747927945731,1,-0.0889719240748448,-31.3166718796722,0.802575107296137,0,0.00310526586569385,0.0130202158326879
4,8,"q10",0,2.1,0.101,0.237623762376238,14.2789962366183,1,-0.149168758013499,0.0221867812298996,0.853170189098999,1,8.00939805327407e-05,0.00118306241860729
5,3,"q30",0,2.6,0.41,0.0341463414634146,4.73075743781767,1,-0.296165670477522,-33.9404273624239,0.706281833616299,0.0606060606060606,0.00104116670060866,0.00091673732458436
6,8,"q30",0,2.2,0.251,0.219123505976096,11.5904245049473,1,-0.121604135743339,3.33531865278324,0.815754339118825,0.8,0.000553462107966797,0.0015490654430465
7,3,"q50",0,2.7,0.551,0.0725952813067151,4.07924838218255,1,-0.202516571823914,-48.6357237532954,0.701559020044543,0,0.00130752228989579,0.00347247582905736
8,8,"q50",0,2.3,0.468,0.282051282051282,9.63789328862152,1,-0.201901234627671,12.4499166998971,0.806390977443609,0.538461538461538,0.000367371804579293,0.000590995208456816
9,3,"q70",0,2.8,0.701,0.0699001426533524,3.61850567784506,1,-0.211945458938911,-26.2036772450503,0.625418060200669,0.363636363636364,0.000790843318235813,0.000618613061612764
10,8,"q70",0,2.5,0.772,0.296632124352332,7.52430298150849,1,-0.269048386706596,-9.79160241488004,0.767543859649123,0.2,0.00108747451058217,0.000816267378519244
11,3,"q90",0,3,0.88,0.0761363636363636,3.03711235733327,1,-0.170203023647936,58.4182921536472,0.616666666666667,0,0.00163197294182496,0.00119164562088514
12,8,"q90",0,2.6,0.875,0.290285714285714,6.96537053961845,1,-0.319210369032995,1.2727629331598,0.72,0.285714285714286,0.00176205431824645,0.00130968857521991
13,3,"easy",0.5,1.5,0,NA,55.0343984266519,NA,0.00301224827809843,NA,0.916,NA,8.5941060638569e-06,NA
14,8,"easy",0.5,1.5,0,NA,55.802635599019,NA,-0.0250097070765871,NA,0.925,NA,6.31646357869149e-07,NA
15,3,"q10",0.5,2.3,0.063,0.0476190476190476,8.81725804159283,1.41289950091198,0.031709695597216,-23.2822507035555,0.79615795090715,0,0.000796386663205018,0.000278835466189329
16,8,"q10",0.5,2.1,0.101,0.217821782178218,13.8911064111084,1,-0.083120065469921,6.42486441007544,0.82091212458287,0.4,0.000628147835391728,0.000347467824920104
17,3,"q30",0.5,2.6,0.426,0.0422535211267606,4.83478076128191,1,0.18087459656591,33.8780463759716,0.699825479930192,0.0416666666666667,0.00674396558643335,0.00217196946577174
18,8,"q30",0.5,2.2,0.223,0.273542600896861,11.6100483309445,1,-0.0371744358459635,-3.2646578247712,0.823680823680824,0.285714285714286,0.000892174691127824,0.000349294807363264
19,3,"q50",0.5,2.7,0.565,0.0584070796460177,4.21598523296863,1,0.281479707076931,68.4441776682949,0.64367816091954,0,0.000808522333309168,0.00360582491484631
20,8,"q50",0.5,2.3,0.436,0.261467889908257,9.70358047731293,1,-0.0453376261433831,0.381110659870869,0.792553191489362,0.666666666666667,0.000784052593773618,0.000408088954513261
21,3,"q70",0.5,2.8,0.696,0.0387931034482759,3.61309651881091,1,0.0849842519464857,43.9397901852332,0.664473684210526,0.133333333333333,0.00113547415048895,0.00473316950574593
22,8,"q70",0.5,2.5,0.795,0.338364779874214,7.88638284231758,1,-0.321380255228246,-4.63702072441939,0.785365853658537,0.636363636363636,8.7798588794642e-06,0.000127926045634405
23,3,"q90",0.5,3,0.876,0.0787671232876712,3.04761272725233,1,0.635069153336008,67.2305558710449,0.637096774193548,0.142857142857143,0.00766049000897758,0.000746911417894261
24,8,"q90",0.5,2.6,0.879,0.32650739476678,6.69147822886621,1,0.0333407625997151,-4.15390683100887,0.727272727272727,0.285714285714286,0.00038116763958753,0.000545874118103633
