"cell","n","shift","dim","alloc","prev","achieved","achieved_mcse","n_ok","se_nominal","se_kish","se_influence","ratio_nominal","ratio_kish","ratio_influence"
1,150,0.2,2,"1:1",0.1,0.66746559032852,0.0149324524198663,1000,0.545044027228058,0.555871454441521,0.579256089323179,0.816587454283287,0.832809155252372,0.867844122178755
2,400,0.2,2,"1:1",0.1,0.367206265966473,0.00821509029719766,1000,0.338056187378479,0.344832112416232,0.359075903736455,0.920616609002377,0.93906924901907,0.977858868479222
3,1000,0.2,2,"1:1",0.1,0.228641856927008,0.00511514555839801,1000,0.21154094831592,0.215761666181436,0.224737683555836,0.925206570481326,0.943666523187467,0.982924502872547
4,150,0.5,2,"1:1",0.1,0.747805610747287,0.0167465805348852,998,0.510629392296834,0.578999785639921,0.642305009311618,0.682837070166615,0.774265099537463,0.858919751444174
5,400,0.5,2,"1:1",0.1,0.402191991438333,0.00899778634708081,1000,0.31410639489429,0.356497051625797,0.394045632772143,0.780986199578395,0.886385256829405,0.979745099754333
6,1000,0.5,2,"1:1",0.1,0.259706071887175,0.0058101100907642,1000,0.198551361447664,0.224653417729384,0.247910539609077,0.764523370612303,0.865029516240888,0.954581222562934
7,150,0.8,2,"1:1",0.1,0.882871835860374,0.019781216478752,997,0.486280262401854,0.665562579413197,0.765789423928212,0.550793719598004,0.753860925651337,0.867384588366597
8,400,0.8,2,"1:1",0.1,0.502263996393832,0.0112365840831905,1000,0.294917325831968,0.405882040914191,0.474532903445635,0.587175923318061,0.808104988269822,0.944787814481425
9,1000,0.8,2,"1:1",0.1,0.305215427842317,0.00682823941803701,1000,0.188223002880417,0.259552555960651,0.298843288969509,0.616689019329842,0.850391337670986,0.979122487621757
10,150,0.2,5,"1:1",0.1,0.675176207826496,0.015127684660258,997,0.553706058548748,0.564832881004368,0.587181723122148,0.820091188241392,0.836571067607164,0.869671822430449
11,400,0.2,5,"1:1",0.1,0.385474284505562,0.00862378000584006,1000,0.338701339699935,0.345528466044726,0.358875959221568,0.87866130975346,0.896372287162881,0.930998444375839
12,1000,0.2,5,"1:1",0.1,0.230843420220448,0.00516439864290896,1000,0.214394542377642,0.218498579974316,0.226618126869053,0.9287444371293,0.946522884497454,0.981696279896741
13,150,0.5,5,"1:1",0.1,0.784313408413394,0.0175465564414066,1000,0.522827247181174,0.592346548818488,0.648356332612443,0.666605009646352,0.755242155067526,0.826654658274959
14,400,0.5,5,"1:1",0.1,0.416041768275467,0.00930763173333433,1000,0.322254960082071,0.365480934254709,0.400495773572287,0.774573575672097,0.878471735589583,0.962633572182859
15,1000,0.5,5,"1:1",0.1,0.259491995321194,0.00580532079797962,1000,0.203029579373833,0.230574208852068,0.25129152306142,0.78241172380877,0.888560005739936,0.968397976016086
16,150,0.8,5,"1:1",0.1,0.91183718815933,0.0204404645694325,996,0.49352789025476,0.679505929829942,0.775755768201623,0.541245626591536,0.745205326843073,0.850761274353807
17,400,0.8,5,"1:1",0.1,0.500111910313765,0.0111884378963912,1000,0.302151896717768,0.413955928427219,0.474359304035072,0.604168568047501,0.827726594568618,0.948506312791998
18,1000,0.8,5,"1:1",0.1,0.303127581105031,0.00678153038536739,1000,0.192836013824664,0.265124099701102,0.30003575957223,0.636154628759592,0.874628757748174,0.989800263237247
19,150,0.2,2,"2:1",0.1,0.670172016398419,0.0150231066845054,996,0.571039906419765,0.58236838453353,0.604991294763,0.852079604112089,0.868983440495239,0.902740311381983
20,400,0.2,2,"2:1",0.1,0.390206959158778,0.00872965878086885,1000,0.346124082393876,0.353064820974091,0.366297133957363,0.887026933451064,0.904814259938471,0.938725272217181
21,1000,0.2,2,"2:1",0.1,0.239244430830156,0.0053523449475964,1000,0.220807121252406,0.225516341919372,0.23470116693086,0.92293526117296,0.942618982338907,0.981009949182387
22,150,0.5,2,"2:1",0.1,0.773574185106689,0.0173236496282124,998,0.536172928048918,0.605784014102219,0.662636252592929,0.693111195243634,0.783097504757958,0.856590441292376
23,400,0.5,2,"2:1",0.1,0.420873729892575,0.00941573174326379,1000,0.328841505639075,0.372916887957948,0.407780949264255,0.781330556609008,0.886054085754253,0.968891428239861
24,1000,0.5,2,"2:1",0.1,0.262353908492988,0.00586934714313782,1000,0.207020439688,0.234515845708706,0.256007038799408,0.789088452606502,0.893891183309639,0.975807984984718
25,150,0.8,2,"2:1",0.1,0.926978559001218,0.0207590326541048,998,0.508987335527437,0.698885679631234,0.791522831828738,0.54908210182968,0.75393942270278,0.853873937150792
26,400,0.8,2,"2:1",0.1,0.546272432816774,0.0122211350360491,1000,0.312017782494793,0.428731101661856,0.496730762438451,0.571176145363804,0.784830198095786,0.909309590962024
27,1000,0.8,2,"2:1",0.1,0.32598938801437,0.00729299172337863,1000,0.198225826562541,0.277212511013572,0.322115718732001,0.608074476810279,0.850372807231846,0.988117192078047
28,150,0.2,5,"2:1",0.1,0.714023208867784,0.0159980725307683,997,0.574918486415934,0.586594858642952,0.60914512383609,0.805181791398033,0.82153472234202,0.853116700228838
29,400,0.2,5,"2:1",0.1,0.399314845754461,0.00893341922216536,1000,0.351426718769438,0.358732336156708,0.371993818127359,0.880074263468608,0.898369644832319,0.931580235702276
30,1000,0.2,5,"2:1",0.1,0.24728270137638,0.0055321760792813,1000,0.223157625830965,0.227652888646044,0.235820471554887,0.902439291502663,0.920617929919577,0.953647263809016
31,150,0.5,5,"2:1",0.1,0.812253362520731,0.0182172713741944,995,0.546941292949767,0.619646715841814,0.673458558471274,0.673362916285628,0.762873685027065,0.829123755648454
32,400,0.5,5,"2:1",0.1,0.436178168356593,0.00975812062815632,1000,0.333407653387017,0.376904294491816,0.409613347139255,0.76438409249874,0.864106280036651,0.939096398800912
33,1000,0.5,5,"2:1",0.1,0.259293155155082,0.00580087237192942,1000,0.209786906740492,0.237729558753613,0.258965302838875,0.809072289683157,0.916837001005402,0.998735592090697
34,150,0.8,5,"2:1",0.1,0.945411382468862,0.0211930902992699,996,0.517617625332543,0.708063964513132,0.804312387216282,0.547505175980458,0.748948000461008,0.850753864540839
35,400,0.8,5,"2:1",0.1,0.500404917702064,0.0111949930191539,1000,0.315559648921565,0.433089981325742,0.484883662597129,0.630608608665686,0.865479067061446,0.968982608771691
36,1000,0.8,5,"2:1",0.1,0.304898828237043,0.0068211564932984,1000,0.199377191455099,0.27317694494122,0.310409831060657,0.65391261950044,0.895959313850953,1.01807485734032
37,150,0.2,2,"1:1",0.3,0.39660239286786,0.00887273658285451,1000,0.364041237077005,0.371647581738825,0.379008681471199,0.917899749531508,0.937078515970153,0.955638917684185
38,400,0.2,2,"1:1",0.3,0.242300357593979,0.00542071173932409,1000,0.222025899346007,0.226337816337126,0.23057356748216,0.916325099767511,0.934120851428531,0.951602258336449
39,1000,0.2,2,"1:1",0.3,0.14253502560983,0.00318877485060412,1000,0.140391960317521,0.143078522825704,0.145781759559179,0.984964640914467,1.00381307831916,1.02277849907738
40,150,0.5,2,"1:1",0.3,0.426331048425689,0.00953782215588815,1000,0.351526260783435,0.398647001076142,0.416191792131806,0.824538259837078,0.9350644353683,0.976217410551438
41,400,0.5,2,"1:1",0.3,0.265078071151462,0.00593029175192525,1000,0.214835083852964,0.243088591229591,0.253684595659493,0.81045966163761,0.917045269620562,0.95701841558422
42,1000,0.5,2,"1:1",0.3,0.160822252705053,0.00359789429053854,1000,0.136132275672265,0.153964125176491,0.160836342408883,0.846476612424594,0.957355854595946,1.00008761041208
43,150,0.8,2,"1:1",0.3,0.517869958121111,0.0115857186068806,1000,0.343207388471077,0.471502266811166,0.497706774108476,0.662728901510857,0.91046460490164,0.961065159898851
44,400,0.8,2,"1:1",0.3,0.314734054168192,0.00704118887456802,1000,0.209576383883628,0.288142507037232,0.303341698779508,0.665884041170937,0.915511058372003,0.963803232482129
45,1000,0.8,2,"1:1",0.3,0.189670010411347,0.00424327253266943,1000,0.132716132166269,0.183089396121514,0.193934190219361,0.699721225714283,0.965304929990981,1.02248209824403
46,150,0.2,5,"1:1",0.3,0.408035823269464,0.00912852378438468,1000,0.36412114675664,0.371689670372454,0.378444484219982,0.892375438604998,0.910924112971799,0.927478575747648
47,400,0.2,5,"1:1",0.3,0.241215948019351,0.00539645147091263,1000,0.223233152753596,0.227783049431541,0.231766101899033,0.925449393319911,0.944311731052157,0.960824123786541
48,1000,0.2,5,"1:1",0.3,0.149595839310379,0.00334673844626617,1000,0.141202537630726,0.144139596324878,0.146687071451089,0.943893481808416,0.963526773133173,0.980555823793632
49,150,0.5,5,"1:1",0.3,0.439400871715528,0.0098302185239399,1000,0.355058458174863,0.401843152567768,0.418447609031534,0.808051328593474,0.914525160131965,0.95231401657856
50,400,0.5,5,"1:1",0.3,0.260947801365279,0.00583788989936979,1000,0.217120292490707,0.246172114317592,0.256096277988409,0.832044919921659,0.943376847896856,0.981408069539245
51,1000,0.5,5,"1:1",0.3,0.165700941686208,0.00370703967891215,1000,0.137047177572155,0.155242729279091,0.161535723040152,0.827075429852922,0.936885015252827,0.974863035757856
52,150,0.8,5,"1:1",0.3,0.522878588171846,0.0116977710197765,1000,0.344915897305315,0.476658929390663,0.503166202511802,0.659648157541225,0.911605371061796,0.962300262229202
53,400,0.8,5,"1:1",0.3,0.309990694957218,0.00693507106601801,1000,0.211134115728898,0.291743998081773,0.30807694466233,0.681098236700417,0.941137920678673,0.993826426644347
54,1000,0.8,5,"1:1",0.3,0.195254834760093,0.004368215488635,1000,0.133840861159682,0.18407933463808,0.194980985315099,0.68546759072128,0.942764540833296,0.998597476752214
55,150,0.2,2,"2:1",0.3,0.404944052056234,0.00905935508534815,1000,0.379898444732222,0.387319954269963,0.393975271395282,0.938150450174945,0.956477696865088,0.972912849058397
56,400,0.2,2,"2:1",0.3,0.254978049135574,0.00570433538746665,1000,0.232676000004551,0.237407430997224,0.241279678304556,0.912533454520373,0.931089683218152,0.946276274065715
57,1000,0.2,2,"2:1",0.3,0.155998884454004,0.00348998653026459,1000,0.147038301718493,0.150133739364193,0.15271325918622,0.94255995632999,0.962402647234695,0.978938148953539
58,150,0.5,2,"2:1",0.3,0.449182340430474,0.0100490482558373,1000,0.369097778385159,0.418703971476901,0.434488384605545,0.821710350481352,0.932147000871931,0.967287325207738
59,400,0.5,2,"2:1",0.3,0.272597121732783,0.00609850696282907,1000,0.226956455901271,0.256562980441411,0.266649757171673,0.832570991427223,0.941180078536962,0.978182584895595
60,1000,0.5,2,"2:1",0.3,0.174734544806981,0.00390913826007572,1000,0.14336944666569,0.162689502042544,0.169174447784609,0.820498584433101,0.931066620067929,0.968179749296203
61,150,0.8,2,"2:1",0.3,0.546971617628622,0.012236777106722,1000,0.361609562803943,0.499579527918637,0.525647753003821,0.66111211468648,0.913355486495895,0.961014678024336
62,400,0.8,2,"2:1",0.3,0.317181581899563,0.00709594464314182,1000,0.221618049908022,0.305484240816081,0.31997020746717,0.698710336775478,0.963120995193263,1.00879188996696
63,1000,0.8,2,"2:1",0.3,0.209568659819505,0.00468844250069828,1000,0.139974841548779,0.192594124786067,0.202772768048874,0.66791877024616,0.919002511882946,0.967572003483328
64,150,0.2,5,"2:1",0.3,0.432685052001928,0.00967997308838963,1000,0.381824455701187,0.389557676255106,0.395547433116558,0.882453539669508,0.90032617131726,0.91416939708561
65,400,0.2,5,"2:1",0.3,0.252308942068671,0.00564462247513442,1000,0.233751888901043,0.238525838328714,0.242393394998315,0.92645106822026,0.945372115522544,0.960700770297484
66,1000,0.2,5,"2:1",0.3,0.156127756184898,0.00349286963168243,1000,0.147700409563461,0.150732195386947,0.153053487898998,0.946022751960538,0.965441373591762,0.980309277728565
67,150,0.5,5,"2:1",0.3,0.472251644538487,0.0105651516938929,1000,0.371871351764252,0.421948935873101,0.437165869755578,0.787443211823364,0.893483253584971,0.925705341233492
