"cell","assay","b","method","bias","mcse","rmse","n"
1,"same_good",0.5,"maic_naive",-0.0315424907945673,0.00514288345089628,0.165582999323115,1000
1,"same_good",0.5,"maic_prev_only",-0.0315424907945673,0.00514288345089628,0.165582999323115,1000
1,"same_good",0.5,"maic_corrected",-0.00417957617523856,0.00540515746697589,0.170891721193764,1000
1,"same_good",0.5,"stc_naive",-0.0297011562826103,0.00511772702428555,0.164460017784663,1000
1,"same_good",0.5,"stc_outcome_only",-0.0141856935493748,0.005259925610418,0.166854381156686,1000
1,"same_good",0.5,"stc_corrected",-0.00236041847474398,0.00538824256940462,0.170322330902713,1000
2,"same_poor",0.5,"maic_naive",-0.0621352281218189,0.00516259080058892,0.174603774312875,1000
2,"same_poor",0.5,"maic_prev_only",-0.0621352281218189,0.00516259080058892,0.174603774312875,1000
2,"same_poor",0.5,"maic_corrected",0.00246617418858853,0.0062944018682722,0.198962200931628,1000
2,"same_poor",0.5,"stc_naive",-0.0630918407971385,0.00514154405841864,0.174326189095405,1000
2,"same_poor",0.5,"stc_outcome_only",-0.0215952136314005,0.00579319799771752,0.184374442777472,1000
2,"same_poor",0.5,"stc_corrected",0.00175178913990434,0.00629617556419479,0.199010687335176,1000
3,"source_worse",0.5,"maic_naive",-0.0588879473292734,0.00546715742066782,0.18255878722416,1000
3,"source_worse",0.5,"maic_prev_only",-0.0687896615290437,0.00534385017596597,0.182373779644303,1000
3,"source_worse",0.5,"maic_corrected",-0.00607346969441717,0.00651698578497157,0.20607163718457,1000
3,"source_worse",0.5,"stc_naive",-0.0590802770573218,0.00547226182818976,0.182773583988268,1000
3,"source_worse",0.5,"stc_outcome_only",-0.0129663002509774,0.00636724243430727,0.201666455770969,1000
3,"source_worse",0.5,"stc_corrected",-0.00611989620819142,0.00652617841834958,0.206363433953263,1000
4,"target_worse",0.5,"maic_naive",-0.0281536638737402,0.00559732131986167,0.179140460927552,1000
4,"target_worse",0.5,"maic_prev_only",-0.0123045215827231,0.00573830219023072,0.18178719747485,1000
4,"target_worse",0.5,"maic_corrected",0.000489483264376952,0.00586357217875149,0.185330345088437,1000
4,"target_worse",0.5,"stc_naive",-0.0288686376174017,0.0055196456527672,0.176831614486394,1000
4,"target_worse",0.5,"stc_outcome_only",-0.0242390441058263,0.00555647979406758,0.177288252553134,1000
4,"target_worse",0.5,"stc_corrected",-0.000171493116954219,0.00579142733438247,0.183049499722758,1000
5,"same_good",1,"maic_naive",-0.0520990094901338,0.00514621187393508,0.170796135625581,1000
5,"same_good",1,"maic_prev_only",-0.0520990094901339,0.00514621187393508,0.170796135625581,1000
5,"same_good",1,"maic_corrected",0.00121558704199767,0.00539715652211966,0.170592048107733,1000
5,"same_good",1,"stc_naive",-0.052714567347872,0.00504189534662102,0.167851462871986,1000
5,"same_good",1,"stc_outcome_only",-0.0224595338132622,0.00517399927235895,0.16506946677387,1000
5,"same_good",1,"stc_corrected",0.000725493374510931,0.00530002864158192,0.167519370935494,1000
6,"same_poor",1,"maic_naive",-0.130003583782772,0.00503392521591786,0.20546531209121,1000
6,"same_poor",1,"maic_prev_only",-0.130003583782772,0.00503392521591787,0.20546531209121,1000
6,"same_poor",1,"maic_corrected",-0.00421335641757802,0.00621189882523778,0.196384448723103,1000
6,"same_poor",1,"stc_naive",-0.130127535315231,0.00500309068286712,0.204790285198853,1000
6,"same_poor",1,"stc_outcome_only",-0.0508159349916649,0.00567344739113534,0.186381534878747,1000
6,"same_poor",1,"stc_corrected",-0.00439917647842877,0.00620620143575402,0.196208491351884,1000
7,"source_worse",1,"maic_naive",-0.103949091824436,0.00505269615740901,0.190550839441241,1000
7,"source_worse",1,"maic_prev_only",-0.123690821124966,0.00496144297776177,0.199726612487491,1000
7,"source_worse",1,"maic_corrected",0.00266936909549269,0.00592793027598354,0.187382876834927,1000
7,"source_worse",1,"stc_naive",-0.104377739428498,0.00501060264079903,0.18967273176016,1000
7,"source_worse",1,"stc_outcome_only",-0.0115357726690036,0.00577776326810093,0.182981528807978,1000
7,"source_worse",1,"stc_corrected",0.00235312114039675,0.0059175107527554,0.187049335081866,1000
8,"target_worse",1,"maic_naive",-0.0505102065527245,0.00517261728039706,0.171115442102493,1000
8,"target_worse",1,"maic_prev_only",-0.0194508210429548,0.00533129931215058,0.169625069027625,1000
8,"target_worse",1,"maic_corrected",0.00563924477337843,0.00546273724136761,0.172752591157616,1000
8,"target_worse",1,"stc_naive",-0.0502456392313756,0.00507211246917466,0.168003639355898,1000
8,"target_worse",1,"stc_outcome_only",-0.041191499282288,0.00511416803804265,0.166809171269863,1000
8,"target_worse",1,"stc_corrected",0.00599598965531243,0.00537400424895607,0.169961741689348,1000
