"cell","se_b","visiting","effect","method","truth","bias","mcse","rmse"
1,1,"regular",0,"naive",0,0.416142277035835,0.020278050134295,0.764174399380338
1,1,"regular",0,"midpoint",0,0.0329946997491706,0.021295045099277,0.673879898087189
1,1,"regular",0,"interval",0,0.00167043884702859,0.0210988995952079,0.666874194230423
2,0.85,"regular",0,"naive",0,0.749261844659807,0.0212256843340976,1.00571987036069
2,0.85,"regular",0,"midpoint",0,0.375676320174286,0.0223163239251875,0.799157677032545
2,0.85,"regular",0,"interval",0,0.384583918659959,0.0219157212700661,0.792289928271395
3,0.7,"regular",0,"naive",0,1.26739959557702,0.0206793341874568,1.42601155761195
3,0.7,"regular",0,"midpoint",0,0.913391301394099,0.0216968833641431,1.14217672119157
3,0.7,"regular",0,"interval",0,0.943695724777192,0.0211407754986113,1.15630751846416
4,1,"informative",0,"naive",0,0.193125542615534,0.0206821161786587,0.675642217631144
4,1,"informative",0,"midpoint",0,0.0206657078548576,0.0214665840911537,0.672328059337748
4,1,"informative",0,"interval",0,-0.0235954523861093,0.0210506489553811,0.659411836705361
5,0.85,"informative",0,"naive",0,0.467637725928659,0.020347110922627,0.792550258001056
5,0.85,"informative",0,"midpoint",0,0.313378299087494,0.0212231461465047,0.737342016596745
5,0.85,"informative",0,"interval",0,0.302115002770385,0.0207267349478099,0.718432629783859
6,0.7,"informative",0,"naive",0,0.912129341032321,0.0207096498128304,1.11963315734254
6,0.7,"informative",0,"midpoint",0,0.785835483429492,0.0215383187753287,1.03612272279793
6,0.7,"informative",0,"interval",0,0.796269711375704,0.0208189330351521,1.02961407840036
7,1,"regular",3,"naive",1.58970259831888,0.29823389748951,0.0201987488607405,0.70464524669901
7,1,"regular",3,"midpoint",1.58970259831888,0.0331782325640242,0.0213034984615971,0.674155770406692
7,1,"regular",3,"interval",1.58970259831888,0.00899194075105705,0.0208517630855015,0.659122206232335
8,0.85,"regular",3,"naive",1.58970259831888,0.583952121171023,0.0208721050309961,0.881027356826474
8,0.85,"regular",3,"midpoint",1.58970259831888,0.329524333407061,0.0220165477080518,0.769954499249993
8,0.85,"regular",3,"interval",1.58970259831888,0.334018209372223,0.0212239800304694,0.749383103090572
9,0.7,"regular",3,"naive",1.58970259831888,1.07856870198618,0.0203434619008577,1.25568826966477
9,0.7,"regular",3,"midpoint",1.58970259831888,0.847085890626886,0.0215114425115623,1.08620160323416
9,0.7,"regular",3,"interval",1.58970259831888,0.867370415049262,0.0208894987381431,1.09007624654245
10,1,"informative",3,"naive",1.58970259831888,0.0426583058139718,0.0202231629529313,0.635808485126298
10,1,"informative",3,"midpoint",1.58970259831888,-0.00814156700134877,0.0211406618766869,0.663206625678824
10,1,"informative",3,"interval",1.58970259831888,-0.052897270722411,0.0206528330644272,0.650010001938112
11,0.85,"informative",3,"naive",1.58970259831888,0.294801155649338,0.0204989286181134,0.706491245839163
11,0.85,"informative",3,"midpoint",1.58970259831888,0.262286856486129,0.0215354830708328,0.723712417047485
11,0.85,"informative",3,"interval",1.58970259831888,0.249097726061512,0.0207785023085484,0.696844787818512
12,0.7,"informative",3,"naive",1.58970259831888,0.662994694293435,0.021030668756327,0.933637159365357
12,0.7,"informative",3,"midpoint",1.58970259831888,0.657496307750913,0.0220182654955433,0.951816640841804
12,0.7,"informative",3,"interval",1.58970259831888,0.672440204373419,0.0216855923806351,0.954790370850139
