"cell","gamma","imbalance","mu1_t","dr_minus_or","se_or","dr_minus_maic","max_abs_dr_minus_maic"
1,0,0.1,0.5,0.000286978461635526,0.00050036812231601,-5.04025551365522e-07,0.00131978820791789
2,0.25,0.1,0.5,-0.000189184008183462,0.000497334870719561,-2.15274338565542e-06,0.00109446616529785
3,0.5,0.1,0.5,-0.000633703356249816,0.000515461087585905,9.6045631763301e-07,0.00117876842098719
4,1,0.1,0.5,0.000383169399111019,0.00055432183448785,-1.0740582452713e-06,0.000929791959869197
5,0,0.3,0.5,0.000330163374427417,0.00049131317666942,-9.55993582819278e-07,0.000777974924759839
6,0.25,0.3,0.5,0.000422021159299832,0.000502781014748768,-2.78670579196937e-06,0.000874078192186767
7,0.5,0.3,0.5,0.000188548772487896,0.000495322402674294,-1.460861958687e-06,0.000947948550818811
8,1,0.3,0.5,0.000997637985237931,0.0005396447810066,1.11105827313098e-06,0.000824146502112377
9,0,0.1,1,-0.00065253868986238,0.000695067592455263,9.94589964981123e-07,0.00161656672254296
10,0.25,0.1,1,-0.000662298391039631,0.000747460178102229,1.00393744322091e-06,0.00259308819590953
11,0.5,0.1,1,-0.000359411171180951,0.000747603312131455,5.18195540704512e-07,0.00095304926787021
12,1,0.1,1,0.00023983958105491,0.000804490480765862,1.00513708268616e-06,0.00100000278686307
13,0,0.3,1,-0.00153842577161851,0.00071070211929475,-1.1671225682777e-06,0.00212544959207506
14,0.25,0.3,1,0.00125556521767141,0.000725968177821711,-6.92439265664625e-07,0.00101763903762775
15,0.5,0.3,1,-0.000181307946878794,0.00075752230992556,2.7281576221472e-07,0.00108002673249086
16,1,0.3,1,0.000480731051272851,0.000798894121020483,1.59029549052871e-06,0.0021640189169827
