"cell","gamma","imbalance","mu1_t","method","bias","mcse","rmse","location_error","loc_mcse","region_includes"
1,0,0.1,0.5,"maic_wrong",0.202014691800543,0.00188124195736711,0.218825362415519,0.202014691800543,0.00188124195736711,0.8705
1,0,0.1,0.5,"maic_right",0.00168316908875275,0.00159332495917913,0.0712577239661928,0.00168316908875275,0.00159332495917913,0.5145
1,0,0.1,0.5,"or_wrong",0.103750167345564,0.00188325958012895,0.133618426311199,0.103750167345564,0.00188325958012895,0.881
1,0,0.1,0.5,"or_right",0.00139568660156586,0.00154677002064637,0.0691704448238825,0.00139568660156586,0.00154677002064637,0.5135
1,0,0.1,0.5,"dr_both_right",0.0016826650632014,0.00159339391811093,0.0712607943688703,0.0016826650632014,0.00159339391811093,0.5145
1,0,0.1,0.5,"dr_w_wrong",0.0020715412676548,0.00156478548496974,0.0699924992949499,0.0020715412676548,0.00156478548496974,0.5125
1,0,0.1,0.5,"dr_o_wrong",0.00168361205804606,0.00159340121816875,0.0712611430321128,0.00168361205804606,0.00159340121816875,0.5145
1,0,0.1,0.5,"dr_both_wrong",0.20201338392454,0.00188123690429365,0.218824068174655,0.20201338392454,0.00188123690429365,0.8705
2,0.25,0.1,0.5,"maic_wrong",0.224239783903569,0.00188847305400326,0.239609213733605,0.199239783903569,0.00188847305400326,0.817
2,0.25,0.1,0.5,"maic_right",0.025757821943511,0.00161343126498432,0.0765975399375503,0.000757821943511105,0.00161343126498432,0.6475
2,0.25,0.1,0.5,"or_wrong",0.12579992566156,0.00191324022205072,0.1521280286563,0.10079992566156,0.00191324022205072,0.9075
2,0.25,0.1,0.5,"or_right",0.0259448532083088,0.00153235180757531,0.0732597531411153,0.000944853208308921,0.00153235180757531,0.6635
2,0.25,0.1,0.5,"dr_both_right",0.0257556692001253,0.00161338761171368,0.0765949779530161,0.000755669200125428,0.00161338761171368,0.6475
2,0.25,0.1,0.5,"dr_w_wrong",0.0261038811436945,0.00155870205717978,0.0744183261352607,0.00110388114369455,0.00155870205717978,0.661
