"a","b","c","bias","pop","bridge","scale"
-1,-1,-1,0.131719323786252,0.0636893861097366,0.0680299376765149,0.5
-0.9,-1,-1,0.128599952116308,0.0572780998037031,0.0713218523126048,0.5
-0.8,-1,-1,0.125486690934486,0.0508769690103366,0.0746097219241498,0.5
-0.7,-1,-1,0.122379442118085,0.0444857174091755,0.0778937247089099,0.5
-0.6,-1,-1,0.11927810671574,0.0381040668896669,0.0811740398260733,0.5
-0.5,-1,-1,0.116182584961356,0.0317317376036421,0.084450847357714,0.5
-0.4,-1,-1,0.113092776288092,0.0253684480178991,0.0877243282701929,0.5
-0.3,-1,-1,0.110008579342499,0.0190139149670487,0.0909946643754505,0.5
-0.2,-1,-1,0.106929891998711,0.0126678537064443,0.0942620382922667,0.5
-0.1,-1,-1,0.103856611372754,0.00632997796531071,0.097526633407443,0.5
0,-1,-1,0.100788633836954,0,0.100788633836954,0.5
0.1,-1,-1,0.0977258550344045,-0.00632236935259792,0.104048224387002,0.5
0.2,-1,-1,0.0946681698935649,-0.0126374206215437,0.107305590515109,0.5
0.3,-1,-1,0.0916154726429005,-0.0189454456481798,0.11056091829108,0.5
0.4,-1,-1,0.0885676568256408,-0.0252467375323774,0.113814394358018,0.5
0.5,-1,-1,0.0855246153146003,-0.0315415905786613,0.117066205893262,0.5
0.6,-1,-1,0.0824862403270724,-0.0378303002422392,0.120316540569312,0.5
0.7,-1,-1,0.0794524234398304,-0.044113163074925,0.123565586514755,0.5
0.8,-1,-1,0.076423055604149,-0.0503904766710015,0.126813532275151,0.5
0.9,-1,-1,0.0733980271609723,-0.056662539612951,0.130060566773923,0.5
1,-1,-1,0.0703772278560762,-0.062929651417174,0.13330687927325,0.5
-1,-0.9,-1,0.123504375611953,0.0636893861097366,0.059814989502216,0.5
-0.9,-0.9,-1,0.120389417861599,0.0572780998037031,0.0631113180578958,0.5
-0.8,-0.9,-1,0.117280484626094,0.0508769690103366,0.0664035156157571,0.5
-0.7,-0.9,-1,0.11417747718842,0.0444857174091755,0.0696917597792448,0.5
-0.6,-0.9,-1,0.111080296014829,0.0381040668896669,0.0729762291251618,0.5
-0.5,-0.9,-1,0.107988840768858,0.0317317376036421,0.0762571031652157,0.5
-0.4,-0.9,-1,0.104903010325396,0.0253684480178991,0.0795345623074968,0.5
-0.3,-0.9,-1,0.101822702784897,0.0190139149670487,0.0828087878178483,0.5
-0.2,-0.9,-1,0.0987478154876463,0.0126678537064443,0.0860799617812021,0.5
-0.1,-0.9,-1,0.095678245028155,0.00632997796531071,0.0893482670628443,0.5
0,-0.9,-1,0.0926138872696222,0,0.0926138872696222,0.5
0.1,-0.9,-1,0.0895546373584855,-0.00632236935259792,0.0958770067110834,0.5
0.2,-0.9,-1,0.0865003897390731,-0.0126374206215437,0.0991378103606168,0.5
0.3,-0.9,-1,0.0834510381683332,-0.0189454456481798,0.102396483816513,0.5
0.4,-0.9,-1,0.080406475730623,-0.0252467375323774,0.105653213263,0.5
0.5,-0.9,-1,0.0773665948526143,-0.0315415905786613,0.108908185431276,0.5
0.6,-0.9,-1,0.074331287318236,-0.0378303002422392,0.112161587560475,0.5
0.7,-0.9,-1,0.0713004442837316,-0.044113163074925,0.115413607358657,0.5
0.8,-0.9,-1,0.06827395629274,-0.0503904766710015,0.118664432963742,0.5
0.9,-0.9,-1,0.0652517132915098,-0.056662539612951,0.121914252904461,0.5
1,-0.9,-1,0.0622336046441131,-0.062929651417174,0.125163256061287,0.5
-1,-0.8,-1,0.115291960169685,0.0636893861097366,0.0516025740599482,0.5
-0.9,-0.8,-1,0.112181367284805,0.0572780998037031,0.0549032674811016,0.5
-0.8,-0.8,-1,0.109076712600431,0.0508769690103366,0.0581997435900943,0.5
-0.7,-0.8,-1,0.105977896812041,0.0444857174091755,0.061492179402866,0.5
-0.6,-0.8,-1,0.102884819810364,0.0381040668896669,0.0647807529206973,0.5
-0.5,-0.8,-1,0.0997973806954658,0.0317317376036421,0.0680656430918237,0.5
-0.4,-0.8,-1,0.0967154777909104,0.0253684480178991,0.0713470297730113,0.5
-0.3,-0.8,-1,0.093639008658056,0.0190139149670487,0.0746250936910072,0.5
-0.2,-0.8,-1,0.0905678701103667,0.0126678537064443,0.0779000164039224,0.5
-0.1,-0.8,-1,0.0875019582279147,0.00632997796531071,0.081171980262604,0.5
0,-0.8,-1,0.0844411683718851,0,0.0844411683718851,0.5
0.1,-0.8,-1,0.081385395199216,-0.00632236935259792,0.0877077645518139,0.5
0.2,-0.8,-1,0.078334532677302,-0.0126374206215437,0.0909719532988457,0.5
0.3,-0.8,-1,0.0752884740987881,-0.0189454456481798,0.0942339197469679,0.5
0.4,-0.8,-1,0.0722471120964295,-0.0252467375323774,0.0974938496288069,0.5
0.5,-0.8,-1,0.0692103386580474,-0.0315415905786613,0.100751929236709,0.5
0.6,-0.8,-1,0.0661780451415381,-0.0378303002422392,0.104008345383777,0.5
0.7,-0.8,-1,0.0631501222899707,-0.044113163074925,0.107263285364896,0.5
0.8,-0.8,-1,0.0601264602467425,-0.0503904766710015,0.110516936917744,0.5
0.9,-0.8,-1,0.0571069485708224,-0.056662539612951,0.113769488183773,0.5
1,-0.8,-1,0.0540914762520261,-0.062929651417174,0.1170211276692,0.5
-1,-0.7,-1,0.107082049470683,0.0636893861097366,0.0433926633609468,0.5
-0.9,-0.7,-1,0.103975772201426,0.0572780998037031,0.0466976723977228,0.5
-0.8,-0.7,-1,0.100875346481163,0.0508769690103366,0.0499983774708267,0.5
-0.7,-0.7,-1,0.0977806724246904,0.0444857174091755,0.053294955015515,0.5
-0.6,-0.7,-1,0.0946916493540916,0.0381040668896669,0.0565875824644247,0.5
-0.5,-0.7,-1,0.0916081758129016,0.0317317376036421,0.0598764382092595,0.5
-0.4,-0.7,-1,0.0885301495803313,0.0253684480178991,0.0631617015624323,0.5
-0.3,-0.7,-1,0.085457467685642,0.0190139149670487,0.0664435527185933,0.5
-0.2,-0.7,-1,0.0823900264225584,0.0126678537064443,0.0697221727161142,0.5
-0.1,-0.7,-1,0.0793277213637955,0.00632997796531071,0.0729977433984848,0.5
0,-0.7,-1,0.0762704473756698,0,0.0762704473756698,0.5
0.1,-0.7,-1,0.0732180986327896,-0.00632236935259792,0.0795404679853875,0.5
0.2,-0.7,-1,0.0701705686328273,-0.0126374206215437,0.082807989254371,0.5
0.3,-0.7,-1,0.0671277502113787,-0.0189454456481798,0.0860731958595585,0.5
0.4,-0.7,-1,0.0640895355568737,-0.0252467375323774,0.0893362730892512,0.5
0.5,-0.7,-1,0.0610558162256036,-0.0315415905786613,0.0925974068042649,0.5
0.6,-0.7,-1,0.0580264831567641,-0.0378303002422392,0.0958567833990033,0.5
0.7,-0.7,-1,0.0550014266876439,-0.044113163074925,0.0991145897625689,0.5
0.8,-0.7,-1,0.0519805365687937,-0.0503904766710015,0.102371013239795,0.5
0.9,-0.7,-1,0.0489637019793354,-0.056662539612951,0.105626241592286,0.5
1,-0.7,-1,0.0459508115423047,-0.062929651417174,0.108880462959479,0.5
-1,-0.6,-1,0.0988746154138602,0.0636893861097366,0.0351852293041236,0.5
-0.9,-0.6,-1,0.0957726043168796,0.0572780998037031,0.0384945045131765,0.5
-0.8,-0.6,-1,0.0926763577840887,0.0508769690103366,0.0417993887737521,0.5
