"shape","s_tau","gamma","rmst0","delta","slope","linear","lin_error","hr"
"constant",0.8,0.0953101798043249,21.5108165650778,-0.229404531471879,-2.31081656507784,-0.220244342312381,-0.0399302886509032,1.1
"increasing",0.8,0.0953101798043249,21.9994618911283,-0.185366170867223,-1.8663079274189,-0.177878144132532,-0.0403958645725833,1.1
"decreasing",0.8,0.0953101798043249,21.084995192109,-0.267200579312899,-2.69285027444148,-0.256656043843143,-0.0394629962886721,1.1
"bathtub",0.8,0.0953101798043249,21.6998471809319,-0.213952222203137,-2.15339300175437,-0.205240274186584,-0.0407191284429884,1.1
"constant",0.5,0.0953101798043249,17.3123404906676,-0.519889451736862,-5.31234049066756,-0.506320127347321,-0.0261004033534598,1.1
"increasing",0.5,0.0953101798043249,18.5744981690319,-0.429640461002233,-4.38299877935459,-0.417744401742422,-0.0276884053984586,1.1
"decreasing",0.5,0.0953101798043249,16.2412368119808,-0.591973300826364,-6.05890973140122,-0.577475775918024,-0.0244901668506027,1.1
"bathtub",0.5,0.0953101798043249,17.7222175643718,-0.502812193550618,-5.12490588211761,-0.488455701104872,-0.0285523951683978,1.1
"constant",0.2,0.0953101798043249,11.9296307435445,-0.681452833360012,-7.12963074354455,-0.679526388105674,-0.00282696785460568,1.1
"increasing",0.2,0.0953101798043249,14.0408831099504,-0.591338954976706,-6.16058873996695,-0.58716682050675,-0.00705540271758465,1.1
"decreasing",0.2,0.0953101798043249,10.2287999666973,-0.73800113393879,-7.75542852385333,-0.739171287068051,0.00158557090964884,1.1
"bathtub",0.2,0.0953101798043249,12.37029886791,-0.705424104312993,-7.34104172930265,-0.699676007170888,-0.00814842745939703,1.1
"constant",0.8,0.22314355131421,21.5108165650778,-0.567307966298909,-2.31081656507784,-0.515643814767173,-0.0910689688861427,1.25
"increasing",0.8,0.22314355131421,21.9994618911283,-0.458735758700744,-1.8663079274189,-0.416454578770115,-0.0921689210589989,1.25
"decreasing",0.8,0.22314355131421,21.084995192109,-0.660295115998043,-2.69285027444148,-0.600892173396316,-0.0899642313905944,1.25
"bathtub",0.8,0.22314355131421,21.6998471809319,-0.529744108981248,-2.15339300175437,-0.480515761786637,-0.0929285410823762,1.25
"constant",0.5,0.22314355131421,17.3123404906676,-1.25890375220273,-5.31234049066756,-1.18541452287783,-0.0583755741424317,1.25
"increasing",0.5,0.22314355131421,18.5744981690319,-1.04289565628972,-4.38299877935459,-0.978037913031029,-0.0621900598276879,1.25
"decreasing",0.5,0.22314355131421,16.2412368119808,-1.42993597330708,-6.05890973140122,-1.35200663455709,-0.0544984811940604,1.25
"bathtub",0.5,0.22314355131421,17.7222175643718,-1.22207462263858,-5.12490588211761,-1.14358969868681,-0.0642226935228506,1.25
"constant",0.2,0.22314355131421,11.9296307435445,-1.59556498033881,-7.12963074354455,-1.5909311236735,-0.00290421056015555,1.25
"increasing",0.2,0.22314355131421,14.0408831099504,-1.39321429972313,-6.16058873996695,-1.37469564962256,-0.0132920327506331,1.25
"decreasing",0.2,0.22314355131421,10.2287999666973,-1.71682458874168,-7.75542852385333,-1.73057386277615,0.00800854911132642,1.25
"bathtub",0.2,0.22314355131421,12.37029886791,-1.66428332346589,-7.34104172930265,-1.6381061218224,-0.0157288132822105,1.25
"constant",0.8,0.405465108108164,21.5108165650778,-1.11438597859713,-2.31081656507784,-0.936955488377423,-0.159218164646212,1.5
"increasing",0.8,0.405465108108164,21.9994618911283,-0.902199680329108,-1.8663079274189,-0.756722745554027,-0.161246936733577,1.5
"decreasing",0.8,0.405465108108164,21.084995192109,-1.29547788790947,-2.69285027444148,-1.09185682764551,-0.157178337171425,1.5
"bathtub",0.8,0.405465108108164,21.6998471809319,-1.04270677214576,-2.15339300175437,-0.873125726255702,-0.162635412390278,1.5
"constant",0.5,0.405465108108164,17.3123404906676,-2.39033540921846,-5.31234049066756,-2.1539687113559,-0.0988843226565592,1.5
"increasing",0.5,0.405465108108164,18.5744981690319,-1.98810566920361,-4.38299877935459,-1.77715307390896,-0.106107335521633,1.5
"decreasing",0.5,0.405465108108164,16.2412368119808,-2.70414453546791,-6.05890973140122,-2.45667648926021,-0.0915143561898724,1.5
"bathtub",0.5,0.405465108108164,17.7222175643718,-2.3343351068238,-5.12490588211761,-2.07797051753698,-0.109823387626484,1.5
"constant",0.2,0.405465108108164,11.9296307435445,-2.87745396689199,-7.12963074354455,-2.89081650020258,0.00464387387751164,1.5
"increasing",0.2,0.405465108108164,14.0408831099504,-2.53767606840291,-6.16058873996695,-2.49790377946064,-0.0156727209739199,1.5
"decreasing",0.2,0.405465108108164,10.2287999666973,-3.06423879886614,-7.75542852385333,-3.14455566484933,0.0262110335568204,1.5
"bathtub",0.2,0.405465108108164,12.37029886791,-3.03621631861516,-7.34104172930265,-2.97653627839825,-0.0196560567345013,1.5
"constant",0.8,0.693147180559945,21.5108165650778,-2.15108165650779,-2.31081656507784,-1.60173598687492,-0.255381132543667,2
"increasing",0.8,0.693147180559945,21.9994618911283,-1.74567188158199,-1.8663079274189,-1.29362607794708,-0.258952331422813,2
"decreasing",0.8,0.693147180559945,21.084995192109,-2.49465181459434,-2.69285027444148,-1.86654157539918,-0.251782727962496,2
"bathtub",0.8,0.693147180559945,21.6998471809319,-2.02074508470048,-2.15339300175437,-1.49261828780356,-0.261352508485849,2
