"s_tau","hr","min_delta","max_delta","ratio"
0.2,1.1,-0.73800113393879,-0.591338954976706,1.24801711053834
0.5,1.1,-0.591973300826364,-0.429640461002233,1.37783415334173
0.8,1.1,-0.267200579312899,-0.185366170867223,1.44147434271755
0.2,1.25,-1.71682458874168,-1.39321429972313,1.23227603182286
0.5,1.25,-1.42993597330708,-1.04289565628972,1.37112084481617
0.8,1.25,-0.660295115998043,-0.458735758700744,1.43938008641002
0.2,1.5,-3.06423879886614,-2.53767606840291,1.2074980085203
0.5,1.5,-2.70414453546791,-1.98810566920361,1.36016137238376
0.8,1.5,-1.29547788790947,-0.902199680329108,1.43591038231903
0.2,2,-5.13262518007622,-4.2862108701911,1.19747379107538
0.5,2,-4.85805078862249,-3.627801988917,1.33911685463096
0.8,2,-2.49465181459434,-1.74567188158199,1.42904966329274
