"b","family","inb"
-0.15,"ph",-6656.79795811308
-0.14,"ph",-6129.22012541966
-0.13,"ph",-5598.52167591991
-0.12,"ph",-5064.70218760105
-0.11,"ph",-4527.76168050529
-0.1,"ph",-3987.70062747278
-0.09,"ph",-3444.51996485917
-0.08,"ph",-2898.22110321374
-0.07,"ph",-2348.80593790321
-0.06,"ph",-1796.27685966644
-0.05,"ph",-1240.63676508519
-0.04,"ph",-681.889066955879
-0.03,"ph",-120.037704546448
-0.02,"ph",444.912846276075
-0.00999999999999998,"ph",1012.95756306305
0,"ph",1584.09086696286
0.01,"ph",2158.30661307474
0.02,"ph",2735.59808099423
0.03,"ph",3315.95796556497
0.04,"ph",3899.37836785231
0.05,"ph",4485.85078635346
0.06,"ph",5075.36610845894
0.07,"ph",5667.91460218047
0.08,"ph",6263.48590815909
0.09,"ph",6862.06903196778
0.1,"ph",7463.65233672265
0.11,"ph",8068.2235360159
0.12,"ph",8675.76968718339
0.13,"ph",9286.27718492081
0.14,"ph",9899.73175525876
0.15,"ph",10516.1184499104
-0.15,"waning",-8968.99560494497
-0.14,"waning",-8635.99360421555
-0.13,"waning",-8303.57357592848
-0.12,"waning",-7971.75057192358
-0.11,"waning",-7640.53942300428
-0.1,"waning",-7309.95473861954
-0.09,"waning",-6980.010906625
-0.08,"waning",-6650.72209312147
-0.07,"waning",-6322.10224236939
-0.06,"waning",-5994.16507677712
-0.05,"waning",-5666.92409696236
-0.04,"waning",-5340.39258188359
-0.03,"waning",-5014.58358904178
-0.02,"waning",-4689.50995474843
-0.00999999999999998,"waning",-4365.184294461
0,"waning",-4041.61900318131
0.01,"waning",-3718.82625591762
0.02,"waning",-3396.81800820749
0.03,"waning",-3075.60599669993
0.04,"waning",-2755.20173979572
0.05,"waning",-2435.61653834399
0.06,"waning",-2116.86147639362
0.07,"waning",-1798.94742199763
0.08,"waning",-1481.88502806941
0.09,"waning",-1165.68473328894
0.1,"waning",-850.356763057669
0.11,"waning",-535.911130500688
0.12,"waning",-222.357637514073
0.13,"waning",90.2941241435619
0.14,"waning",402.034771716179
0.15,"waning",712.855130275122
-0.15,"cure",-9618.42144150313
-0.14,"cure",-9249.11695861771
-0.13,"cure",-8877.62804396791
-0.12,"cure",-8503.9544021447
-0.11,"cure",-8128.09604717767
-0.1,"cure",-7750.05331005489
-0.09,"cure",-7369.82684622537
-0.08,"cure",-6987.41764307355
-0.07,"cure",-6602.8270273562
-0.06,"cure",-6216.05667259046
-0.05,"cure",-5827.10860638358
-0.04,"cure",-5435.98521769306
-0.03,"cure",-5042.68926400646
-0.02,"cure",-4647.22387843074
-0.00999999999999998,"cure",-4249.59257667982
0,"cure",-3849.79926394994
0.01,"cure",-3447.84824167161
0.02,"cure",-3043.74421412798
0.03,"cure",-2637.49229492845
0.04,"cure",-2229.09801332732
0.05,"cure",-1818.56732037652
0.06,"cure",-1405.90659490269
0.07,"cure",-991.122649297631
0.08,"cure",-574.222735112569
0.09,"cure",-155.2145484465
0.1,"cure",265.893764881879
0.11,"cure",689.093604387122
0.12,"cure",1114.3759102044
0.13,"cure",1541.73115862065
0.14,"cure",1971.14935785722
0.15,"cure",2402.6200441133
