"cell","shift","prev","em","align","trim","n_ok","bias_target","bias_induced","mcse","emp_sd","gap","se_fixed","se_ess","se_stack","se_stack_hc1","cov_se_fixed","cov_se_ess","cov_se_stack","cov_se_stack_hc1","ratio_stack_fixed","ratio_mcse","ess"
1,0.2,0.1,0,"positive","none",1000,-0.0152303980166197,-0.0153201384529879,0.0115727416385157,0.365962223503787,8.97404363682242e-05,0.35806250426348,0.325134735693344,0.35498741531774,0.357227105771231,0.953,0.931,0.95,0.951,0.991491070952104,0.000239563966142491,351.95518538162
2,0.5,0.1,0,"positive","none",1000,-0.00975817658918588,-0.0101289601540005,0.0141204777247437,0.446528712598624,0.00037078356481457,0.449919653155181,0.386525423173512,0.434216186282983,0.436955747758139,0.953,0.924,0.942,0.944,0.966301123175776,0.00111161622197873,191.072139166357
3,0.8,0.1,0,"positive","none",1000,-0.0571836763944572,-0.0580580310857501,0.0225296952177084,0.712451518773616,0.000874354691292933,0.615757806064734,0.57815482462595,0.55914577426347,0.562673542851005,0.893,0.887,0.844,0.847,0.910272510407538,0.00234533831186862,70.1713074113502
4,0.2,0.3,0,"positive","none",1000,-0.00740093585357822,-0.00736886890471362,0.00790708509249544,0.250043985450488,-3.20669488645953e-05,0.238847298857061,0.228748834936383,0.237078761500845,0.238574541395983,0.942,0.932,0.942,0.942,0.992615110851342,0.000196142523554165,351.577391501056
5,0.5,0.3,0,"positive","none",1000,-0.00593711587911619,-0.00610854694595283,0.00978435141425758,0.309408358965436,0.000171431066836647,0.308183260361966,0.297078110770037,0.298692610724797,0.300577125386169,0.946,0.936,0.931,0.932,0.969590476279874,0.000905073334154077,189.713132266306
6,0.8,0.3,0,"positive","none",1000,-0.0357405322607289,-0.036195910871831,0.0152581662576704,0.48250558291766,0.00045537861110212,0.455278021613325,0.480683983168031,0.414578038455468,0.417193698715212,0.935,0.967,0.889,0.891,0.912285704183941,0.00232177752095866,71.1206492376407
7,0.2,0.1,0.5,"positive","none",1000,0.0107902041500881,0.00764647946337866,0.0109794069901267,0.347199334467742,0.00314372468670943,0.338905405508239,0.305337470964879,0.334718118030165,0.336829925213222,0.947,0.928,0.945,0.946,0.987713884795799,0.000324883869266105,352.017017191727
8,0.5,0.1,0.5,"positive","none",1000,0.00615649724395267,0.00232534668973698,0.0145530477934755,0.460207779246703,0.00383115055421568,0.425310624039482,0.36161386405626,0.408599915027379,0.411177858045909,0.936,0.885,0.925,0.926,0.961431881453662,0.00110366828312871,190.171843509306
9,0.8,0.1,0.5,"positive","none",1000,-0.0122002319668546,-0.0171993512836711,0.021107492714069,0.667477526718672,0.00499911931681651,0.584063618666384,0.538562727328792,0.524811056532865,0.528122200146651,0.911,0.893,0.847,0.848,0.900861895023066,0.00258394211207679,70.1421468296691
10,0.2,0.3,0.5,"positive","none",1000,-0.00841677205002399,-0.010821827965015,0.00740243256582493,0.234085471338111,0.00240505591499096,0.234044684168546,0.224356858077074,0.23139291311094,0.232852819789706,0.947,0.937,0.946,0.947,0.988711277307268,0.000299971145600051,352.060942685832
