"cell","target_copula","source_rho","method","truth","n","bias","mcse","emp_sd","rmse"
1,"gaussian",0.5,"default",-0.167270865583622,400,-0.0354012674024593,0.0129599606992464,0.259199213984929,0.261284369380909
1,"gaussian",0.5,"gamma",-0.167270865583622,400,-0.00633660579382803,0.0128975159643389,0.257950319286778,0.257705595350754
1,"gaussian",0.5,"gamma_target",-0.167270865583622,400,-0.00631594333596252,0.0128863544164206,0.257727088328412,0.257482203401165
1,"gaussian",0.5,"rho_target",-0.167270865583622,400,-0.0350391341935355,0.0129376036459548,0.258752072919097,0.260793010981626
1,"gaussian",0.5,"rho_zero",-0.167270865583622,400,-0.0560384447032978,0.0132274848624528,0.264549697249056,0.270096062991569
2,"clayton",0.5,"default",-0.164912187129949,400,-0.0179660999475013,0.0121925362293079,0.243850724586158,0.244207491057942
2,"clayton",0.5,"gamma",-0.164912187129949,400,0.00932641032301957,0.0121734367974762,0.243468735949525,0.243342998154684
2,"clayton",0.5,"gamma_target",-0.164912187129949,400,0.00916055146360512,0.0121685820889002,0.243371641778004,0.243239793896443
2,"clayton",0.5,"rho_target",-0.164912187129949,400,-0.018257261042417,0.0122079736296898,0.244159472593796,0.244536584211664
2,"clayton",0.5,"rho_zero",-0.164912187129949,400,-0.0384709260007872,0.0124837007541181,0.249674015082362,0.252311876791774
3,"gaussian",0.1,"default",-0.167270865583622,400,-0.0548979358335092,0.0120996808019802,0.241993616039604,0.247847314464356
3,"gaussian",0.1,"gamma",-0.167270865583622,400,-0.0352827904237648,0.0119953398826442,0.239906797652885,0.242190542097022
3,"gaussian",0.1,"gamma_target",-0.167270865583622,400,-0.0111602390446118,0.0118354498076163,0.236708996152326,0.236676196358709
3,"gaussian",0.1,"rho_target",-0.167270865583622,400,-0.037944244908241,0.0119278275090645,0.23855655018129,0.241260689477107
3,"gaussian",0.1,"rho_zero",-0.167270865583622,400,-0.0594413146309052,0.0121377369794573,0.242754739589147,0.249631345826325
4,"clayton",0.1,"default",-0.164912187129949,400,-0.0384999532794301,0.0119883352587507,0.239766705175015,0.242541953341529
4,"clayton",0.1,"gamma",-0.164912187129949,400,-0.0182306683736392,0.0119900108940083,0.239800217880166,0.240193133547748
4,"clayton",0.1,"gamma_target",-0.164912187129949,400,0.00481341639071827,0.0118042798061193,0.236085596122385,0.235839429807806
4,"clayton",0.1,"rho_target",-0.164912187129949,400,-0.0220662551704703,0.0118119008320033,0.236238016640066,0.236972148409924
4,"clayton",0.1,"rho_zero",-0.164912187129949,400,-0.0430359493031482,0.0120523275592399,0.241046551184799,0.244561391415149
